Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Engineer,atlanta,Mericaninc,"Atlanta, GA",-1,Employer Provided Salary:$60.00 - $65.00 Per Hour,-1,-1,-1,-1,-1,Unknown,Company - Public,"Job Role: Data engineer
Location: Hybrid model (Day 01 onsite)
Type: Contract
EXPERIENCE :
Python
Kafka or Kinesis
DevOps deployment model
AWS
Job Type: Contract
Salary: $60.00 - $65.00 per hour
Schedule:
Day shift
Evening shift
Monday to Friday
Ability to commute/relocate:
Atlanta, GA 30303: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location",-1,-1,Unknown / Non-Applicable,-1
Data Engineer,atlanta,"PrizePicks
4.8","Atlanta, GA",4.8,$82K - $117K (Glassdoor est.),4.7,4.8,4.6,4.2,4.6,51 to 200 Employees,2015,"At PrizePicks, we are the fastest growing sports company in North America, as recognized by Inc. 5000. As the leading platform for Daily Fantasy Sports, we cover a diverse range of sports leagues, including the NFL, NBA, and Esports titles like League of Legends and CS : GO. Our team of over 200 employees thrives in an inclusive culture that values individuals from diverse backgrounds, regardless of their level of sports fandom. Ready to reimagine the DFS industry together?
Our Analytics Team is responsible for building and maintaining analytics tools and workflows to support the PrizePicks business. By developing, maintaining, and testing data generation infrastructures, you will enable the PrizePicks business to make smarter, better, and faster data-driven decisions.
What you'll do:
Create, maintain and orchestrate optimal data pipeline architecture
Assemble large, complex data sets that meet functional / non-functional business requirements.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Improve and streamline data systems to drive innovation within Prizepicks
What you have:
3+ years of experience building frameworks for data ingestion pipelines but real time and batch using data modeling, ETL/ELT processes
Stellar SQL skills, experience building DBT pipelines in production and know your way around structured, semi-structured and unstructured data.
Have built and optimized 'big data' data pipelines, architectures and data sets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Experience with Python and other object oriented scripting languages
Cloud experience: AWS, EC2, EMR, RDS, Redshift, GCP, etc..
Not required but would be awesome if you have experience with any of the following data pipeline and workflow tools: Azkaban, Luigi, Airflow, Prefect, etc.
Where you'll live:
Anywhere in the US is fine (we are based in Atlanta, GA)
Benefits you'll receive:
In addition to your great compensation package, company subsidized medical/dental/vision coverage plans and matching 401(k), we'll shower you with perks including:
Break room with ping pong, endless snacks and in-office lunch once a week
Unlimited PTO to encourage a healthy work/life balance (2 week min required!)
Modern work schedule focused on getting the job done, not hours clocked
Workplace flexibility
Company and team outings, we encourage a tight-knit workplace
Generous Maternity AND Paternity leave (16 weeks!)
Annual bonus & stock options
Wellness program
Company equipment provided (Windows & Mac options)
Annual performance reviews with opportunity for growth and career development
#LI-REMOTE

You must be authorized to work for any employer in the U.S. We are unable to sponsor or take over sponsorship or an employment Visa at this time.
PrizePicks is an Equal Opportunity Employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Unknown / Non-Applicable,Sports & Recreation,Company - Private,"Arts, Entertainment & Recreation"
Data Engineer,atlanta,"FanDuel
4.0","Atlanta, GA",4.0,$80K - $118K (Glassdoor est.),3.8,4.0,3.7,3.8,3.8,501 to 1000 Employees,2009,"ABOUT FANDUEL GROUP
There are more ways to win, here at FanDuel. We're willing to bet on it.
THE ROSTER…
At FanDuel Group, we give fans a new and innovative way to interact with their favorite games, sports and teams. We're dedicated to building a winning team and we pride ourselves on being able to make every moment mean more, especially when it comes to your career. So, what does ""winning"" look like at FanDuel? It's recognition for your hard-earned results, a culture that brings out your best work—and a roster full of talented coworkers. Make no mistake, we are here to win, but we believe in winning right. That means we'll never compromise when it comes to looking out for our teammates. From creatives professionals to cutting edge technology innovators, FanDuel offers a wide range of career opportunities, best in class benefits, and the tools to explore and grow into your best selves. At FanDuel, our principle of ""We Are One Team"" runs through all our offices across the globe, and you can expect to be a part of an exciting company with many opportunities to grow and be successful.
WHO WE ARE…
FanDuel Group is an innovative sports-tech entertainment company that is changing the way consumers engage with their favorite sports, teams, and leagues. The premier gaming destination in the United States, FanDuel Group consists of a portfolio of leading brands across gaming, sports betting, daily fantasy sports, advance-deposit wagering, and TV/media.
FanDuel Group has a presence across all 50 states with approximately 17 million customers and nearly 30 retail locations. The company is based in New York with offices in California, New Jersey, Florida, Oregon, Georgia, Portugal, Romania and Scotland.
Its network FanDuel TV and FanDuel+ are broadly distributed on linear cable television and through its relationships with leading direct-to-consumer OTT platforms.
FanDuel Group is a subsidiary of Flutter Entertainment plc, the world's largest sports betting and gaming operator with a portfolio of globally recognized brands and a constituent of the FTSE 100 index of the London Stock Exchange.
THE POSITION
Our roster has an opening with your name on it
FanDuel Group is looking for an experienced Data Engineer with deep understanding of large-scale data handling and processing best practices in a cloud environment to help us build scalable systems. As our data is a key component of the business used by almost every facet of the company, including product development, marketing, operations, and finance. It is vital that we deliver robust solutions that ensure reliable access to data with a focus on quality and availability.
Our competitive edge comes from making decisions based on accurate and timely data and your work will provide access to that data across the whole company. Looking ahead to the next phase of our data platform we are keen to do more with real time data processing and working with our data scientists to create machine learning pipelines
THE GAME PLAN
Everyone on our team has a part to play
Creating and maintain optimal data pipeline architecture
Designing and implementing data pipelines required in the data warehouse and data lake in batch or real-time using data transformation technologies.
Identifying, designing, and implementing internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability
Designing and deploying data models and views with large datasets that meet functional / non-functional business requirements
Delivering timely after-action reporting to state regulatory groups
Delivering quality production-ready code in an agile environment
Delivering test plans, monitoring, debugging and technical documents as a part of development cycle
Creating data tools for analytics and working with stakeholders across all departments to assist with data-related technical issues and supporting their data infrastructure needs
THE STATS
What we're looking for in our next teammate
Experience writing Python scripts
Working SQL knowledge and experience working with relational databases
Build processes supporting data transformation, data structures, metadata, dependency, and workload management,
Show proficiency understanding complex ETL processes
Demonstrate the ability to optimize processes
Knowledge of data integrity and relational rules
Understanding of AWS and Google Cloud knowledge of DMS tasks and processes are nice to have.
Ability to quickly learn new technologies is critical
Proficiency with agile or lean development practices
Understanding of regulated systems and sensitive data
PLAYER CONTRACT
We treat our team right
From our many opportunities for professional development to our generous insurance and paid leave policies, we're committed to making sure our employees get as much out of FanDuel as we ask them to give. Competitive compensation is just the beginning. As part of our team, you can expect:
An exciting and fun environment committed to driving real growth
Opportunities to build really cool products that fans love
Mentorship and professional development resources to help you refine your game
Flexible vacation allowance to let you refuel
Hall of Fame benefit programs and platforms
FanDuel Group is an equal opportunities employer and we believe, as one of our principal states, ""We Are One Team!"" We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status. We believe FanDuel is strongest and best able to compete if all employees feel valued, respected, and included. We want our team to include diverse individuals because diversity of thought, diversity of perspectives, and diversity of experiences leads to better performance. Having a diverse and inclusive workforce is a core value that we believe makes our company stronger and more competitive as One Team!
#LI-Hybrid",$100 to $500 million (USD),Sports & Recreation,Company - Private,"Arts, Entertainment & Recreation"
"Senior Data Engineer, Analytics",atlanta,"Standard AI
4.0","Atlanta, GA",4.0,$104K - $147K (Glassdoor est.),4.0,3.7,3.6,4.1,3.8,51 to 200 Employees,2017,"Standard AI has transformed retail as we know it. With the first autonomous retail solution that works in any existing store, we enable customers to walk in, grab what they need, and walk out - without waiting in line or stopping to pay. The company's computer vision solution is the only one that can be quickly and easily installed in retailers' existing stores, representing a giant leap forward for retail tech that enables retailers to rapidly deliver amazing new shopping experiences to customers. Standard has launched dozens of stores alongside Circle K, Compass Group, and others and have hundreds more on the way. We're the most well funded in our space, backed by some of Silicon Valley's leading investors including SoftBank, CRV, Initialized, EQT, Draper Associates, and Y Combinator.
The Analytics team is structured as a centralized Analytics team at the company with embedded partnerships with Engineering, Operations, Product, and Sales teams. The team plays a critical role in informing and evangelizing data-driven decision making across all these functional areas. As a Data Engineer on the Analytics team, you will be tasked with building data pipelines that underlie our product metrics. You will be focused on building ETL pipelines, developing data schemas, and building fundamental infrastructure to enable downstream analysts and data scientists.
This is a Full Time role and can be based remotely anywhere within the US on an ongoing basis. Standard AI is a remote first company. We want our employees to have the flexibility to create work habits, locations, and schedules that best fit their lives.
What you'll do here:
Build and maintain well-tested, up to date, documented datasets that underlie our key metrics like receipt accuracy
Partner with stakeholder teams to ingest and process raw datasets for downstream analysts/data scientists
Orchestrate data workflows to automate, schedule and monitor data pipelines with tools like Airflow
Troubleshoot data quality issues and resolve broken data pipelines
Democratize and productize our data by exposing derived data sources as APIs to other stakeholder teams
Help to define and improve our internal standards for style, maintainability, and software engineering best practices (i.e. version control and CI/CD) for a robust data infrastructure
Provide data engineering expertise for the rest of the Analytics Team. Lead designing the next generation of our data infrastructure
Who you are:
You are an expert with building, maintaining and optimizing scalable data pipelines and compute, architectures, queries, and datasets. We are looking for someone who values code simplicity and performance
You are an expert in SQL, Python and PySpark
You have experience querying and doing transformations on large structured/unstructured datasets in SQL/Hive, Spark, Apache Flink etc.
You are knowledgable of cloud data technologies like Snowflake and Databricks. We work with GCP services (Cloud SQL, BigQuery, Spanner)
You have proven experience building data pipelines with orchestration tools such as AirFlow or Luigi
You have outstanding written and verbal communication skills and comfortable presenting ideas to peers and across the company
You are able to thrive in a remote work environment and can manage and prioritize multiple initiatives
You have a passion for evangelizing best practices and creative problem solving. Things break, and we are looking for someone who thrives in getting to the bottom of issues
You have a desire to learn, and improve your skills. Data is an ever evolving field, the tools of today may not be the tools of tomorrow
Why you might want to work with us:
100% employer-paid medical, dental and vision premiums, as well as generous contributions towards dependent premiums.
An inclusive culture. Employee Resource Groups, DEI focused training and resources, and opportunities for community service and engagement.
Fertility and family planning assistance provided through Maven Clinic, as well as flexible scheduling to accommodate for childcare needs and generous parental leave policies.
Flexible Time Off to be used for vacations, sick time and/or mental health days, 12 US Company Holidays plus 2 additional Floating Holidays.
We offer very competitive compensation. In addition to the Base Salary, we also offer Stock Options and Best-in-Class Benefits. The total compensation package will depend on multiple factors such as location, level, related experience and interview performance.
Target Starting Salary - Remote, USA
$165,000—$180,000 USD
Standard provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity, or gender expression. We are committed to a diverse and inclusive workforce and welcome people from all backgrounds, experiences, perspectives, and abilities.",Unknown / Non-Applicable,Computer Hardware Development,Company - Private,Information Technology
Senior Data Engineer,atlanta,"Otomashen Inc
5.0","Atlanta, GA",5.0,Employer Provided Salary:$70.00 - $71.00 Per Hour,5.0,5.0,5.0,5.0,5.0,1 to 50 Employees,Company - Public,"Note: we don’t need Big Data Engineer
Senior Data Engineer
Atlanta, GA or NY - DAY 1 ONISTE
Main Skills to focus on: GCP, Reporting Tool: Power BI, SSIS/ SSRS, ETL
8+ years of experience with reporting tools like Google Data Studio, Power BI, MS Excel, Looker, Tableau, etc. Proficiency with TSQL, Python, R etc.
In-depth understanding of RDBMS systems and usage of OLAP, OLTP for BI needs - MS SQL, My SQL, Maria DB and Oracle hands on experience preferred.
Demonstrated Data Visualization experience (Power BI / SSRS / Tableau / Looker / Google Data Studio). ETL experience such as SSIS.
Ability to write complex SQL, cohort / comparative analysis, and Data modeling skills. Strong knowledge of Data Warehousing and Multidimensional Data Modeling. Multidimensional Vs Tabular Data modeling. Star Schema Vs Snowflake, Fact & Dimension tables etc.
Technical expertise with DB design / development, ETL, data mining and segmentation techniques, handling large volumes of data and building scalable systems.
Knowledge of back-end and front-end technologies: SQL, HTML, JSON etc.
Experience with GCP and migrate legacy ETL.
Experience with GCP tools like
Cloud Composer
Cloud Build
Cloud Functions
GCP ETL tools (Data Fusion or Data Prep or Data Proc)
BigQuery
Cloud Bucket Management
Job Duties
Ability to partner with the business in an extremely agile, iterative, and collaborative process to generate ""simplified” operational and business views of a complex and fragmented set of enterprise sales and operations data.
Experienced and comfortable with production prototyping and DevOps type delivery.
Hands on experience with BI / Data Analysis, collecting business needs and converting those into technical reporting and dashboards. Act as liaison between the end users & tech team.
Support users in the learning process for the reporting tools, User training on the data platform
Skilled communication, data presentation and storytelling skills. Promote the Self-Service BI culture.
Create and maintain replicable and scalable data pipelines for data generation, integration and dashboards displaying the metrics to facilitate business decisions.
Maintain the DW standardization guidelines and methodologies, design sampling strategies to achieve the precise metrics of data standardization algorithms and ensure the quality of assessment.
Experience conducting quantitative and qualitative financial & operational analyses working with complex unstructured datasets. Experience in Project Scoping, Process-Design, BA and PM work.
Maintain Web Analytics platform to track and analyze site visits, conversions, promo tracking, hit maps etc. Experience with tools like Google Analytics, Adobe Analytics etc.
Certifications a Plus: Any GCP Cloud Certification
Job Type: Contract
Salary: $70.00 - $71.00 per hour
Experience level:
9 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Atlanta, GA 30303: Reliably commute or planning to relocate before starting work (Required)
Experience:
GCP: 5 years (Preferred)
Google Cloud Platform: 5 years (Preferred)
GCP ETL: 5 years (Preferred)
License/Certification:
Google Cloud Platform (Preferred)
Work Location: One location",-1,-1,Unknown / Non-Applicable,-1
AWS Data Engineer,atlanta,"Experient Group
4.8","Atlanta, GA",4.8,$80K - $112K (Glassdoor est.),4.3,4.8,4.6,4.5,4.8,51 to 200 Employees,2001,"AWS Data Engineer
Work With Us
At Experient Group, we value community, collaboration and people who are willing to roll up their sleeves to get the job done. While functional and technical skills are critical, we place a priority on hiring people who match our values. Our philosophy is simple: we attract and hire talented people, then provide them with a supportive community, career opportunities and guidance from our experienced leadership so they can thrive. In short, we strive to serve our people better than anyone else.
We are seeking an AWS Data Engineer to join our Technology Solutions group and work with one of our major clients on a fast-paced, agile development team.
What you’ll do
Work as part of a team developing a new corporate communications application for a leading quick service restaurant chain.
Participate in AWS data architecture discussions and help determine the overall AWS data architecture.
Help build the AWS environment using your AWS data engineering and infrastructure skills.
What you will bring
5+ years of experience with the following:
ETL experience with AWS cloud
AWS Glue
Python
Data Streaming
REST APIs
Strong analytical and problem-solving skills
Excellent verbal and written communication skills
Passion for learning and a passion for solving business problems with technology.
A strong record of academic accomplishment and a 4-year college degree with a major in Computer Science or related field
Strong team player, self-motivated, and willing to learn
Preferred
Application development experience with GoLang.
Database experience with Postgres.

About Us
Experient Group is an Atlanta-based business + IT consultancy that offers flexible and innovative solutions tailored to our clients' business environment, culture and budget. We don't assume anything - we set out to continually prove ourselves by going above and beyond in every client engagement. We work collaboratively to understand our clients' business and provide guidance that enables them to achieve results.
Experient Group is an Equal Employment Opportunity (EEO) employer and welcomes all qualified applicants. Applicants will receive fair and impartial consideration without regard to race, sex, religion, national origin, age, sexual orientation, disability, veteran status, genetic data, or other legally protected status
3DyQHgoI74",$5 to $25 million (USD),Business Consulting,Company - Private,Management & Consulting
Data Engineer,atlanta,"Maven Workforce
4.1","Alpharetta, GA",4.1,Employer Provided Salary:$50.00 Per Hour,4.3,4.2,4.3,3.9,4.2,51 to 200 Employees,2008,"Must Have skills:
Building Data Pipeline exp is a must
ETL Tools – SSIS, Alteryx
Data modelling
SQL Server development
Microsoft SQL Stack
Responsibilities:
Data acquisition and ingestion - Identify data sources and build pipelines using various ETL tools such as but not limited to, SSIS, and Alteryx. Data sources including but not limited to SQL Server, SAP, Teradata, Hadoop\Hive, PostgreSQL, Oracle and flat files.
Identifying ways to improve data reliability, efficiency and quality by various data solution techniques.
Expertise in Data project management with JIRA stories. Work as a liaison between business and IT to ensure successful and timely completion of the projects.
Assist in defining the data architecture framework, standards and principles, including modeling, metadata, security and reference data.
Create and optimize data models to support various business applications.
Reviewing modifications of existing data systems for cross-compatibility.
Automate and support workflows to ensure timely delivery.
Must Have:
5+ years of SQL Server development experience.
3+ years ALTERYX Admin /User management experience and advance workflow management.
5+ years data modeling experience.
5+ years of ETL experience.
5+ years of experience in working on more than one database technologies Microsoft SQL server, Teradata.
2+ years big data experience, Hadoop, Hive, Spark
Expert knowledge of data warehousing.
DESIRED SKILLS:
BI Lifecycle management
Working understanding of Microsoft VBA, HTML, Python
Data model development using ERWIN
Job Type: Contract
Salary: $50.00 per hour
Ability to commute/relocate:
Alpharetta, GA 30005: Reliably commute or planning to relocate before starting work (Required)
Experience:
Building Data Pipeline: 8 years (Required)
ETL Tools – SSIS, Alteryx: 7 years (Required)
Data modelling: 6 years (Required)
SQL Server development: 8 years (Required)
Microsoft SQL Stack: 8 years (Required)
Work Location: One location
Speak with the employer
+91 7328456015",Unknown / Non-Applicable,HR Consulting,Company - Private,Human Resources & Staffing
Data Engineer,atlanta,"Elder Research Inc
4.4","Atlanta, GA",4.4,$88K - $128K (Glassdoor est.),3.9,4.5,4.1,3.7,4.8,51 to 200 Employees,1995,"Data Engineer
Location: Charlottesville, VA, Arlington, VA, Raleigh, NC, Atlanta, GA, Philadelphia, PA

At Elder Research Inc., a recognized leader in data science and machine learning solutions, we pride ourselves in our ability to find creative, cutting-edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy understanding a problem space and building fast, efficient, and tractable data infrastructure to deliver real value for our clients.

As a member of the Elder Research team, you will join a functional team of accomplished Data Scientists, Software Engineers, and Data Engineers that deliver custom analytic solutions. Some of your responsibilities will include: wrangling and fusing large and disparate data sets, assisting in the deployment of models and algorithms, automating the entire data pipeline, and communicating model results through user-focused data visualizations.

Job Description
A Data Engineer supports robust and repeatable data manipulation, large scale infrastructure for data ingestion, and stunning data visualization for custom client applications.
Essential Functions:
Work collaboratively with data scientists, business consultants, software engineers, and clients to create and deploy dynamic data applications that help our customers make meaningful business decisions.
Develop and deploy robust data pipelines and end-to-end systems
Participate in every stage of the engineering lifecycle, from ideation and requirements gathering through implementation, testing, deployment, and maintenance.
Provide leadership and coordination for certain stages of the engineering lifecycle as needed.
Perform other technical tasks as needed, including writing project reports, managing, implementing, and/or maintaining technical infrastructure, etc.
Ability and the willingness to tailor applications to a client’s business goals using an iterative methodology.
Ability to consider both long-term stability and scalability while taking a user-focused approach to development and deployment.
Communicate clearly, both verbally and in writing, to teammates and clients.
Ability to work independently in a collaborative, dynamic, cross-functional environment
Travel to and work on-site at clients both local and non-local. Number of days at client site vary depending on project requirements.
Required Skills:
Excellent written and verbal communication skills
Ability to work with high-level mathematical concepts and associated code-form representations
Ability to collaborate with others to accomplish a technical task
Ability to utilize a code base or repository with version control
Ability to ingest data into SQL or NoSQL databases
Ability to perform data transformations such as aggregations, joins, or data cleaning
Desired Education and Experience
Bachelor’s or Master’s degree in a technical field and 2-5 years’ experience OR 5+ years of experience Built and deployed a system for data extraction, transformation, and loading.
The ability to schedule and maintain jobs, working with tools like Jenkins or cron.
Provided access to transformed data for downstream applications or visualizations.
Interacted with SQL or NoSQL databases via a programming language such as R, Python, Java, JavaScript.
Utilized cloud resources (AWS, Microsoft, Google) to build or maintain services, especially as related to data pipelines.
Prior exposure to modeling and/or data analysis.
Configured a technical service such as a database, version control system, or operating system.
Minimum Requirements
Bachelor’s degree in Computer Science or related field, or equivalent experience in a technical role.
2+ years experience with at least one programming language
1+ years working extensively with at least one major cloud provider (AWS, Azure, GCP), certificates are a plus
The ability to travel 10%
What You Would Do
Work on small teams in a highly collaborative environment.
Contribute to consulting projects to solve interesting problems for multiple clients in various industries.
Communicate details of the technical architecture to fellow team members and clients in both technical and non-technical terms.
Work with Data Scientists to design and/or implement the technical architecture necessary to support analytics.
Work with Software Engineers to improve the robustness and scalability of software products.
Participate in every stage of the engineering lifecycle, from ideation and requirements gathering through implementation, testing, deployment, and maintenance.
Contribute to documentation of the technical architecture for internal and client use.
Design, create, and provision data stores.
Build trusted and lasting relationships with clients.
Provide value to our clients through analytics and software tools.
Manage and monitor pipelines to extract, transform, and load data (ETL).


About Elder Research, Inc.
Headquartered in Charlottesville, VA with offices in Arlington, VA, Baltimore, MD, and Raleigh, NC, Elder Research is a fast-growing solutions and consulting firm specializing in predictive analytics. At Elder Research, you’ll be part of a fun, friendly community. In keeping with our entrepreneurial spirit, we want candidates that are self-motivated with an innate curiosity and strong team work ethic. We work hard to provide the best value to our clients and allow each person to contribute their ideas and put their skills to use immediately.

Elder Research provides analytic solutions to hundreds of companies across numerous industries. Our team enjoys great variety in the type of work they do and exposure to a wide range of techniques and tools. If you are passionate about integrating data, technology, and analytics in a team-based environment to solve problems, then Elder Research may be a good fit for you.
Elder Research, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
To be considered for this position, you must be legally eligible to work in the United States. Some of our positions will require U.S. Citizenship as they require working on Federal projects.",$5 to $25 million (USD),Business Consulting,Company - Private,Management & Consulting
Associate Data Engineer - Remote,atlanta,"AMERICAN CANCER SOCIETY
3.4","Atlanta, GA",3.4,Employer Provided Salary:$75K - $100K,2.9,3.5,2.9,3.2,3.6,5001 to 10000 Employees,1913,"At the American Cancer Society, we're leading the fight for a world without cancer. Our employees and 1.5 million volunteers are raising the bar every single day. We actively seek candidates from diverse backgrounds including communities of color, the LGBTQ community, veterans, and people with disabilities. The greater the diversity of our people, the better we can serve our communities.
The people who work at the American Cancer Society focus their diverse talents on our lifesaving mission. It is a calling. And the people who answer it are fulfilled.

Position Description
This position is a remote role, open anywhere throughout the United States.
JOB SUMMARY
American Cancer Society (ACS) is seeking a passionate data individual on the fight against cancer. This position sits within the Digital Solution’s Discovery Data Science team, where we work with a wide range of data sources and types from research grants, Salesforce, survey data, and genomics data. The associate data engineer will be working in tandem with our lead data engineer to continue to develop and implement a modern data pipeline for ACS.
MAJOR RESPONSIBILITIES
Complete data integration from a multitude of sources into our cloud infrastructure.
Document the architecture and solutions for business continuity.
Work with our analytics engineer and business intelligence analyst to build out best in class data models for data visualization.
Define and execute database and data movement standards, design reviews, pipeline CI/CD process, and data container policies to ensure high quality data management
Collaborate closely with data governance to identify gaps in documentation and standards

Position Requirements
FORMAL KNOWLEDGE
Bachelor’s degree in Computer Science, Engineering, or equivalent experience. Two or more years of relevant work experience.
SKILLS
Required Qualifications:
2+ years of building a modern data pipeline, including the ETL, cloud-storage, reporting, and deployment
Experience with cloud services such as, Azure Cloud, AWS, Google Cloud
Expertise with SQL, YAML
Experience with workflow orchestration (Prefect.io, Airflow. Etc.)
2+ years of experience with python
Experience with Git – Azure DevOps, GitHub, Gitlab, etc.
Preferred Qualifications:
Snowflake experience, particularly data integration from multiple sources.
Exposure to BI tools such as PowerBI, Tableau, Looker.
Ability to understand the data needs of researchers, such as epidemiologist and cancer researchers, guiding them to the best practices for their data.
Experience with healthcare data, such as claims, electronic health records, biospecimen, medical imaging, genomic data.
SPECIALIZED TRAINING OR KNOWLEDGE
Proven experience in data engineering for a modern data pipeline.
The estimated starting rate is $75,000-$100,000 annually. The final candidate's relevant experience/skills will be considered before an offer is extended. Actual starting pay will vary based on non-discriminatory factors including, but not limited to, geographic location, experience, skills, specialty, and education.
The American Cancer Society has adopted a vaccination policy that requires all staff, regardless of position or work location, to be fully vaccinated against COVID-19 (except where prohibited by state law).
ACS provides staff a generous paid time off policy; medical, dental, retirement benefits, wellness programs, and professional development programs to enhance staff skills. Further details on our benefits can be found on our careers site at: jobs.cancer.org/benefits. We are a proud equal opportunity employer.

Position Requirements:",Unknown / Non-Applicable,Civic & Social Services,Nonprofit Organization,Nonprofit & NGO
Data Engineer,atlanta,"Codoxo
4.1","Duluth, GA",4.1,$63K - $91K (Glassdoor est.),4.1,4.1,4.2,3.4,3.9,51 to 200 Employees,2016,"Role: Data Engineer (Mid to Senior Level)


PLEASE NOTE BEFORE APPLYING:
CODOXO IS NOT ABLE TO OFFER SPONSORSHIP OR ACCOMMODATE ANY CANDIDATES THAT ARE CURRENTLY BEING SPONSORED NOW OR IN THE FUTURE


Do you want to help make healthcare more effective and affordable for everyone? That’s our mission at Codoxo. The U.S. spends more on healthcare than any other country in the world, but not all of the $3.8 trillion goes to real patient care. A significant portion, up to 10% or $380 billion, is lost to fraud, waste, and abuse.



Codoxo’s patented artificial intelligence technology helps healthcare companies and agencies identify and act quickly to control costs. Codoxo now has six AI-powered applications that help every department across health insurance payers proactively bring down costs and reduce fraud, waste, and abuse – so more dollars to toward patient care.


Job Description
We have built a SaaS application that is supported by large volumes of healthcare data, on which we must frequently perform large queries very efficiently and return results in real-time to the user.
We are seeking a mid to senior level Data Engineer with experience in the following areas.
· Ingestion of large volumes of data
· Performing Data Validations/Cleansing
· Data integration/loading into target Data Objects.
· Building large reservoirs of data
· Performing efficient queries using SQL
NOTE: Claims loading experience in healthcare space is desired, but not required.

Required technical skills:
- Experience using Relational databases (PostgreSQL is preferred)
- Good experience in SQL scripting, including analytical queries
- Good experience in Python programming
- Good experience in UNIX Shell Scripting


Beneficial technical skills:
- PL/SQL or PL/pgSQL
- PySpark
- AWS Glue, S3, Aurora, Data Lake, Sagemaker
- Proven experience processing billions of records


Other Requirements:
- Bachelor or master's degree in Computer Science, Engineering or related field
- At least 4 years of experience in the software industry
- Authorization to work in the USA

Other Preferences:
- Experience processing medical claims or related health care data

Benefits for You
· Health, Dental, and Vision insurance with 100% employee premium coverage
· Unlimited PTO
· Annual Professional Development stipend
· Annual home office stipend
· 401K Match

We are an Equal Opportunity Employer:
Codoxo provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment.",Unknown / Non-Applicable,Enterprise Software & Network Solutions,Company - Private,Information Technology
