Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
-1,ireland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Junior Data Engineer,ireland,"Reperio Human Capital
4.5",Dublin,4.5,-1,-1,-1,-1,-1,-1,1 to 50 Employees,2011,"Salary €40-50k
Location Dublin, Republic of Ireland
Type Permanent
Start ASAP
Junior Data Engineer
80791
Desired skills:
Big Data, Finance, Power BI, Data Engineer, Tableau, Snowflake
Brilliant opportunity here for Junior Data Engineers looking to get great exposure to market leading technology. Our client is looking for a Junior Data Engineer as they look to expand their team. Ideal candidates will have 1 to 2 years' experience in a Data related role, financial industry experience would advantageous. If you are chasing career progression and want to work with the most up to date tech be sure to get in touch!
This role is Dublin/Hybrid.
Suitable Candidates:
2 years' experience in a Data Engineering related role
Azure Certified or experience using Cloud Technologies
Experience using Big Data Technologies
Experience using Data Visualisation tools (Tableau, Power BI)
Bachelor's degree in Computer Science or a Information Technology related field
Company Benefits:
Generous Annual Leave
Fantastic Pension Scheme
Bonus
Career Progression Prospects
*This position is only applicable for those on a Stamp 4 Visa, Irish or EU citizenship*
If this role is of interest, then apply to the link provided or contact James Heyburn in Reperio for more information.

Reperio Human Capital acts as an Employment Agency and an Employment Business.
James Heyburn is recruiting for this role.
Get in touch with James Heyburn for more information: +353 (0)1 582 2706",$25 to $100 million (USD),HR Consulting,Company - Private,Human Resources & Staffing
Senior Data Engineer,ireland,"Sun Life
3.9",Waterford,3.9,-1,-1,-1,-1,-1,-1,10000+ Employees,1865,"You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Job Description:
Senior Data Engineer
Build relationship with Strategic delivery, Transformation and Business teams to become
a trusted partner and advocate of the architecture agenda.
Capture Current state technology and application landscape across high-net-worth
business within Sun Life.
Define Architecture guiding principles as it applies to custom solutions targeted in the
high-net-worth market segment.
Partner with Regional Architecture teams to define the target state Architecture
iteratively and keep it current.
Build Architectural roadmap to achieve target state Architecture and refresh the strategy
to align with the business, product, market, and distribution segment changes.
Implement digital plans to optimize and automate the business processes, enable the
distributors, and offer efficient platform for customer interaction and transactions
Partner with Regional Security and control function to identify security priority and align
international businesses technology and application security solutions.
Partner with strategic vendors to influence their product and platform strategy that
closely reflects the direction of high-net-worth business.
Participate in the Annual program and prioritization to move the technological
investment towards the target state architecture.
Partner with Enterprise services, DBTS, Asia and US IT teams to understand technology
and application strategy and align High Net worth technology architecture.
Bring outside Industry view into the architecture strategy by attending conferences,
seminars and hands-on workshop.
Preferred Skills - Technical Skills:
Expert knowledge on Databases – SQL, NoSQL
Expert knowledge in Tableau – Ability to configure, maintain and update Tableau infrastructure.
Troubleshoot issues and optimize server performance. Monitor performance and accuracy of reports and dashboards. Train stakeholders on Tableau usage. Experience in implementing row and column level security. Ability to work with cross functional teams to monitor and optimize Tableau usage. Must be SME for Tableau report development and administration.
Expert knowledge on ETL Processes and Informatica
Knowledge in Java/J2EE, Springboot, API and Data integrations is desirable
Knowledge of Agile, Design Thinking methodologies and techniques
Expert of IT governance, security, and risk management disciplines. Understanding of
Digital Transformation enablers, including Cloud, Artificial Intelligence, Data & Analytics,
etc.
Qualifications
Bachelor's Degree in Computer Science, Engineering, or a related field or equivalent
experience. A Master’s degree in Computer Science, or related field is highly desirable.
5+ years’ experience in ETL processes, Tableau report development and administration
Expert in implementation of information technology integrations in a large
division/company
Should possess the ability to network and leverage different centers of excellence and
shared service organizations within the larger organization and Asia in particular
Our Affirmative Action Program affirms our commitment to make reasonable accommodation to the known physical or mental limitation of otherwise-qualified individuals with disabilities or special disabled veterans, unless the accommodation would impose an undue hardship on the operation of our business. Please email recruitingUS@sunlife.com to request an accommodation.
At Sun Life we strive to create a flexible work environment where our employees are empowered to do their best work. Several flexible work options are available and can be discussed throughout the selection process depending on the role requirements and individual needs.
For applicants residing in California, please read our employee California Privacy Policy and Notice.
Job Category:
Advanced Analytics
Posting End Date:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.",$10+ billion (USD),Insurance Carriers,Company - Public,Insurance
Data Analyst (Architecture and Engineering team),ireland,"Idiro Analytics
4.7",Dublin,4.7,-1,-1,-1,-1,-1,-1,1 to 50 Employees,Company - Private,"Architecture and Engineering team
We are currently looking for a Data Analyst to join our growing team. We can take people on as contractors or employees. The role is with our client who is one of the big 4 National Banks in Ireland and you would be part of their Chief Analytics Office within their Architecture and Engineering team.
The ideal candidate will use their passion for data and analytics to provide insights to the bank covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business and technical users.
Apply now
Responsibilities:
Working within the Engineering and Architecture department
Strong ETL, (preferably Ab Initio) SQL and Teradata skills.
A problem solver with strong communication skills
An ability for clear and concise interpretation, communication, and presentation of results.
Managing stakeholders both internal and external, to convey the principal message of work in a technical and non-technical fashion.
Proactively liaise with stakeholders and management to gather information, resolve issues, and provide analysis to inform client deliverables.
Highly self-motivated with the initiative to work independently with minimal supervision. • Flexibility to pivot between multiple projects, roles, and technologies
Curious about new technologies and solutions, constantly seeking to improve the status quo.
Effective experimentation and metric design, tracking, and interpretation truly affect the bottom line.
Experienced bringing projects from initiation to concept and ideation and collaborating with a cross-discipline team.
Excellent attention to detail with the ability to own technical and non-technical aspects of work.
Develop clear visualizations to convey complicated data in a straightforward fashion. • Data manipulation using a combination of Python, R, and SQL
Statistical programming – Python, Excel, R
Analytics – Predictive analytics, data manipulation, feature creation/selection, text mining, sentiment analysis, insights.
Effective communication with management and team leads in respect of dashboard analysis and escalations. E.g., Tableau, Excel, PowerPoint
Deep Learning & Machine Learning
Mathematical and statistical modelling
Building production-ready code
Interpret client requirements and present findings back in a manner that demonstrates excellent communication and presentation skills.
Develop a comprehensive understanding of operations, processes, and business objectives, transfer this knowledge to other team members and utilise on projects and tasks
Work in proximity with team leads and clients; collaborating across departments to achieve targets
Adopt a client-facing role as the primary contact for both client and internal functions within assigned projects.
Qualifications:
Minimum 4+ years’ experience in Data Analysis
Strong proficiency in SQL, Teradata
Experience with Data Visualization tools
Bachelor’s or Master’s degree in Statistics or Applied Mathematics or equivalent experience
What’s in it for you:
The opportunity to work with one of the big 4 national Irish banks
An attractive and rewarding remuneration package
The chance to be a part of the award-winning Idiro Analytics team, gaining hands-on experience and training with our in-house team of Data Scientists, Analysts and Engineers.
Access to placements with our sought-after clients across multiple industries within Finance, Telco, Pharmaceutical and Retail.
Working with us:
Idiro is a dynamic technology company and a pioneer in the domain of analytics; by working with Idiro you will be at the cutting edge of machine learning and artificial intelligence (AI).
We are very happy to reward success and so, with Idiro, you will have an opportunity to craft your career in a flexible and supportive environment.
Idiro supports flexible working.
Idiro Analytics helps companies transform their data into revenue and growth. We operate at the cutting edge of technology delivering advanced analytics solutions including machine learning and AI technologies to help companies understand and predict customer behaviour.
Idiro Analytics is a diverse, tolerant, and supportive workplace – we welcome applications from women, ethnic minorities, members of the LGBT community, people with disabilities or any other sector of society who have suffered, or continue to suffer, discrimination.",-1,-1,Unknown / Non-Applicable,-1
Lead AI / ML / Data Scientist,ireland,Founding Teams,Remote,-1,-1,-1,-1,-1,-1,-1,-1,-1,"About us
We are professional, agile, innovative and our goal is to Founding Teams is a stealth AI Tech Incubator. We are supporting the next generation of AI startup founders with the resources they need including engineering, product, sales, marketing, and operations staff to create and launch their products..
Our work environment includes:
Flexible working hours
International workforce
Growth opportunities
Part- time 16 hours per week
Remote
Founding Teams is a stealth AI Tech Incubator. We are supporting the next generation of AI startup founders with the resources they need including engineering, product, sales, marketing, and operations staff to create and launch their products.
The ideal candidate will have a passion for next-generation AI tech startups and working with great global startup talent.
Job Description
- Build prototype AI/ ML models and tools to help us understand our customers and create personalised customer recommendations across multiple use cases and productize solutions to scale
- Deeply understand customers, their behaviours and pain points, and develop a diversity of AI models addressing an array of customers’ needs
- Translate business needs into AI/ML problems and create innovative solutions to advance our business goals
- Determine the types and amount of data needed and work with data engineer to identify data sources and ingest into data lake
- Structure, standardise, and annotate data into processable formats for ML; enrich data with necessary attributes to allow sophisticated personalization
- Help shape the way our data science team does work - researching and making key decisions about what we build, how we build it, and which tools are best for solving our problems
- Work alongside software and data engineers to implement data processing and visualisation systems that make data readily available and simplify how insights are communicated
- Evaluate the performance of AI models and make tradeoffs against quality metrics
Investigate, and resolve performance issues in a timely manner
Requirements
- Bachelor’s or Master’s degree in Mathematics, ML, statistics, Computer Science, Software/Data Engineering, or a related field
- Strong mathematical background in probability, statistics, and optimization algorithms.
- Experience in building machine learning models and deploying them to production to make real decisions, then measuring the impact of these decisions.
- Deep understanding of and have applied various machine learning techniques for solving real-world problems.
- Expertise with advanced programming skills in Python, Java or any of the major languages to build robust algorithms
- Proficient with SQL and can work “full stack” to integrate solutions with our data ecosystem
- Confident in taking ownership of projects from start to finish and enjoy the process of turning nebulous ideas into reality
- Excellent communication skills
- A self-starter who drives projects and builds strong relationships with stakeholders and teams to tackle large cross-functional efforts
- Thrive with minimal guidance and process
- Worked in both small teams/incubators and large corporations
We look forward to hearing from you! Contact us today! Open spots are filling fast!
Job Type: Part-time
Part-time hours: 16 per week
Benefits:
Flexitime
Schedule:
Flexitime
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: Remote",-1,-1,-1,-1
Senior Data Engineer - ETL,ireland,"2K
3.8",Dublin,3.8,-1,-1,-1,-1,-1,-1,Unknown,2005,"Who We Are
Founded in 2005, 2K Games is a global video game company, publishing titles developed by some of the most influential game development studios in the world. Our studios are responsible for developing 2K's portfolio of world-class games across multiple platforms. Include Visual Concepts, Firaxis, Hangar 13, CatDaddy, Cloud Chamber, and HB Studios. Our portfolio of titles is expanding due to our global strategic plan, building and acquiring exciting studios whose content continues to inspire all of us! 2K publishes titles in today's most popular gaming genres, including sports, shooters, action, role-playing, strategy, casual, and family entertainment.
Our team of engineers, marketers, artists, writers, data scientists, producers, problem solver and doers, are the professional publishing stewards of our growing library of critically-acclaimed franchises such as NBA 2K, BioShock, Borderlands, Mafia, Sid Meier's Civilization, Tiny Tina's Wonderlands, WWE 2K, and XCOM.
At 2K, we pride ourselves on creating an inclusive work environment, which means encouraging our teams to Come as You Are and do your best work! We are dedicated to diversity and inclusion, and want our community of candidates to reflect this commitment. We encourage all qualified applicants to explore our global positions.
2K is headquartered in Novato, California and is a wholly owned label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO).

What We Need
Data is the lifeblood of everything we do. We are a data-driven organization providing data products and insights throughout the 2K organization and related companies. We work directly with a wide variety of partners, from executive management to studio heads to analysts. We also partner in providing data to our players in the form of campaigns, promotions, and machine learning-based data products and recommendations.

What You Will Do:
The individual will work in the capacity of a Senior Data Engineer focusing on the data deliverables for Business and Studio.
Designing and building data models to support Data Science, Business Intelligence, and downstream data sets.
Building APIs and data products to better integrate data throughout our systems and processes.
Monitoring the data pipelines and communicating any issues to leadership and partners.
Working closely with business partners and developers to ensure proper requirements are documented and agreed to for our different initiatives.
Partnering with developers and leadership to coordinate cross-function and cross-team efforts

What Will Make You a Great Fit:
Preferably have a Masters or Bachelors in Engineering, Mathematics.
Have five or more years of professional experience as a Data Engineer in a fast-paced environment.
Experience with streaming of data - Kafka or Kinesis and exposure to the AWS environment. Knowledge of Databricks is a plus.
An expert developer using SQL and SQL-like query languages
Have a strong understanding of different data modeling methodologies (Kimball, Inmon, Data Vault). You understand when to apply the correct techniques to solve different problems on different technologies in our stack.
Have deep expertise in Python and have experience organizing Python-based projects.
You've built software services and APIs using Python frameworks such as Flask.
Have experience with both proprietary and open-source big data technologies and platforms (Snowflake, Vertica, Hive, Spark, Presto, Airflow).
Have worked in a cloud environment (AWS, Azure, GCP).
Have experience defining and crafting automated unit and integration testing frameworks for data projects.
Have a functional understanding of different privacy and compliance practices around data (GDPR, CCPA).
Excellent collaborator by tailoring your communication for different audiences and ensuring effective communication between developers, partners, and leadership.

Bonus Points
Video game and/or entertainment and media industries

As an equal opportunity employer, we are committed to ensuring that qualified individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform their essential job functions, and to receive other benefits and privileges of employment. Please contact us if you need reasonable accommodation.
Please note that 2K Games and its studios never uses instant messaging apps or personal email accounts to contact prospective employees or conduct interviews and when emailing, only use 2K.com accounts.
#LI-Hybrid",Unknown / Non-Applicable,Video Game Publishing,Company - Private,Media & Communication
Azure Cloud Engineer,ireland,"Ekco
3.8",Dublin,3.8,-1,-1,-1,-1,-1,-1,501 to 1000 Employees,2016,"About Ekco

Founded in 2016 Ekco is now one of the fastest growing cloud solution providers in Europe!
We specialise in enabling companies to progress along the path of cloud maturity, managing transformation and driving better outcomes from our customers’ existing technology investments.

️ In a few words, we take businesses to the cloud and back!

We have over 600 highly talented and supportive colleagues (and counting) across a number of regional offices in the UK, Benelux, Ireland & Malaysia.

We have recently acquired leading Managed Services Provider Ortus(https://ortus.ie/) and we are seeking a Azure Cloud Engineer to join the growing team.

About Ortus
As one of Ireland’s leading Managed Services Providers, we pride ourselves on delivering high-quality managed IT services and cloud solutions to meet the unique needs of every client. Our secret? We hire talented people who keep us at the cutting edge of technology. Our team is the backbone of our success, and we work hard to create a fun and collaborative environment where creativity and innovation can thrive. We also offer various training and development programs to help our team members reach their full potential. If you're passionate about tech and want to work in a dynamic and exciting workplace, come join Ortus!

About the role
Ortus believes that quality project delivery is a critical factor in the accurate and timely delivery of projects. Projects bring together many components that can be complex in nature and therefore require a comprehensive framework that maintains focus on meeting the business objectives, and providing the required benefits, that initiated the project.

Working as our Azure Clous Engineer you will be responsible for delivery of a variety of customer projects. The role involves working closely with our technical resources as well as external 3rd parties, customers, Sales, client project managers, Finance, and senior stakeholders. The role will join an established team, which delivers 125+ customer projects annually.

Day to day Activities
Design and build cloud based infrastructures.
Ensure client data integrity and client security during projects
Installation and configuration of client infrastructure
Offer technical design consultation to the sales team and customers during the pre-sales process
Create scope, schedule, and coordinate projects with internal stakeholders and customers
Deliver projects to customers within scope, on agreed timelines and budget
Coordinate your schedule on your projects and/or with the project manager
Reflect and represent the company's culture and values in all job responsibilities
Ensure customer satisfaction with project delivery
Offer escalation support to technical resources as needed
Mentor and train other engineers
Coordinate with clients and their 3rd Party Vendors.
Producing detailed, clear, consistent, and timely documentation around project infrastructure and services

Essential skills/Exp
2 plus years of experience in the following areas but in more than one:
Microsoft Cloud Solutions,
Azure & Office 365,
Project Delivery,
Network administration,
Tier 3 support.
Advanced knowledge of Microsoft Azure & Office 365 – Design Build, Configure & Troubleshoot
Extensive proficiency with information technology regarding both hardware and software.
Knowledge of Physical Servers, HP & Dell
Knowledge of hypervisors Microsoft Hyper-V & VMware
Familiarity with common server roles, software and line of business apps
Active directory
File and print services
SQL
Remote desktop services, Azure Virtual Desktop
IIS and certificate management
MS office suite
3rd Party App Knowledge an advantage with installing Sage50 / Sage Payroll /Bright pay / Collsoft etc.
Firewall installation & configuration – SonicWall, Fortinet and high availability.
Network Switch Installation & configuration – VLANs and high availability.
Wi-Fi Installation & Configuration – Ubiquiti, SonicWall

Bonus points/Nice to have
Ideally have Microsoft Azure / Office 365 Certifications or similar qualification
Be able to drive to meet customers when required",Unknown / Non-Applicable,Information Technology Support Services,Company - Private,Information Technology
Data Engineer at ALLPS ( ALLP_6 ),ireland,"ALLPS GmbH
4.7",Remote,4.7,-1,-1,-1,-1,-1,-1,1 to 50 Employees,2017,"3 years
Minimum Experience required
FULL TIME
Job type
Remote
Job location
Priyanka Paprikar
,
11 min
ALLPS is a technology solution partner helping companies to develop innovative solutions. We are based in Switzerland and India. We are a developer-first company, and we believe in remote working and distributed teams. We are seeking Full stack Engineers experienced in OutSystems to develop multiple solutions. The primary responsibilities will involve the development of the enterprise-grade applications of the OutSystems platform. Experience and certification in OutSystems is a must while excellent communication skills will provide you bonus points. You should have a solid background in application development across digital platforms (web & mobile) and enterprise solutions. Your Responsibilities:
Capturing the client requirements and defining the architecture and solutions using the OutSystems framework.
Perform the design, build and testing of business applications in line with agreed time frames, business requirements and global standards.
Produce clean, high quality code based on specifications
Integrate software components and third-party programs
support OutSystems web and mobile applications in a fast-paced environment using Agile methodologies.
Your Expertise: Proficient in web and mobile development with 5-7 Years of experience.
The candidate must have at least 3 years of OutSystems experience
Experience with at least 2 end to end OutSystems projects
Technical skills and competency in OutSystems architecture and general solution design.
A full-stack developer with a proven track record of writing high-quality, efficient code using OutSystems, APIs, and scripting languages.
Development experience with front-end technologies such as HTML/CSS/JS, and Angular.
Experience with one or more of the backend server frameworks: C#/ASP.Net, PHP, Java, NodeJS.
SQL knowledge and experience with Oracle or MS SQL is a must
Proficiency with web services REST and SOAP, experience in developing and consuming APIs.
Must be OutSystems certified Associate Reactive Developer or higher (ideally).
Must have experience in building applications and services in OutSystems for web and/or mobile.
Strong knowledge of OutSystems Service Studio, Integration Studio and OutSystems lifetime.
Working in an agile software development environment.
Excellent problem solving/analytical skills and complex troubleshooting methods.
Our Offer · Independent working environment (from Design to Go Live) · Working on game-changing swiss projects. · Flexible and Remote working option. · Good compensation Your must-have · Bachelor‘s or Master's degree in computer science or a related discipline · Experience in the software industry, taking a product through its complete lifecycle · Track record of successful on-time delivery of high-quality projects · Excellent analytical and social skills with the ability to work successfully across all engineering disciplines. · Independent drive and ability to deliver results requiring only minimal guidance. · Ability to communicate clearly and efficiently with business owners and senior business leaders. · High sense of ownership, proactiveness, urgency, and drive. Employment- Full Time",$1 to $5 million (USD),Information Technology Support Services,Company - Private,Information Technology
Data Engineer 2,ireland,"Cook Group
3.7",Limerick,3.7,-1,-1,-1,-1,-1,-1,10000+ Employees,1963,"Overview:
The Data Engineer develops, implements and documents data systems that provide the technical solutions to meet specifications and business requirements defined by company objectives to promote effective, efficient, and compliant operations. Experience with relational SQL and NoSQL databases; experience with SQL Server, Azure, Oracle, and/or MongoDB preferred.
Responsibilities:
Work as part of a project team to define and document data and data pipelines for a variety of solutions.
Technical responsibility for data and data pipelines to ensure compliance with data standards, architectural standards, and achievement of documented requirements.
Develop and maintain current state documentation and deliverables for data solutions.
Maintain existing and new data solutions to ensure that they continue to meet user needs.
Provide assistance to operational teams to ensure continuity of service.
Work with the Data Engineering community of practice to identify and implement continuous improvement opportunities.
Must have excellent analytical and problem solving skills
Performs other duties as assigned
Possesses solid working knowledge of subject matter.
May provide leadership, coaching, and/or mentoring to a subordinate group.
Ability to manage tasks independently and take ownership of responsibilities
Performs work under minimal supervision.
Demonstrated organizational, analytical and interpersonal skills
Must work and interact effectively and professionally with and for others throughout various levels of the global organization
Must have effective communication skills and ability to work in a collaborative and independent work situations and environments with minimal supervision
Ability to remain calm and receptive in fast paced situations
Ability to manage tasks independently; take ownership of responsibilities
Qualifications:
Bachelors Degree in Computer Science or other related degree; or experience of such kind and amount as to provide a comparable background.
Experience with relational SQL and NoSQL databases; experience with SQL Server, Oracle, and/or MongoDB preferred.
Preferrable 4-6 years of experience as Data Engineer
Experience building data transformations, data structures, and data pipelines.
Experience with data integration tools.
Experience with object-oriented/object function scripting languages.
Demonstrated organizational, analytical and interpersonal skills
Ability to manage tasks independently; take ownership of responsibilities

Physical Requirements:

Works under general office environment conditions
Sitting for extended periods, utilizes close visual acuity for working with computers, equipment, etc.
Must be able to perform the essential functions of the job, subject to reasonable accommodation requirements under the ADA
Requires occasional early morning or late evening teleconferences
International and domestic travel as required",$1 to $5 billion (USD),Health Care Products Manufacturing,Company - Private,Manufacturing
Business Intelligence Engineer,ireland,"Sysco Ireland
3.8",Dublin,3.8,-1,-1,-1,-1,-1,-1,Unknown,1985,"Summary:
We are looking for Business Intelligence Engineers to join our team. You will be responsible for supporting the BI platform and drive the suite of BI technologies throughout the business, with a commitment on continuous improvement.

The Business Intelligence team is dedicated to providing the business with accurate and timely access to information to influence day-to-day decision making. A critical element is to define and understand business requirements, implement data models, and deploy data representation solutions.

Responsibilities:

You know and love working with business intelligence tools, can model metrics & KPI’s on multidimensional datasets, and can partner with departmental colleagues to answer key business questions. You are analytical and creative, and you don’t quit. You will also have the opportunity to display your skills in the following areas:

Developing and maintaining ETL (Extract Transform & Load)
Conduct usage requirements, feasibility studies, and other tasks
Write and maintain scripts for report delivery
Get involved into Dashboards development & delivery activities
Documenting report system and data models
Working with the functional business leaders to build scalable processes and metrics
Communicating results to department leaders
Perform ad hoc analysis

The ideal candidate will have strong analytical abilities, be technically skilled, have superior written and verbal communication skills to go along with an excellent business acumen. They will be intrigued by a challenge and will have the determination to succeed.

Requirements:
2+ years of experience in Business Intelligence role
Degree in computer science, Statistics, Applied Math or related field; or equivalent experience
Strong SQL Server skills required
ETL tools knowledge essential
Business Intelligence experience working with very large data sets
A work ethic based on a strong desire to exceed expectations
Strong communication skills, both verbal and written
Experience working with dissimilar data sources and turning them into an integrated solution
Willing to learn new technologies

Desirable
PowerBI experience
Tableau experience
Di-Diver experience
Knowledge in R or Python a big plus
Location: Dublin, Newcastle West, Lisburn or Cork

The duties and responsibilities outlined in this job description are neither definitive nor restrictive and may change in detail from time-to-time to meet the changing needs of the business.
Sysco is an equal opportunity employer.

#IND1",Unknown / Non-Applicable,Catering & Food Service Contractors,Company - Private,Restaurants & Food Service
