Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Analytics Engineer,los-angeles,"The Bouqs Company
3.1","Marina del Rey, CA",3.1,Employer Provided Salary:$120K - $180K,2.8,3.2,2.9,3.2,3.6,51 to 200 Employees,2012,"The role contributes to The Bouq’s mission of revolutionizing the way we commemorate life’s moments by connecting people to beautifully designed floral experiences and the responsible partners who create them by being a key member of the data team. As an Analytics Engineer, you will work closely with the Product, Engineering, and Data teams to build and maintain the data infrastructure needed to support our data and business needs. You will also be responsible for developing, optimizing, and maintaining the best-in-class data pipelines, data models, and ETL processes to ensure that data is accurate, reliable, and available to stakeholders in a timely manner. The Analytics Engineer will also serve as the liaison between Engineering and Analytics and will serve as an active member in both teams.
Responsibilities:
Lead the transfer of data modeling from legacy systems to DBT
Contribute to building the data modeling layer, which exposes clean, transformed data to the whole company for analytics
Build datasets in DBT (cloud) for data analysts to improve speed and accuracy for the team
Improve current processes, whether that includes modularizing and standardizing a piece of commonly used code
Design and develop new data pipelines and streaming processes that are highly available, scalable, and reliable
Develop review processes for new data models and take charge on implementing SQL standards for the team
Actively strive towards writing performant SQL rather than just SQL that works, while also ensuring the same SQL is easy to understand when new eyes look at it
Optimize data processing and flow within our Snowflake Data Warehouse
Document new datasets and pipelines and the reasoning/story behind their structure
Work closely with engineering to keep track of schema changes in the production database and adjust pipelines, as needed
Support existing data pipelines and systems in production
Apply software engineering best practices to analytics code such as version control and testing
Develop and communicate strong opinions about best practices in analytics
Help explore and evaluate new technologies
Qualifications:
4+ years of experience working within a data team, preferably as an Analyst/Data Engineer
Bachelor's degree in a quantitative field such as statistics, mathematics, economics, or computer science preferred
Strong SQL fluency in both DDL/DML and analytics (Snowflake experience is a plus)
Experience working with JSON, DBT or other data transformation tools
Experience working with an ETL tool such as Fivetran or Stitch
Knowledge of data structures and how to write performant SQL
Experience with ensuring data quality through testing, deltas, lineage, etc
Strong communication and critical thinking skills to deliver solutions that not only solve problems but also serve as tools we didn’t know we needed
Ability to transform raw data into intuitive datasets that serve as building blocks for analytics
Comfortable leading the growth of a data warehouse and maintaining it
Capable of working through uninformative assumptions and built-biases in datasets and are not stalled when data is not perfect/sparse
Compensation & Perks:
Competitive Base Salary Range of $120,000.00 - $180,000.00 USD + Equity Package
Health, Dental & Vision with 100% employee coverage
401k Matching
Three Weeks Paid Vacation
Discounts on The World’s Best Flowers (obviously!)
Work on cutting edge new technologies
About The Bouqs:
Our mission here at The Bouqs is to revolutionize the way we commemorate life’s moments by connecting people to beautifully designed flowers and the responsible partners who create them. Grounded in transparency, responsibility, and simplicity, we create genuine moments of emotional connection for our customers, build meaningful relationships with like-minded farmers and florists while empowering them to thrive, and eliminate unnecessary waste along the way.

Founded in 2012, The Bouqs is a venture-backed online floral retailer that delivers flowers fresh from eco-friendly, sustainable farms to doorsteps nationwide. Headquartered in Marina Del Rey, CA, The Bouqs connects farms and a curated network of artisan florists directly to consumers and disrupts the traditional supply chain by eliminating overhead costs like warehouses, importers, distributors, auctioneers and more. In turn, this model enables a superior product and redefines the experience and economics for both consumers and producers alike.

For more information, visit www.bouqs.com and follow the #BouqLove on Facebook, Instagram and Twitter.
The Bouqs is an Equal Opportunity Employer!",$25 to $100 million (USD),Other Retail Stores,Company - Private,Retail & Wholesale
"Software Engineer, Data Platforms",los-angeles,"Whatnot
4.4","Los Angeles, CA",4.4,$109K - $163K (Glassdoor est.),4.3,4.3,4.2,4.4,4.0,201 to 500 Employees,2019,"Whatnot
Whatnot is a livestream shopping platform and marketplace backed by Andreessen Horowitz, Y Combinator, and CapitalG. We're building the future of ecommerce, bringing together community, shopping and entertainment. We are committed to our values, whether working remotely or from one of our offices. We are building a team that has experience from top tech, retail and payments platforms in the world.
We're innovating in the fast-paced world of live auctions in categories including sports, fashion, video games, and streetwear. The platform couples rigorous seller vetting with a focus on community to create a welcoming space for buyers and sellers to share their passions with others.
And, we're growing. Whatnot has been the fastest growing marketplace in the US over the past two years and we're hiring forward-thinking problem solvers across all functional areas.
Opportunity Size
Retail disruption is one of the largest opportunities in the startup space today. Livestream shopping is taking off around the world – a $300B GMV market in China that's grown 100% YoY. Whatnot is bringing it to the world through a community-first approach, starting in the U.S. where retail is a $5T market opportunity!
Role
We are looking for intellectually curious, highly motivated software engineers to be foundational members of our Machine Learning and Data Platform team. You will build partnerships across the company and design scalable solutions to pressing business goals.This role will drive end-to-end initiatives leveraging software, data & machine learning.
What you'll do:
Identify and make key decisions about how we build data systems at Whatnot – and then make it happen.
Contribute to the design and implementation of our data platform architecture. We're an entirely cloud-based company and team, and our environment grows more sophisticated as we scale. You will help craft best practices and roll outs to steer the direction of the team.
Work with key stakeholders to design data applications for both internal and external audiences and a variety of use cases, such as machine learning, experimentation, and real-time analytics.
Support efforts to optimize the entire data platform, including our real-time logging solutions, analytics databases, data warehouse, metrics store, and more.
You
Curious about who thrives at Whatnot? We've found that low ego, a growth mindset, and leaning into action and high impact goes a long way here.
As our next software engineer, you should have 3+ years of experience, plus:
Proficiency in at least one server-side programming language (preferably Python or C#), common algorithms and data structures, and software design principles.
Ability to write well-tested, API-driven applications and services that run at scale in production.
Significant experience in one or more of our core data platform capabilities:
Batch and streaming design patterns and tools (Kinesis, Kafka) and developing event-driven applications.
Management of cloud data warehouses (Snowflake, BigQuery, Redshift, etc.) for processing and serving data products.
Machine learning operations and tools (Orchestration, distributed model training, feature stores) for scaling out model development and supporting developers.
Understanding of the cloud, and experience with at least one of the major cloud providers (AWS, GCP, Azure) and their associated standard methodologies (basic networking, authentication/authorization patterns, patterns for high-availability and fault-tolerance, etc.).
Comfort with infrastructure-as-code approaches (Terraform, CloudFormation, Pulumi, etc.).
Professionalism around collaborating in a remote working environment. Above average documentation and communication skills.
Benefits
Competitive base salary and stock options
Unlimited Vacation Policy and Company-wide Holidays (including a spring and winter break)
Health Insurance options including Medical, Dental, Vision, Life, Short term disability & Long term Disability
Whatnot covers 99% of employee premium costs, and 75% of dependent care premiums for Medical
Dental and Vision sponsored 100% by Whatnot for employees and dependents
Work From Home Support
Laptop provided by Whatnot and home office setup allowance
$450 work-from-anywhere quarterly allowance for cell phone and internet
Care benefits
$1,350 quarterly allowance on food
$1,500 quarterly allowance for wellness
16 weeks Paid Parental Leave and gradual return to work
$5,000 annual allowance towards Childcare
$20,000 lifetime benefit for family planning, such as adoption or fertility expenses
Professional Development
$2,000 annual benefit to invest in your professional development
401k offering for Traditional and Roth accounts provided by Betterment
Employer matching contributions of 100% of up to 4% of contributions on base salary
EOE
Whatnot is proud to be an Equal Opportunity Employer. We value diversity, and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, parental status, disability status, or any other status protected by local law. We believe that our work is better and our company culture is improved when we encourage, support, and respect the different skills and experiences represented within our workforce.",Unknown / Non-Applicable,Internet & Web Services,Company - Private,Information Technology
Data Engineer,los-angeles,OP3N WORLD,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1,"OP3N was founded in 2021 as a subsidiary of EST Media Holdings, OP3N imagines a world where every human can create, own, and connect their ideas to community. Our mission is to be a launchpad for ideas and communities to create meaningful experiences together by consolidating the tools needed to mint, share and engage with NFTs and digital tokens into one vertical stack.
OP3N leverages its cross-industry expertise from the entertainment, gaming and tech ecosystems to lay the foundations for a new era of community-driven, inclusive entertainment while bringing everyone together on a journey into Web3.
We're looking for an experienced Senior Data Engineer to own and scale our data infrastructure as we continue to build a first-of-its-kind web3 super app. This is a unique opportunity to join a small team of engineering and product leaders at the ground level, building scalable data solutions for what could be hundreds of millions of active users globally.

Key Responsibilities
Immediate:
Audit current data infrastructure and availability in Cloud Firestore
Spec and implement a new data warehouse (I.e. Snowflake)
Partner with Product to develop a scalable data infrastructure and analytics framework with ever increasing user data
Partner with engineering to ensure data flows into an easily queryable solution
Ongoing
Create and audit data infrastructure as the company, users, and product grows
Build well-designed scalable systems to extract, transform, and load data into warehouses from a variety of sources
Own data for new products/features: define data sources and architecture, set up data pipeline, design warehouse & reporting, etc.
Explore available technologies and design solutions to continuously improve our data quality, workflow reliability, and scalability while reporting performance and capabilities
Ideal Background & Skillset
5+ years of professional experience in data engineering
3-4 years of deep data pipeline experience including data warehouse setup
Proven builder - has created & maintained warehouses
Excellent written and verbal communication skills - able to clearly communicate needs and directions asynchronously across key stakeholders
Experience partnering with Product and Engineering teams on large scale data projects
Technical expertise:
Fluency in Python
Knowledge of Kafka & streaming technologies
Machine learning + data modeling expertise a plus",-1,-1,-1,-1
Senior Engineer - Data,los-angeles,"VideoAmp Careers Website
3.6","Los Angeles, CA",3.6,$113K - $156K (Glassdoor est.),3.9,3.4,3.2,4.3,3.4,201 to 500 Employees,2014,"As a Senior Data Engineer, you'll be involved in the development, testing, and deployment of data models and pipelines that power our measurement platform. This platform provides our clients with disruptive insights into how their television and digital advertising is valued, transacted and measured.
Our engineers are passionate about creating quality, trusted solutions as part of a collaborative and dynamic organization. The successful candidate will be a detailed-oriented self-starter with a passion for growth and a high standard for their work.
Technologies We Use: AWS, Google Cloud, Kubernetes, Databricks, Airflow, Spark, Postgres, Snowflake, Go, Python, gRPC, Bazel
Responsibilities and Qualifications:
7+ years of experience in Data Engineering
Fluency in working with SQL and analyzing and modeling complex data
Experience working with Python or similar programming languages like Scala or Java
Experience building ETL/ELT stream/batch pipelines on big data platforms such as Snowflake, Spark or others
Collaborate with peers across the entire range of development activities that includes distilling engineering designs from product requirements and data science, development of work plans, implementation, testing, productization, monitoring, and maintenance
Strong problem-solving skills in optimizing solutions for improved performance, scalability and reduced infrastructure costs
Understanding of ad-tech terms and methodologies a plus
Experience with data privacy and secure architectures. Experience with data cleanrooms a plus
B.S. or equivalent in Computer Science, Math, or similarly technical field preferred. Advanced degree is a plus
Support the team and data environment by periodically being on call
PERKS:
Unlimited paid time off each year
Company sponsored health, dental and vision benefits for you and your dependents
Access to state-of-the-art fitness classes and personal trainers to promote your well-being
Partnership with DoorDash for meal deliveries
Employee Advisory Groups / Proactive Social Groups
401k Plan
Referral Bonus
Progressive approach to paid parental leave
Epic personal and professional growth opportunities
Minimum base salary for an Senior Data Engineer of $150,000 + Bonus + Equity + Benefits. The actual compensation offer will be determined by a number of factors, including, but not limited to, applicant's qualifications, skills, and experience.
ABOUT
VideoAmp is an advertising measurement and optimization platform increasing the value of advertising by redefining how media is valued, bought and sold. Our platform automates advertising workflows, deduplicates audiences across traditional TV, streaming video, digital media and walled gardens and connects media exposures to an advertiser's sales. By unlocking new value for the entire ecosystem, our platform allows the world's largest advertisers, agencies and publishers to align on VideoAmp's independent measurement as a new media currency to transact against.We are transforming a 100-year-old industry by powering a more effective three-way value exchange that results in increasing the return on media investment for advertisers, increasing revenue for publishers and providing a better viewing experience for consumers. Come and join us!
#LI-Remote",Unknown / Non-Applicable,Advertising & Public Relations,Company - Private,Media & Communication
"Software Engineer (L4), Data Platform APIs",los-angeles,"Netflix
4.3","Los Angeles, CA",4.3,$109K - $182K (Glassdoor est.),3.9,4.2,3.8,4.6,3.9,5001 to 10000 Employees,1997,"Los Gatos, California
Los Angeles, California
Data Platform
At Netflix, we want to entertain the world and are constantly innovating on how entertainment is imagined, created and delivered to a global audience. We currently stream content in more than 30 languages in 190 countries, topping over 220 million paid subscribers and are expanding into new forms of entertainment such as gaming.

The Data Platform teams at Netflix enable us to leverage data to bring joy to our members in many different ways. We provide centralized data platforms and tools for various business functions at Netflix, so they can utilize our data to make critical data-driven decisions. We do all the heavy lifting to make it easy for our business partners to work with data efficiently, securely, and responsibly. We aspire to lead the industry standard in building a world-class data infrastructure, as Netflix leads the way to be the most popular and pervasive destination for global internet entertainment.

The mission of the Data Platform Notebooks and APIs team is to boost the productivity of the data science and engineering community at Netflix. This means enabling users to spend more time solving business problems and less time engineering lower-level systems. We provide our internal users with a customized version of Jupyter Notebooks, as well as Python APIs that allow them to programmatically access the data platform. The Python API provides programmatic access to the Data Platform, enabling users to query data, interact with tables, move data, and manage batch jobs and workflows. On the front end, we use a combination of JavaScript technologies and increasingly rely on the React framework and JupyterLab extensions. On the backend, we have built services and protocols using Scala, GraphQL, Node.js, and Python. As a member of the Notebooks and APIs team, your work will directly impact the productivity of our data engineers, data scientists, and machine learning engineers.

We are seeking an engineer to contribute to the evolution and innovation of our data analytics tools. We are committed to building a diverse and inclusive team to bring new perspectives as we solve the next set of challenges.
This would be your dream job if you enjoy:
Solving real business needs at large scale by applying your software engineering and analytical problem-solving skills.
Strongly interested in data analytics and passionate about building tools for data scientists and machine learning engineers
Leading cross-functional initiatives and collaborating with engineers, product managers, and TPM across teams.

About you:
You are an expert in python, and have extensive experience with with Python package management tooling
You have 3+ years of experience building APIs / SDKs and large-scale distributed systems features or applications.
Experience with GraphQL integration and development
Experience in building and operating scalable, fault-tolerant, distributed systems
Experience with any of these domains: Data science (e.g., Jupyter Notebooks, pandas, numpy), Machine Learning (e.g., TensorFlow, PyTorch, scikit-learn) a huge plus
Experience in big data technologies and orchestration tools (e.g Spark, Presto/Trino, Druid, Snowflake) a huge plus
Experience with visualization tools such as Tableau and Looker a plus
Experience building front end applications (React, Node, etc.) a plus
At Netflix, we carefully consider a wide range of compensation factors to determine your personal top of market. We rely on market indicators to determine compensation and consider your specific job family, background, skills, and experience to get it right. These considerations can cause your compensation to vary and will also be dependent on your location.

The overall market range for roles in this area of Netflix is typically $100,000 - $700,000

This market range is based on total compensation (vs. only base salary), which is in line with our compensation philosophy. Our culture is unique, and we tend to live by our values, so it’s worth learning more about Netflix here.",$5 to $10 billion (USD),Internet & Web Services,Company - Public,Information Technology
"Data Engineer, Product Analytics",los-angeles,"Meta
3.9","Los Angeles, CA",3.9,Employer Provided Salary:$109K - $166K,4.0,3.7,3.3,4.6,3.6,10000+ Employees,2004,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for our 3 billion plus users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges with efficiency and integrity, at a scale few companies can match.


Data Engineer, Product Analytics Responsibilities:
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve
Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights in a meaningful way
Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership
Design, build and launch new data models and visualizations in production, leveraging common development toolkits
Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries
Support existing processes running in production and implement optimized solutions with limited guidance
Define and manage SLA for data sets in allocated areas of ownership



Minimum Qualifications:
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
2+ years of work experience in data engineering
Experience with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.)



Preferred Qualifications:
Experience with one or more of the following: data processing automation, data quality, data warehousing, data governance, business intelligence, data visualization, data privacy
Experience working with terabyte to petabyte scale data





Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. You may view our Equal Employment Opportunity notice here. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We may use your information to maintain the safety and security of Meta, its employees, and others as required or permitted by law. You may view Meta's Pay Transparency Policy, Equal Employment Opportunity is the Law notice, and Notice to Applicants for Employment and Employees by clicking on their corresponding links. Additionally, Meta participates in the E-Verify program in certain locations, as required by law",$10+ billion (USD),Internet & Web Services,Company - Public,Information Technology
Senior Data Engineer,los-angeles,"Bespoke Financial
4.0","Los Angeles, CA",4.0,$111K - $163K (Glassdoor est.),4.0,4.0,4.0,3.0,4.0,1 to 50 Employees,Company - Private,"Bespoke Financial is the first FinTech lender focused on providing debt financing to companies in the legal cannabis industry in the US. The cannabis industry is growing quickly and projected to be a $40+ Billion dollar market by 2024 and a $100+ Billion market by 2030. Bespoke Financial provides operators with flexible financing (ex. working capital) to grow and scale their companies.
In the past year, Bespoke Financial's revenue increased +100% YoY (as of Q3 2022) and continues to scale rapidly as more states legalize cannabis. Our significant growth demonstrates our product market fit as we address the most pressing need for the legal cannabis operators, access to non-dilutive financing to grow their own businesses.
You'll make data and data products accessible to Bespoke Financial:
For customer and internal Operations use cases
For internal data scientists, which will also include data tooling for them
Responsibilities:
Be the ""go-to person"" for all things related to data engineering.
Design and build user-friendly data platforms upon which data scientists can easily test and deploy models to production.
Build and maintain robust, observable data pipelines.
Guarantee timeliness, reliability, and correctness of large amounts of data.
Scope, design, and build tools for internal users to increase their efficiency ten-fold.
Design and implement customer facing data services and products from end to end.
Collaborate closely with analysts and data scientists to deeply understand business problems and data needs and then be a guiding voice in architecting solutions.
Maintain a strong data-driven culture within the company by interacting with diverse internal functions.
Requirements:
3+ years experience in software engineering, 1+ years specifically with data engineering.
Strong communication skills and previous experience working with cross-functional business groups.
Experience with data pipelines and data warehousing, such as Google BigQuery,
Amazon Redshift, or Snowflake.
Proficiency in capture and maintenance of data in SQL and NoSQL databases.
Proficiency in fast-paced software engineering on an engineer team, following software engineering development cycles.
Experience working with Python.
Strong sense of agency and self-initiative / intrinsic motivation to push projects forward.
Innate sense of curiosity to discover business opportunities powered by data.
Process-oriented, detail-oriented, and analytically-oriented mindset.
Natural enjoyment from solving complex problems with a methodical approach.
Bespoke Financial is an equal opportunity employer. We strive to be a welcoming place for everyone, and we do our best to make sure everyone feels supported and connected at work!",-1,-1,Unknown / Non-Applicable,-1
Sr. Data Engineer,los-angeles,DataPattern,"Los Angeles, CA",-1,Employer Provided Salary:$65.00 - $75.00 Per Hour,-1,-1,-1,-1,-1,1 to 50 Employees,Company - Public,"Responsibilities
● Contribute to the design and growth of our Data Products and Data Warehouses around Engagement and Retention Analytics and Data Science
● Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid)
● Our tech stack includes Hadoop, AWS, Snowflake, Spark and Airflow and languages include Python, Scala
● Help architect data solutions/frameworks and define data models for the underlying data warehouse and data marts
● Collaborate with Data Product Managers, Data Architects and Data Engineers to design, implement, and deliver successful data solutions
● Maintain detailed documentation of your work and changes to support data quality and data governance
● Ensure high operational efficiency and quality of your solutions to meet SLAs and support commitment to our customers (Data Science, Data Analytics teams)
● Be an active participant and advocate of agile/scrum practice to ensure health and process improvements for your team
Basic Qualifications
● 6+ years of data engineering experience developing large data pipelines
● String Python programming skills
● Strong SQL skills and ability to create queries to extract data and build performant datasets
● Hands-on experience with distributed systems such as Spark, Hadoop (HDFS, Hive, Presto, PySpark) to query and process data
Preferred Qualifications
● Experience with at least one major MPP or cloud database technology (Snowflake, Redshift, Big Query)
● Nice to have experience with Cloud technologies like AWS (S3, EMR, EC2)
● Solid experience with data integration toolsets (i.e Airflow) and writing and maintaining Data Pipelines
● Familiarity with Data Modeling techniques and Data Warehousing standard methodologies and practices
● Good Scripting skills, including Bash scripting and Python
● Familiar with Scrum and Agile methodologies
● You are a problem solver with strong attention to detail and excellent analytical and communication skills
Job Type: Full-time
Salary: $65.00 - $75.00 per hour
Experience level:
6 years
Schedule:
Monday to Friday
Experience:
SQL (Preferred)
Informatica (Preferred)
Data warehouse (Preferred)
Work Location: On the road
Speak with the employer
+91 9256270467",-1,-1,Unknown / Non-Applicable,-1
"Enterprise Customer Engineer, Data Analytics, Google Cloud",los-angeles,"Google
4.4","Los Angeles, CA",4.4,-1,-1,-1,-1,-1,-1,10000+ Employees,1998,"This role may also be located in our Playa Vista, CA campus.

Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Irvine, CA, USA; Los Angeles, CA, USA.
Minimum qualifications:
Bachelor's degree in Computer Science or equivalent practical experience.
6 years of experience in virtualization or cloud native architectures in a customer-facing or support role.
Experience with traditional Big Data technologies, Analytic Warehousing technologies, data processing technologies, performance and scalability optimizations.
Experience delivering technical presentations and live demonstrations in an enterprise business environment.

Preferred qualifications:
Experience with technical sales or professional consulting in the fields of cloud computing, data, information lifecycle management, and Big Data.
Experience with architecture design, implementing, tuning, schema design, and query optimization of scalable and distributed systems.
Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing (e.g., Extract, transform, and load /Extract, Load, and Transform), data migrations, data visualization tools, and data governance on cloud native architectures.
Knowledge of cloud computing (e.g., infrastructure, storage, platforms, and data), cloud market, engaged dynamics, and customer buying behavior.
About the job
When leading companies choose Google Cloud it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You listen and deliver what is most helpful for the customer. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products.
In this role, you will work with Sales teams as an enterprise data analytics subject matter expert. You will help prospective customers and partners understand Google Cloud, explaining technical features, helping customers design architectures, engage in proof-of-concepts, and provide technical closure for roadblocks related to our analytics and business intelligence portfolio.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
Additional Information:
The US base salary range for this full-time position is $139,000-$213,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.

Responsibilities
Support local Sales teams in pursuit of key business opportunities, engaging customers to address aspects of the data lifecycle.
Identify business and technical requirements, conduct full technical discovery, and design client solutions to meet gathered requirements.
Lead technical projects, including activities such as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging to highlight the Google Cloud Platform value proposition, using techniques that include whiteboard and slide presentations, product demonstrations, white papers, and Request for Information (RFI) response documents.
Work with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel for meetings, technical reviews, and onsite delivery activities as needed.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",$10+ billion (USD),Internet & Web Services,Company - Public,Information Technology
Senior Data Engineer,los-angeles,"Talent Systems
4.8","Los Angeles, CA",4.8,Employer Provided Salary:$140K - $150K,4.8,4.1,3.7,4.2,3.5,51 to 200 Employees,Company - Private,"*This is a remote position*

Company and Team Overview:

Talent Systems, LLC is the leading technology solution provider for casting and auditioning to the entertainment industry. Casting directors and agents worldwide use Talent Systems’ portfolio of products to source and manage talent across film, television, commercials, theater and digital projects, powering an unparalleled, global casting software ecosystem. We are headquartered in Los Angeles and operate in the US, Canada, UK, Australia and India. Our portfolio brands include Casting Networks, Spotlight, Cast It Systems, Cast It Talent, Casting Frontier, Staff Me Up, and Cast It Reach.

The Talent Systems Data Engineering Team is based in Los Angeles and extends to New York, UK, Australia and Asia. The team delivers data solutions for Talent Systems, as well as maintains databases & data sets for strategic decision-making purposes.

Job Purpose:

The Lead/Sr Data Engineer is responsible for architecting, building and supporting the data and analytic technologies that support Talent Systems portfolio of applications and services. The Lead/Sr. Data Engineer’s primary focus is expanding and optimizing data and data pipeline architecture, as well as optimizing data flow and data collection, and visualizations for Talent System’s cross functional teams.

Duties and Responsibilities:

Working with complex data sets coming from multiple data sources
Identifying key business requirements related to data models from business and technical perspectives
Identifying data quality issues and apply data cleansing strategies when applicable
Designing and implementing data pipelines, e2e data transformations, managing data models and organize data structure changes
Providing recommendations based on emerging technologies, and seeking areas for continuous improvement
Leading migration from a legacy data platform into the new business warehouse stack
Providing support during SDLC cycles, resolving escalated design and implementation issues whenever applicable
Building visualizations to provide actionable insights that can empower better decision-making processes

Qualifications & Attributes:

Strong understanding of ETL tools, processes and techniques
Hands-on experience with SQL databases & data warehouse engines
Ability to design and implement models and solutions to manage data within the enterprise (structured and unstructured)
Working knowledge of Python (core and data related libraries)
Strong hands-on experience with one more following technologies: Airflow, AWS (S3, Glue, Lambda, EMR, RDS), GCP (BigQuery), python, and others.
Excellent communication and problem-solving skills
Multi-tasking abilities

Benefits:

Competitive base
Performance-based bonus
Comprehensive medical/dental/vision/mental health
benefits program
401(k)
Unlimited Leave
Virtual + In-Person events",-1,-1,Unknown / Non-Applicable,-1
