Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Engineer,new-york,"Okaya infocom
4.0","Jersey City, NJ",4.0,Employer Provided Salary:$50.00 - $75.00 Per Hour,3.7,3.9,3.5,3.8,3.8,Unknown,2006,"Experience in Bigdata (Kafka, Elastic search, Logstash, Kibana)
Experience in Aws Managed services MSK, Glue, IAM etc
Experience in Hortonworks Data Platform or Cloudera Distribution stacks
AWS Development experience using these services ( RDS with Postgres SQL Experience, DynamoDb, Data Pipeline, Data Base Migration, AWS Kafka )
Experience in CDC process (Added Advantage if knowledge in Debezium or any CDC tools)
Required Experience in SQL or ORACLE ( Must),Data Modeling Concepts.
Required experience with Data Engineering and ETL/EDW Design Process and Practices.
Experience with GIT / Bit Bucket / SVN configuration for code check-in/Check-out and CI CD knowledge.
Experience with Source to Target mapping and Data Modeling practice.
Experience with Rest API Process ( PUT/GET)
Experience in Agile Methodology using SCRUM or Kanban
Insurance domain experience is a plus.
Handling Client experience will be added advantage
Job Types: Full-time, Contract
Salary: $50.00 - $75.00 per hour
Experience level:
10 years
11+ years
9 years
Schedule:
8 hour shift
Application Question(s):
What is your Work Authorization?
What's the RATE you are looking for?
Are you willing to relocate?
Experience:
Informatica: 7 years (Required)
SQL: 9 years (Required)
Data warehouse: 8 years (Required)
Work Location: On the road",Unknown / Non-Applicable,Information Technology Support Services,Self-employed,Information Technology
Junior Data Engineer,new-york,"Yieldstreet
3.9","New York, NY",3.9,Employer Provided Salary:$100K - $130K,3.9,4.1,3.5,4.0,3.8,51 to 200 Employees,2015,"About the Role:
We are looking to expand our data organization by adding a Data Engineer to solve a variety of interesting problems to facilitate a better experience for retail investors, promoting capital-raising efficiency, and helping investors realize their next level. In this role you will wear multiple hats. You will be working with data scientists, product, and business stakeholders to build and organize data pipelines that help the company become smarter about its products and operations, as well as help foster a data-driven culture. In addition, you will also be asked to develop dashboards and other tools to help automate and accelerate the cycle of insights discovery. Only accepting candidates at the entry level or with 1 years of experience with a stellar track record in a data engineer.
What you'll do:
Expand and maintain data warehouse (DWH) to incorporate data from multiple sources
Build ETL pipelines to ingest new data
Design processes to export data from DWH to stakeholders
Streamline and automate workflows for data engineering and science development
Build dashboards to help stakeholders access insights
Identify opportunities to increase or improve our data capture
What you’ll need:
Bachelor's degree or higher in a quantitative field e.g. computer science, statistics, applied math or related field, or equivalent experience
Talented candidates at the entry level or with 1 years of experience with a stellar track record in a data engineer role.
Experience working with diverse groups of internal or external stakeholders
Strong proficiency in SQL and Python
Experience with dimensional data modeling
Familiarity with BI tools e.g. Tableau, Looker
Ability to pick up new technologies and quickly grasp new concepts
Comfort in exploring in uncharted and undefined spaces while staying focused on what is important for the business
About YieldStreet
YieldStreet is building the largest global digital wealth management platform to change the way wealth is created. With an investor-first approach, our investor community builds a diversified portfolio of investments outside of the stock market to generate passive income. YieldStreet is giving unprecedented access to asset classes such as Real Estate, Marine, Legal, Art & Commercial. We’re headquartered in New York City with offices in Miami, Brazil, Argentina, Malta and Greece.
Why Yieldstreet
Join a team of diverse, smart, and friendly people from 8 different countries who speak a total of 17 different languages who are on a mission to make alternative investments a fundamental part of the modern portfolio. Our team is comprised of successful entrepreneurs with combined exits of over $1B. We get social with each other during happy hours, exercise classes and team off sites! We are a hybrid work company giving you the opportunity to connect with your peers in real time with the flexibility to work remotely a few days per week.
What’s in it for you:
Competitive compensation packages including equity
Health, dental & vision coverage with FSA/HSA options
Unlimited PTO
401k Match
Learning and Development stipend
Wellness credit
Paid lunch once a week
Commuter benefit
Life insurance
Sabbatical
Summer Fridays
Compensation:
HIRING SALARY RANGE: $100,000 - 130,000 (Actual salary to be determined by the education, experience, knowledge, skills, and abilities of the applicant, internal equity, and alignment with market data.) Compensation package also includes benefits and equity.",Unknown / Non-Applicable,Investment & Asset Management,Company - Private,Financial Services
Data Engineer,new-york,"Munich Re America
4.2","New York, NY",4.2,Employer Provided Salary:$87K,3.9,4.1,3.8,4.1,4.0,10000+ Employees,1880,"Data Engineer
Company
Munich Re America
Location
New York , United States
This position is open to the following locations: New York, Princeton, NJ, Chicago, IL, Philadelphia, PA.

Data Engineer

The Company
Munich Re Specialty Insurance (MRSI) provides extensive, specialty property and casualty insurance solutions to customers through select brokers, Managing General Agents, program administrators, cover holders and insurtech partners. Products include: property, casualty, professional liability and other specialty insurance solutions. Our comprehensive, customized solutions are provided by A+ rated carriers and are tailored to clients’ needs. We offer superior service levels, industry-recognized underwriting and claims expertise and innovative approaches to complex and evolving risks.

Munich Re Specialty Insurance (MRSI) is a description for the insurance business operations of affiliated companies in the Munich Re Group that share a common directive to offer and deliver specialty property and casualty insurance products and services in North America. For more information on MRSI, including licensing, regulatory-required, and other information on the operating companies, visit https://www.munichre.com/us-non-life/en/general/munich-re-specialty-insurance-disclosures.html.

The Position
The person in the role will execute on the technical development of modern data landscape for the company, building the requirement to deliver data in good quality for use in analytics and reporting. The role will sit on the Data Team, a group of data architects and data engineers charged with acquisition, organization, integration and secure storage of mission-critical and value added enterprise data.

A successful individual will have very strong data engineering experience and can demonstrate mastery of data warehousing concepts using both current and emerging best practices and technologies. They will enjoy connecting the dots between process and have an aversion to slow development cycles and the same old ways of doing things. Speed and agility in developing and delivering data driven solutions will be critical.

This role reports to the Head of Data as part of a function that is accountable and responsible for the reliable delivery of data and insights that the business needs to understand performance and adjust strategy and operate smoothly in the face of ambitious growth and changing technology and operating models internally, and a shifting risk and competitive landscape. In this position you will:

Act as the owner and developer of a predefined subset of processes and data pipelines, ensuring highly accurate and reliable delivery of outputs
Collaborate with technical and business experts to improve our existing data landscape and drive better data driven decisions within the business.
Adhere and enhance ETL and architecture standards and procedures to ensure consistency and accuracy of development, execution, knowledge sharing and documentation.
Work closely with business architecture, IT and analytic teams help implement an end to end data strategy from data ingest to output into business tools.
Coordinate closely with delivery lead and data team lead to ensure work is scoped, planned and delivered on-time and budget.
Adhere and enhance the existing data governance framework and personally ensure compliance with regulatory and privacy requirements.
Maintain a close working relationship with other group data teams within Munich RE to understand existing solutions and resources available for use within MRSI.

Qualifications:
This position requires sound technical skills, good judgement, strong operational focus and ability to organize and manage workflow in fast paced environment with focus on service and business value. Successful candidates will be possess the following skills/capabilities:

Technical: Strong coding skills and experience developing operational/data warehouses/lakes code
Commercial Insurance : ability to understand complex business priorities and translate them into clearly defined technical/data specifications for implementation
Innovation: forward thinking and passionate about solving problems and has a strong drive to constantly learn and keep up to speed with the new technologies
Organization: Ability to deal with ambiguity and operate in a fast-paced and rapidly changing environment with competing project priorities
Communication: Ability to communicate clearly, effectively, and concisely, both verbally and in written form.
Qualifications:
3+ years’ experience in a data engineering role with exposure to system design, data modelling, data-curation and validation procedures
3 + years hands on experience in HSQL, SQL, Python, Hadoop, C#, Azure Environment/ADF and other web development application
Bachelor’s Degree in Computer Science, Statistics, Math or equivalent combination of education and experience
In depth knowledge of database structure principles, data modelling concepts, ETL procedures, Cloud data etc.
Knowledge of data provisions requirements for web based business intelligence tools including Cognos, PowerBI and Tableau.
Experience/knowledge of insurance preferably commercial specialty
Experience working on data projects involving data engineers, architects and analysts.
Knowledgeable with agile development methodologies and tools (i.e. Jira, AzureDevOps)
Knowledge and ability to perform data profiling activities
Experience troubleshooting issues and identifying/documenting Root Cause and documenting a course of action to resolve

The Company is open to considering candidates in numerous locations, including NYC. The salary range posted below applies to the Company’s NYC location.

The base salary range anticipated for this position is $86,900.-$131,300., plus opportunity for company bonus based upon a percentage of eligible pay. In addition, the company makes available a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability insurance, 401k match, retirement savings plan, paid holidays and paid time off (PTO).

The salary estimate displayed represents the typical salary range for candidates hired in this position in NYC. Factors that may be used to determine your actual salary include your specific skills, how many years of experience you have and comparison to other employees already in this role. Most candidates will start in the bottom half of the range.

At Munich Re US, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.

We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Apply now!",$10+ billion (USD),Insurance Carriers,Company - Public,Insurance
Junior Data Engineer,new-york,"Open Road Media
4.0","New York, NY",4.0,Employer Provided Salary:$55K - $75K,3.9,3.5,3.5,3.2,4.1,1 to 50 Employees,Company - Private,"About Open Road Integrated Media
Open Road Integrated Media is a prestige content brand delivering digital experiences that entertain and inform readers around the world. Open Road was founded in 2009 with the belief that great marketing and great content are the engines of growth for underserved authors and books. This philosophy is at the core of everything that we do. Open Road revolutionizes how publishers service authors, agents, and readers.
Summary
The Data Engineering and Analytics team is seeking a Junior Data Engineer. This role will work on various types of tasks and projects. The members of Data Engineering and Analytics team uses rigorous analytics to generate insights that inform product, marketing, and business decisions across the company. In the meantime, we build systems, infrastructure, data products for collecting, storing, and visualizing data to foster the data democracy in the company. We work in Python, SQL and we work with technologies like Airflow, Django, Tableau, Spark.
Essential Functions
ETL
Design and build ETL pipelines by using Airflow to collect data from different sources to data warehouses
Build pipeline integration with our various data products for long-running processes
Identify the room for optimizing relational data storage through design, query optimization, indices, replicas, partitioning, etc.
Automation
Build ad-hoc scripts or recurring processes to fully/partially automate labor-intensive workflows of other departments (e.g. Production, Marketing)
Requirements
1-2 years hands-on experience in ETL design, implementation and maintenance
Experience in schema design and data modeling
Experience in writing complex SQL queries to extract data from relational databases (e.g. MySQL, Redshift)
Experience in version control systems such as Git
Experience in the following tools/technology is a plus
Airflow, Django, Git, Docker
Comfortable with extensive Python coding
Willing to work with a codebase that is not originally written by you
Good communication skills; understand that being an effective engineer is about communicating with people as much as it is about writing code
Willing to learn any language/tools/frameworks that are necessary to get the job done
Compensation
Salary will be commensurate with qualifications and experience. The salary range for this position is $55,000.00 - $75,000.00.
wqwv4PNMQK",-1,Media & Communication,Publishing,Unknown / Non-Applicable
Data Engineer (PAID BOOTCAMP),new-york,"PCS GLOBAL TECH
4.7","Brooklyn, NY",4.7,Employer Provided Salary:$60K - $80K,4.6,4.6,4.6,4.5,4.2,501 to 1000 Employees,Company - Private,"SQL Developer duties and responsibilities
Development of high quality database solutions
Develop, implement and optimize stored procedures and functions using T-SQL
Review and interpret ongoing business report requirements
Research required data
Build appropriate and useful reporting deliverables
Analyze existing SQL queries for performance improvements
Suggest new queries
Develop procedures and scripts for data migration
Provide timely scheduled management reporting
Investigate exceptions with regard to asset movements
SQL Developer requirements and qualifications
1-3 years of experience as a SQL Developer or similar role
Excellent understanding of T-SQL programming
BS/MS degree in Computer Science, Engineering or a related subject
Good knowledge of HTML and JavaScript
1 year of experience with SQL Server Reporting Services and SQL Server Analysis Services
Critical thinker and problem-solving skills
Good time-management skills
Great interpersonal and communication skills
Job Types: Full-time, Contract
Salary: $60,000.00 - $80,000.00 per year
Compensation package:
Monthly bonus
Experience level:
1 year
Under 1 year
Experience:
SQL: 1 year (Preferred)
Work Location: On the road",-1,Information Technology,Information Technology Support Services,Unknown / Non-Applicable
Data Engineer,new-york,"theSkimm
2.6","New York, NY",2.6,Employer Provided Salary:$125K - $135K,2.6,2.5,2.1,3.1,2.6,51 to 200 Employees,2012,"theSkimm'
We're hiring a Data Engineer.
About our team and what we'll build together
We're looking for an experienced Data Engineer and mentor to join theSkimm's Tech team. Our mission is to enable our partners across theSkimm, from Editorial and Audio to Marketing and Advertising, to achieve their goals with the best systems and processes we can offer. We build tools throughout the stack, share knowledge across departments, and learn quickly so we can take best advantage of what's coming.
As we grow, we're looking for a Data Engineer who will help solidify and expand our pipelines and maintain our data warehouse. Our business is run on detailed analysis of how our products perform with our members, which features they love and which can be improved, and which product and marketing campaigns are bringing in the best quality users. You'll be responsible for working alongside analysts, product, marketing, and other teams to define new data collection components and measurement schemes that support each new product and feature.
How you'll contribute to our mission
Create and maintain data pipelines to provide insights and drive business decisions
Establish theSkimm's data warehousing strategy (ex. Kimball, Data Vault, etc.)
Maintain theSkimm's data infrastructure on our AWS accounts
Collaborates with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.
Write unit/integration tests, contributes to engineering wiki, and documents work
Implement processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it
You're ready for this! Here's a bit more about what we're looking for
3+ years of industry experience measuring product performance and user behavior
Experience working with a variety of data management technologies, including RedShift, Kinesis/Kafka, Glue, Spark, Postgres, Airflow, dbt, and others.
Experience implementing BI reporting tools such as Looker
Experience interfacing with engineers, product managers and analysts to understand data needs
Knowledge of a variety of measurement beacons, SDKs, APIs including Google Analytics, Amplitude, Braze, Stripe, email service providers
A commitment to building secure, resilient, fault-tolerant architectures, with clear documentation and procedures in place for support
A focus on accuracy and detail as you build, ensuring data pipelines produce clear, predictable results
Ability to thrive in a dynamic, fast-paced, collaborative, and high-growth environment
Facility in presenting and discussing the trade-offs in employing different engineering solutions to a problem, valuing pragmatism over idealism
An empathetic leadership style that encourages open communication and trust
Understanding of the typical metrics a subscription and advertising-supported business needs to measure success
Experience with ML techniques as applied to behavioral segmentation or anomaly identification is a plus
Familiarity using developer tools that increase productivity and facilitate the development of resilient code (eg. Docker, CircleCI, Serverless) is a plus
Familiarity and enthusiasm for theSkimm: a passion for our audience and mission is a plus
The expected annual base salary for this role is $125,000-$135,000. We'll consider a variety of factors when determining the offered base salary including an evaluation of a candidate's skills, abilities, experience, location, market demands, and internal parity.
Why our employees love working here
We are mission driven and values driven:
We are collectively building an impactful brand to empower generations of informed, confident women. Our vision is for every woman to have the info they need to navigate a complex world and the decisions in it. Every role has a purpose and allows us to provide useful information succinctly and contextualized. We tee her up to take action - whichever action is right for her, wherever she is.
We are values driven at every point - how we work, the way we work and our culture come straight from our core values. Each of us supports this incredible brand and takes part in its continued growth, fulfilling the needs of our audience each and every day.
We put you and your personal lives first - we have a generous benefits policy that demonstrates we are listening to what our employees need:
Unlimited vacation policy and generous holiday observances
Encouraged time off on your birthday and Skimm'versary
A hybrid working model with flexibility for remote work
Comprehensive insurance plans and commuter benefits
Auto-enrollment into an Empower 401(k) plan starting on your first day and employer contribution available after one year of employment
Rewards for every work anniversary
One month paid sabbatical after your five year Skimm'versary as a full-time employee
We support our parents at all points on their journey:
18 weeks of paid parental leave (adoption, fostering and surrogacy included)
Bereavement leave for pregnancy loss
Phased return to work schedule availability
Flexibility based on parental schedules
Access to family building and fertility benefits
Flexible and broad-scale child support program
Your well being is our priority:
We honor Sacred Time in our workplace
We have aligned company ""time off"" during the summer to truly allow for us all to break from our work at the same time
We offer fitness membership reimbursement
One Medical Membership is included with our benefits
We have a vibrant, collaborative, and supportive culture (we celebrate and have fun!):
Weekly company updates led by our executive team
Employee Resource Groups
Annual employee award ceremony to celebrate individual accomplishments
Clubs and activities designed to meet other employees like book clubs, new hire buddy programs, off-sites, and wellness focused classes
Numerous culture events that enable our workforce, in the office and remote, to connect and have fun
Your career and development are a priority:
Annual learning and development stipend
LEAD@theSkimm, our leadership development program
DEI initiatives to ensure we are the best partners and colleagues to each other
Career development guidance and planning
And more…
Competitive salary and equity packages
The opportunity to be part of a values-driven, hardworking, and diverse group of people building a media company that makes it easier to live smarter
Our story, Skimm'd
We are a digital media company, dedicated to succinctly giving women the information they need to make confident decisions. We make it easier to live smarter.
At our core, we are writers, editors, producers, designers, marketers, engineers, analysts, sellers, creatives, and strategists all working together to achieve this goal.
Every day we're breaking down the news, trends, policies, and politics that impact women so that they can navigate their daily lives and futures – from managing their paychecks to casting their ballots – with confidence. We provide our dedicated audience of millions with reliable, non-partisan, information, informing and empowering them while fitting into their daily routines.
Since disrupting the media landscape and defining a new category a decade ago, we have become a trusted source for our audience of millions by seamlessly integrating into their existing routines, fundamentally changing the way they consume news and make decisions. Today theSkimm ecosystem includes the Daily Skimm, the Daily Skimm: Weekend, Skimm Money and Skimm Your Life newsletters, B2B marketer's newsletter The SKM Report, ""9 to 5ish with theSkimm"" podcast, theSkimm mobile app. We also house Skimm Studios which creates innovative in-house video and audio content, and our in-house creative agency SKM Lab, which conceptualizes, develops, and produces innovative solutions and content for brands to engage with generations of informed women. Our first book, How to Skimm Your Life debuted at #1 on The New York Times Best Seller list. Through Skimm Impact, our purpose-driven platform, we are proud to support get-out-the-vote efforts with Skimm Your Ballot, which has spurred more than two million voting-related actions across the last four election cycles. We have mobilized hundreds of companies to join our #ShowUsYourLeave movement, which has created transparency and pushed for progress for Paid Family Leave in the U.S. And we're empowering women to take agency of their lives and control of their futures through our State of Women initiative, grounded in a study conducted by The Harris Poll.
Come join us!
Learn more about us and our other opportunities here.
What about the office?
This is a full-time role with flexibility for remote work.
Our office is available to use three days a week - Tuesday, Wednesday, and Thursday. We have a hybrid environment and ask that employees within the New York Metro area come together in person a minimum of three days per month. All other days are up to the discretion of the employees during the three days a week that the office will be open.
We are continuing to closely monitor the state of COVID-19 in New York and will adjust this plan accordingly.

Any correspondence from our team will come from a @theskimm.com email account!
Please click here for theSkimm's Privacy Policy and Terms & Conditions.
Important Notice to Job Applicants residing in the State of California
Natural persons who reside in the State of California should review the Notice to California Residents (Job Applicants). You may have additional rights under California law.",Unknown / Non-Applicable,Publishing,Company - Private,Media & Communication
"Data Engineer, Product Analytics",new-york,"Meta
3.9","New York, NY",3.9,Employer Provided Salary:$134K - $194K,4.0,3.7,3.3,4.6,3.6,10000+ Employees,2004,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for our 3 billion plus users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges with efficiency and integrity, at a scale few companies can match.


Data Engineer, Product Analytics Responsibilities:
Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems
Create and contribute to frameworks that improve the efficacy of logging data, while working with data infrastructure to triage issues and resolve
Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way
Define and manage SLA for all data sets in allocated areas of ownership
Determine and implement the security model based on privacy requirements, confirm safeguards are followed, address data quality issues, and evolve governance processes within allocated areas of ownership
Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains
Solve our most challenging data integration problems, utilizing optimal ETL patterns, frameworks, query techniques, sourcing from structured and unstructured data sources
Assist in owning existing processes running in production, optimizing complex code through advanced algorithmic concepts
Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts
Influence product and cross-functional teams to identify data opportunities to drive impact
Mentor team members by giving/receiving actionable feedback



Minimum Qualifications:
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
4+ years of work experience in data engineering (a minimum of 2+ years with a Ph.D)
Experience with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.)



Preferred Qualifications:
Master's or Ph.D degree in a STEM field
Experience with one or more of the following: data processing automation, data quality, data warehousing, data governance, business intelligence, data visualization, data privacy
Experience working with terabyte to petabyte scale data





Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. You may view our Equal Employment Opportunity notice here. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We may use your information to maintain the safety and security of Meta, its employees, and others as required or permitted by law. You may view Meta's Pay Transparency Policy, Equal Employment Opportunity is the Law notice, and Notice to Applicants for Employment and Employees by clicking on their corresponding links. Additionally, Meta participates in the E-Verify program in certain locations, as required by law",$10+ billion (USD),Internet & Web Services,Company - Public,Information Technology
Big Data Engineer,new-york,"Fuge Technologies Inc
4.7","Jersey City, NJ",4.7,Employer Provided Salary:$70.00 - $75.00 Per Hour,4.7,4.7,4.3,4.5,4.5,1 to 50 Employees,Contract,"Big Data Engineering Technical Lead
Mandatory Skills
Big Data – Spark, Kafka, Databricks, Hive, Nifi
AWS, Java, Scala
Client Interview Needed for Selection (yes / No)
Yes
Detailed JD (Pl share the Detailed Description, 1 liner JD will not work)
10+ yrs experience as Data Engineer
Extensive experience in spark on data processing
Kafka design experience like monitoring & parallelism.
Comfortable with Python/Java/Scala coding experience
Crisp / clear cut communication
Flexible with learning new technology
Flink experience is a plus
AWS experience is nice to have
Job Type: Contract
Salary: $70.00 - $75.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Jersey City, NJ 07302: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location",-1,-1,Unknown / Non-Applicable,-1
Snowflake Data Engineer,new-york,"ASA
3.6","New York, NY",3.6,Employer Provided Salary:$77.00 - $78.00 Per Hour,3.6,3.5,3.6,3.4,3.5,51 to 200 Employees,1999,"At least 5 years working with t-SQL and enterprise schedulers
At least 2 years’ experience in building SnowSQL scripts, Snowflake functions and stored procedures
Experience working with Azure data factory is preferred but not required
Experience working with Azure databricks is preferred but not required
At least 3 years of full-time development experience using Python
Proficient understanding of algorithms, data structures, architectural design patterns and best practices
Extensive experience in software development and the entire SDLC
Solid understanding of a variety of programming tools and development platforms
Excellent organizational and leadership abilities.
Highly analytical mindset, with an ability to see both the big picture and the details
Experience in creating high-level product specifications and design documents
Proven collaboration and influencing skills
Integration experience (ETL, ELT) with Python
Familiarity with SSIS is preferred but not required
General development expertise, use of version control, ticketing, and continuous integration systems
Experience in an Agile Development environment
Education
Bachelor's or equivalent in a STEM based discipline
Job Type: Contract
Salary: $77.00 - $78.00 per hour
Benefits:
Parental leave
Schedule:
8 hour shift
Ability to commute/relocate:
New York, NY 10020: Reliably commute or planning to relocate before starting work (Required)
Experience:
T-SQL: 4 years (Preferred)
snowflake: 2 years (Preferred)
python: 2 years (Preferred)
Work Location: Hybrid remote in New York, NY 10020",$25 to $100 million (USD),Enterprise Software & Network Solutions,Company - Private,Information Technology
Data Engineer,new-york,"Apolis
3.7","New York, NY",3.7,Employer Provided Salary:$120K - $130K,3.8,3.6,3.6,3.6,3.7,501 to 1000 Employees,1996,"Note: Not available for corp-corp or w2. Its is FTE role.
Data Engineer with AWS Python Pyspark SQL
Location NY
""Familiar with at least one language (Python, Scala, Spark)
Have good working experience in Databricks.
Proficient in Snowflake. Good understanding of SQL Engine and able to conduct advanced performance tuning.
Experience with Git and the pull request workflow
Experience working closely with Analytics/Data Science/ML and product teams.
Cloud environment : AWS.
Strong communication skills, experience in data engineering.
Strong background in data warehouse concept and design.
Hybrid / remote work in PST timezone
Job Type: Contract
Salary: $120,000.00 - $130,000.00 per year
Ability to commute/relocate:
New York, NY 10001: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS: 1 year (Required)
Python: 1 year (Required)
Analytics/Data Science/ML: 1 year (Required)
Work Location: One location
Speak with the employer
+91 7322856236",$25 to $100 million (USD),Information Technology Support Services,Company - Private,Information Technology
