Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Engineer,san-jose,"E&E Co. Ltd
3.2","Fremont, CA",3.2,Employer Provided Salary:$90K - $120K,3.0,2.8,2.9,3.1,3.1,501 to 1000 Employees,1994,"Summary
As a Data Engineer, you will be responsible for extracting, processing, and analyzing data from multiple sources to identify patterns and trends that can be used to automate marketing processes. You will design and implement automated systems to streamline marketing operations, such as data-driven decision-making, customer segmentation, and campaign targeting. You will collaborate with marketing, data analytics, and IT teams to integrate automation solutions into existing systems and workflows, ensuring data quality and accuracy throughout the process. Additionally, you will evaluate the performance of automated systems and make improvements based on feedback and data analysis. Staying up-to-date with industry trends and best practices in data engineering, marketing automation, and related technologies will be crucial to ensure the company remains competitive.
Essential responsibilities
Extract, process, and analyze data from multiple sources to identify patterns and trends that can be used to automate marketing processes.
Design and implement automated systems to streamline marketing operations, such as data-driven decision-making, customer segmentation, and campaign targeting.
Collaborate with marketing, data analytics, and IT team to integrate automation solutions into existing systems and workflows.
Evaluate the performance of automated systems and make improvements base on feedback and data analysis
Ensure data quality and accuracy throughout the automation process, including data cleaning, transformation, and validation.
Stay up-to-date with industry trends and best practices in data engineering, marketing automation, and related technologies.
Provide expertise and guidance on data engineering best practices, including data modeling, ETL processes, and data integration.
Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions.
Monitor and optimize data pipelines and automation processes for efficiency and effectiveness.
Troubleshoot and resolve data engineering and automation issues in a timely manner.
Develop and maintain documentations, including data flow diagrams, technical specifications, and use guidelines.
Stay informed about data privacy and security regulations and ensures compliance in data engineering and automation activities
Qualifications
Bachelor’s degree in computer science, data engineering, or a related field.
Strong experience in data engineering, including extracting, processing, and analyzing data from multiple sources using ETL tools, SQL, and scripting languages.
Knowledge of marketing automation tools, such as marketing automation platforms, CRM systems, and customer data Platforms (CDP).
Experience in designing and implementing automated systems for marketing operations, such as data-driven decision-making, customer segmentation, and campaign targeting.
Proficiency in data visualization tools, such as Tableau, Power BI, or similar tools.
Strong analytical skills with the ability to analyze complex data sets and identify patterns and trends.
Excellent communication skills, both verbal and written, with the ability to communicate effectively with cross-functional teams and stakeholders.
Ability to work independently and collaboratively in a fast paced, dynamic environment.
Knowledge of data privacy and security regulations, such as GDPR and CCPA, and their implications for data engineering and automation activities.
Proven track record of implementing successful data engineering and automation solutions that drive operational efficiency and effectiveness.
Ability to adapt to changing priorities and meet deadlines in a dynamic business environment
Continuous learning mindset to stay updated with the latest industry trends and best practices in data engineering, marketing automation, and related technologies.
Job Type: Full-time
Pay: $90,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Vision insurance
Experience level:
2 years
Schedule:
8 hour shift
Ability to commute/relocate:
Fremont, CA 94538: Reliably commute or planning to relocate before starting work (Required)
Experience:
ETL: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: In person",$100 to $500 million (USD),Home Furniture & Housewares Stores,Company - Private,Retail & Wholesale
Data Analytics Engineer,san-jose,"Natron Energy
3.7","Santa Clara, CA",3.7,Employer Provided Salary:$102K,3.3,3.6,3.3,3.6,4.1,1 to 50 Employees,Company - Private,"The Data Team at Natron is responsible for the collection, management, analysis, and distribution of all the battery manufacturing and test data. The Data Team drives one of the core principles of Natron, rational decision making, by providing data for every critical decision. As a data analytics engineer on the Data Team, you will:
Be part of a small team that owns and maintains data pipelines and infrastructure for the entire company
Work closely with many positions and teams across Natron such as Data Engineers, Analysts, Test Engineers, Process Engineers, Reliability Team, R&D Team etc.
Own and develop robust and scalable analytics solutions
Contribute to the mission of building a company and a product to be proud of
Tech Stack: Python, SQL, DBT, Dagster, BigQuery, Tableau, JMP, MATLAB
Responsibilities:
Design, develop and own data analysis pipelines and models
Apply principles of electrochemical theory and statistical analysis to develop new algorithms to calculate initial and lifetime battery performance metrics
Craft compelling visualizations to depict process parameters and product performance metrics
Work with operations, product, technology, and R&D teams on their analytical needs, including identifying KPIs and supporting root cause analysis
Drive and own data quality and documentation for areas of ownership
Experience and Skills:
2+ years of industrial or academic experience developing data analysis and visualization tools
Working knowledge of electrical circuits and/or energy storage devices such batteries
Fluent in Python
Experience with SQL query writing
Familiar with version control software such as Git
Has a do-whatever-it-takes attitude, thrives in a fast-paced start up environment and can deliver project deliverables on time
A bachelor’s degree or higher in a science or engineering field, preferably Chemical Engineering, Materials Engineering, Physics or similar
Nice to have Skills:
Strong understanding of electrochemistry and battery performance testing
Experience with JMP or other statistical analysis tools
Experience with MATLAB
Familiar with dbt (data build tool)
Familiar with Dagster, AirFlow or other similar data orchestration tools
Familiar with BI tools such as Tableau, Looker, Power BI etc.
Logistics:
Compensation: competitive with other data analytics engineer positions at pre-revenue Bay Area startup companies
Hours and duration: permanent position, full time
Location: Hybrid (Santa Clara, CA)
Compensation/Pay Transparency:
Disclaimer: The actual salary of a successful applicant may vary from posted ranges based on the candidate’s experience, knowledge, skills, and abilities, internal equity and alignment with market data, and other legitimate business reasons, including, but not limited to, compliance with applicable immigration law prevailing wages.
In addition, Natron Energy has a strong benefits package including Medical, Dental, Vision, 401k Plan, Life Insurance, and Flexible Time Off and Personal Time Off for Exempt and Non-Exempt employees respectively.
The salary range for this position is a minimum of $102,000 and a maximum of $148,000.
About Us:
Natron Energy (natron.energy) is the future of energy storage. Natron Energy’s battery products solve operations performance and reliability problems for the world’s biggest electricity customers. Natron Energy’s initial products target markets exceeding $25B including data centers, oil & gas, EV fast charging, and commercial aviation. Natron Energy has additional products in development for >$50B markets including commercial and residential grid storage. Its products are based on sodium-ion cells containing Prussian blue electrodes that deliver unique power, cycle life, and safety: full discharge and recharge in just minutes and up to 50,000 deep discharge cycles from a nonflammable, fault tolerant system. Natron Energy’s current production is sold out for the next 12 months. The company has signed over $225M/year in master sales agreements and LOIs, and scale-up to mass production is now underway. Natron Energy has raised over $155M in venture capital investment to date, as well as $35M in non-dilutive funding to support its supply chain scale up. The company has a strong leadership team that includes world-class C and VP level strategy, sales, operations, and technology executives.
Quick Facts:
Founded in 2012 as a Stanford spin out
Now selling the world’s first UL certified Na-ion product in $9B data center market, with $700k shipped and $1.5M booked
First product (battery tray for in-rack power) is fully de-risked and sold out through Q1 2023
Second product (ultra high-power battery rack services) launched in 2022
What differentiates Natron Energy from other battery companies?
Natron Energy solves the problems created by lead acid and lithium-ion technology:
Higher power discharge and faster recharge
A smaller footprint for high power leaves more space to generate revenue
Fast recharge results in higher system uptime
Industry leading service life
Tens-of-thousands of charge-discharge cycles enables real-time peak saving of volatile electrical loads
Predictable degradation without surprise failures
Nonflammable
The only battery that cannot start a fire
Customers gain confidence and save on fire mitigation costs
Natron Energy is proud to be an equal opportunity employer. We value diversity. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

If you need assistance or an accommodation due to a disability, you may contact us at: jobs@natron.energy",-1,-1,Less than $1 million (USD),-1
Data Engineer,san-jose,"Hermitage Infotech
3.5","Cupertino, CA",3.5,$99K - $139K (Glassdoor est.),3.7,3.8,3.8,3.7,3.9,1 to 50 Employees,Company - Private,"Hi,

Given below is the urgent req for my client.. If you are comfortable with it, available and looking for a project please send me your profile immediately in word document along with your expected hourly salary on CTC/1099 or yearly salary on W2. Please mention your work authorization and your availability to start the project.
Position: Data Engineer

Duration: Long Term

Location: CA

From Day 1 onsite

Main Skillsets:
Experience with Advance SQL, Snowflake, Tableau, Python is a must. ETL experience is also preferred. Should be able to work in a fast paced environment. Perform effectively under dynamic conditions such as directional changes, tight deadlines.

Years of experience - 3 - 7 years of experience.

Regards
Varma
732-338-7524",-1,Information Technology,Information Technology Support Services,$1 to $5 million (USD)
Data Center Facility Engineer IV (night shift),san-jose,"Equinix
4.2","San Jose, CA",4.2,-1,-1,-1,-1,-1,-1,10000+ Employees,1998,"Data Center Facility Engineer IV (night shift)
Equinix is the world’s digital infrastructure company, operating 245+ data centers across the globe and providing interconnections to all the key clouds and networks. Businesses need one place to simplify and bring together fragmented, complex infrastructure that spans private and public cloud environments. Our global platform allows customers to place infrastructure wherever they need it and connect it to everything they need to succeed.
We are a fast-growing global company with 20 years of continuous growth. Through our innovative portfolio of high-performance products and services, we have created the largest, most active global ecosystem of 10,000+ companies, including 2,100 networks and 3,000+ cloud and IT service providers in 32 countries spanning six continents.
Joining our operations team means that you will be at the forefront of all we do, maintaining critical facilities infrastructure as part of a close-knit team delivering best-in-class service to our data center customers. We embrace diversity in thought and contribution and are committed to providing an equitable work environment. that is foundational to our core values as a company and is vital to our success.
Do you want to be at the forefront of maintaining critical facilities infrastructure? Would you enjoy being part of a close-knit team delivering outstanding service to our data center customers? Then read on about the role and requirements for an Equinix Critical Facilities Engineer!
Data Centers are considered Critical Facilities. This means that we support hospitals, laboratories, public safety centers. Simply put - We cannot go dark. In this crucial role, a Critical Facilities Engineer:
Maintains datacenter infrastructure systems in a mission-critical, high-risk and high-reliability environment.
Operates, maintains, and repairs multiple critical and non-critical facility components, including: HVAC (heating, cooling, and ventilation) systems, plumbing, fire control and suppression, roofing systems and exterior grounds.
Has proficient understanding of critical facility components that may be impacted by failures or malfunctions of infrastructure systems.
Evaluates facility standards and practices to ensure efficient operations for maintaining and monitoring facilities systems.
Responds to emergency situations and ensures corrective measures are rapid and detailed.
Participates in the planning and installing of new facility systems.
Responsibilities in facility and infrastructure maintenance include performing preventative and corrective maintenance checks on-site to facility components, repairs, maintenance, installations and on-site inspections to facility systems. Support energy efficiency measures. Monitor and resolve Building Monitoring System (BMS) alarm issues. Operate and maintain plumbing, fire suppression, and safety systems.
Supports the work approval process for vendors/service providers on maintenance work, by briefing at the start of work, supervising work during the day workday/shift and final review of the work carried out. Ensures vendor maintenance activities are carried out as per Equinix's standard operating procedures. Cooperate with vendors in modifying technical files for plants and equipment ensuring files and builds are up-to-date.
Site administration and incident support responsibilities include performing site logs for permits, such as Maintenance Operation Protocol (MOPs) and scripts. Identify Single Points of Failure (SPOFs) and make recommendations. Respond to all on-site incidents, including failures, problems and delays. Display substantial understanding in following operating procedures to support on-site administration.
Completes routine work requests and circuit installations, troubleshoots and maintains office equipment (if needed); supports auxiliary equipment and machines with problem solving and repairs to avoid/minimize downtime. Makes minor changes to mechanical, electrical and specialized systems, as directed. Carries out infrastructure projects.
Collaborates with others to resolve moderately difficult facility incidents. Optimally collaborates within the department; may mentor team members on general maintenance activities. Notifies team members of inventory needs in order to maintain optimal stock levels of critical parts and equipment. May recommend infrastructure projects.
This is a 12 hour night shift. Beginning Week shift is Sunday through every other Wednesday. End Week shift is every other Wednesday through Saturday.
Qualifications
Demonstrated commercial MEP (mechanical/HVAC and/or electrician) experience
Experience working in a critical facility
High School Diploma
A natural curiosity and strong troubleshooting skills
Currently reside in the United States
You perform all essential job functions, including walking, standing, bending, stooping, climbing, lifting and manual dexterity, with or without reasonable accommodation
You are available to work days/nights/weekends/holidays, if needed and/or required as part of our 365/24/7 operation
You can lift heavy equipment/items up to 50 pounds
The targeted pay range for this position in the following location is / locations are:
San Francisco, CA / Bay Area: $69,000 to $107,000
Our pay ranges reflect the minimum and maximum target for new hire pay for the full-time position determined by role, level, and location. Individual pay is based on additional factors including job-related skills, experience, and relevant education and/or training.
This position may be offered in other locations. Your recruiter can share more about the specific pay range for your preferred location during the hiring process.
The targeted pay range listed reflects the base pay only and does not include bonus, equity, or benefits. Employees are eligible for bonus, and equity may be offered depending on the position.
More details about our company benefits can be found at the following link:
https://equinixbenefits.us.newsweaver.com/icfiles/201/1002910/1057118/1171391/921bc962bf0e0352cb2d6c93/equinix%202023%20oe%20ebook_rev122022%20-%20final.pdf
Equinix is committed to ensuring that our employment process is open to all individuals, including those with a disability. If you need assistance in applying for an open position, you may send an email to Staffing@equinix.com. Please provide your contact information and let us know how we can assist you.
Equinix is an Equal Employment Opportunity and, in the U.S., an Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to unlawful consideration of race, color, religion, creed, national or ethnic origin, ancestry, place of birth, citizenship, sex, pregnancy / childbirth or related medical conditions, sexual orientation, gender identity or expression, marital or domestic partnership status, age, veteran or military status, physical or mental disability, medical condition, genetic information, political / organizational affiliation, status as a victim or family member of a victim of crime or abuse, or any other status protected by applicable law.",$1 to $5 billion (USD),Enterprise Software & Network Solutions,Company - Public,Information Technology
Data Engineer III,san-jose,"Intelliswift Software, Inc.
4.2","Menlo Park, CA",4.2,Employer Provided Salary:$80.00 - $90.00 Per Hour,4.1,4.1,4.0,3.9,4.1,1001 to 5000 Employees,2001,"Job Title: Data Engineer III
Duration: Longterm Contract
Location: Menlo Park, CA
Pay Range: $80-$90/hr
Intelliswift Software Inc. conceptualizes, builds, and supports the world's most amazing technology products and solutions. Our team of rich experts from diverse backgrounds contributes to making Intelliswift one of the most reliable partners in IT and Talent solutions. We specialize in delivering world-class Digital Product Engineering, Data Management and Analytics, and Staffing Solutions services to Fortune companies, SMBs, ISVs, and fast-growing startups.

Job Description: Onsite at Menlo Park location only.
Summary:
The main function of the Data Engineer is to develop, evaluate, test and maintain architectures and data solutions within our organization. The typical Data Engineer executes plans, policies, and practices that control, protect, deliver, and enhance the value of the organization’s data assets.

Job Responsibilities:
Design, construct, install, test and maintain highly scalable data management systems.
Ensure systems meet business requirements and industry practices.
Design, implement, automate and maintain large scale enterprise data ETL processes.
Build high-performance algorithms, prototypes, predictive models and proof of concepts.

Skills:
Ability to work as part of a team, as well as work independently or with minimal direction.
Excellent written, presentation, and verbal communication skills.
Collaborate with data architects, modelers and IT team members on project goals.
Strong PC skills including knowledge of Microsoft SharePoint.

Education/Experience:
Bachelor's degree in a technical field such as computer science, computer engineering or related field required.

Process certification, such as, Six Sigma, CBPP, BPM, ISO 20000, ITIL, CMMI.",$100 to $500 million (USD),Software Development,Company - Private,Information Technology
"Engineer, Data",san-jose,"Ayar Labs
4.6","San Jose, CA",4.6,Employer Provided Salary:$115K - $142K,4.3,4.0,3.8,4.3,3.8,51 to 200 Employees,Company - Private,"Job Title: Data Engineer:

We are seeking a Data Engineer to design, build, and maintain the infrastructure necessary for the automated storage, processing, and analysis of measurement data and design information. As a Data Engineer, you will be responsible for the entire lifecycle of data pipeline development. This includes working with small, manually generated input datasets with a wide variety of formats, and later developing highly automated and rigorously defined pipelines. In addition, you will drive the adoption of data format specifications from manufacturing suppliers, as well as adhere to data format specifications from customers.

The Test Team is responsible for systems that collect measurements for the Design Teams (R&D, product development), Manufacturing and Operations (quality control screens), and Reliability Teams (product qualification, ongoing reliability testing). You will collaborate with Test Engineers to automate raw-to-parametric data processing in hands-off pipelines and provide Python tools and frameworks for data producers and consumers. This opening is our second Data Engineer on the team. Code for extracting and storing parameters from raw data has been written by many different stakeholders in many different styles, but within Ayar Labs Engineering you will find a collaborative atmosphere with people eager to help our new data engineering development efforts succeed in owning and developing this code into uniform, scalable, professionally maintained systems.

Responsibilities:
Developing, maintaining, and scaling data pipelines: Designing, developing, and maintaining ETL pipelines to extract data from various sources, transform it, and load it into a data warehouse or other data storage systems.
Building and maintaining data infrastructure: Designing and maintaining data storage and processing systems such as databases, data lakes, and data warehouses.
Ensuring data quality and integrity: Ensuring the accuracy, consistency, and reliability of the data by developing and implementing data validation and testing strategies.
Collaborating with data scientists and analysts: Working closely with data scientists and analysts to understand their data needs and help them to access and analyze data effectively.
Automating data processing tasks: Developing automation scripts to perform routine data processing tasks, such as data cleaning, data transformation, and data loading.
Implementing data security and access controls: Ensuring the security and privacy of data by implementing data access controls, data encryption, and data masking.
Staying up-to-date with the latest technologies: Keeping up-to-date with the latest technologies, trends, and best practices in data engineering and applying them to improve the efficiency and effectiveness of data processing and analysis.
Requirements:
Bachelor’s Degree in Computer Science, Software Engineering, or similar with emphasis on Data Engineering; OR Bachelor’s degree in Applied Physics, Engineering, or similar with 3 years of experience in a Data Engineering role
Experience processing test and measurement data from electronic engineering, photonics, or similar; and meeting requirements of internal data customers in R&D, product engineering, or manufacturing
Proficiency in Python, NumPy, Pandas, git.
Experience with Extract, Transform, Load and/or Extract, Load, Transform paradigms.
Baseline proficiency with statistical analysis.
Experience with data modeling, data warehousing, and ETL tools.
Excellent communication and collaboration skills - must be able to present plans, gather feedback, and proactively seek information relevant to assigned projects.
Preferences:
Familiarity with Dagster or other data orchestration tools
Proficiency with SQL and relational database systems
Domain-specific knowledge in electronics or photonics test and measurement, or background in electronic or photonic experiments.
Experience with MongoDB.
Familiarity with cloud computing platforms such as AWS, Azure, or Google Cloud Platform.
If you are a Data Engineer with a passion for building and maintaining data infrastructures, we encourage you to apply for this exciting opportunity.
Salary Range: $115K to $142K
NOTE TO RECRUITERS:
Principals only. We are not accepting resumes from recruiters for this position. Remuneration for recruiting activities is only applicable subject to a signed and executed agreement between the parties. Please don’t send candidates to Ayar Labs, and do not contact our managers.
About Ayar Labs:
At Ayar Labs we’re about to revolutionize computing by moving data with light. We’re unleashing processing power for artificial intelligence, high performance computing, cloud and telecommunications by removing the bottlenecks created by today’s electrical I/O - making it possible to continue scaling computing system performance. Ayar Labs is the first to deliver an optical I/O solution that combines in-package optical I/O chiplets and multi-wavelength remote light sources to replace traditional electrical I/O. This silicon photonics-based I/O solution enables chips to communicate with each other from millimeters to kilometers, to deliver orders of magnitude improvements in latency, bandwidth density, and power consumption.

With our strong collaborations with industry leaders and government, our deep ties to MIT and UC Berkeley, and our commitment to hiring the best engineers in photonics and electronics, joining our team gives you the opportunity to collaborate with renowned experts on challenging, paradigm-shifting work.

We are passionate about delivering in-package optical I/O at scale, leveraging the strength of our patent portfolio and our team of leading interdisciplinary experts. We believe that deep cross-collaboration between teams facilitated by honest, open debate is the best way to drive innovation and achieve big wins. Join our team and experience the possibilities.

Resources:
Executives from Intel and GLOBALFOUNDRIES share their thoughts on Ayar Labs and the promise of in-package optical I/O (video)
Ayar Labs in the News and Recent announcements
LinkedIn and Twitter

Ayar Labs is an Affirmative Action/Equal Opportunity Employer and is strongly committed to all policies which will afford equal opportunity employment to all qualified persons without regard to age, national origin, race, ethnicity, creed, gender, disability, veteran status, or any other characteristic protected by law.",-1,-1,Unknown / Non-Applicable,-1
"Data Engineer (Python, SQL)",san-jose,"Iron Service Global Inc
3.4","Menlo Park, CA",3.4,Employer Provided Salary:$110K - $135K,3.2,3.2,3.3,3.5,3.4,201 to 500 Employees,1987,"Data Analytics & Engineering - Data Engineer III
Job Description: Onsite at Menlo Park location only.
Summary:
The main function of the Data Engineer is to develop, evaluate, test, and maintain architectures and data solutions within our organization. The typical Data Engineer executes plans, policies, and practices that control, protect, deliver, and enhance the value of the organization’s data assets.
Job Responsibilities:
Design, construct, install, test, and maintain highly scalable data management systems.
Ensure systems meet business requirements and industry practices.
Design, implement, automate and maintain large scale enterprise data ETL processes.
Build high-performance algorithms, prototypes, predictive models and proof of concepts.Skills:
Ability to work as part of a team, as well as work independently or with minimal direction.
Excellent written, presentation, and verbal communication skills.
Collaborate with data architects, modelers and IT team members on project goals.
Strong PC skills including knowledge of Microsoft SharePoint
Strong Python/SQL experience
Education/Experience:
Bachelor's degree in a technical field such as computer science, computer engineering or related field required.
Process certification, such as, Six Sigma, CBPP, BPM, ISO 20000, ITIL, CMMI.
Job Types: Full-time, Contract
Salary: $110,000.00 - $135,000.00 per year
Benefits:
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Menlo Park, CA: Reliably commute or planning to relocate before starting work (Required)
Experience:
ETL: 5 years (Preferred)
Data management: 5 years (Preferred)
Enterprise data ETL processes: 5 years (Preferred)
Business process modeling: 5 years (Preferred)
License/Certification:
Six Sigma (Preferred)
ISO 20000 (Preferred)
ITIL (Preferred)
Work Location: One location",$25 to $100 million (USD),Information Technology Support Services,Company - Private,Information Technology
"Data Engineer, Product Analytics - Monetization",san-jose,"Meta
3.9","Menlo Park, CA",3.9,Employer Provided Salary:$109K - $166K,4.0,3.7,3.3,4.6,3.6,10000+ Employees,2004,"From making valuable connections between people and businesses to building premium services that deliver high-value experiences, the monetization organization at Meta empowers people and businesses to succeed in the global economy. As Meta focuses on building the next evolution of social experiences, the monetization team plays a crucial role in shaping the communication pathways and financial tools that all sized businesses, especially small to medium ones, need to thrive in the new digital economic environment. And we achieve that from end-to-end product and technology innovation.As a data engineer on the monetization team at Meta, you can help build cutting-edge full-stack technologies that will transform the way people and businesses connect and communicate. You’ll help develop industry-leading solutions that power next-generation, large-scale platforms and AI services to help connect billions of people around the world.


Data Engineer, Product Analytics - Monetization Responsibilities:
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve
Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights in a meaningful way
Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership
Design, build and launch new data models and visualizations in production, leveraging common development toolkits
Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries
Support existing processes running in production and implement optimized solutions with limited guidance
Define and manage SLA for data sets in allocated areas of ownership



Minimum Qualifications:
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
2+ years of work experience in data engineering
Experience with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.)



Preferred Qualifications:
Experience with one or more of the following: data processing automation, data quality, data warehousing, data governance, business intelligence, data visualization, data privacy
Experience working with terabyte to petabyte scale data





Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. You may view our Equal Employment Opportunity notice here. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We may use your information to maintain the safety and security of Meta, its employees, and others as required or permitted by law. You may view Meta's Pay Transparency Policy, Equal Employment Opportunity is the Law notice, and Notice to Applicants for Employment and Employees by clicking on their corresponding links. Additionally, Meta participates in the E-Verify program in certain locations, as required by law",$10+ billion (USD),Internet & Web Services,Company - Public,Information Technology
Data Engineer,san-jose,Strivernet RPO Services Ltd,"Santa Clara, CA",-1,Employer Provided Salary:$90.00 - $95.00 Per Hour,-1,-1,-1,-1,-1,Unknown,Company - Public,"(W2 CANDIDATES ONLY) (SANTA CLARA, CA)
PLEASE SHARE UPDATED RESUMES AS PER THE JD
Following skills sets is must
1. 5 years of hands-on experience working on data using SQL on multiple platforms (SQL server, my SQL, NoSQL, Snowflake, Mongo) (required)
2. 4 years of hands-on experience with Python and C# programming (required)
3. 4 years of hands-on AWS Stack (S3, CLI, Lamdba, SNS,SQS)
4. 3-4 years of hands-on experience with Application Development Skills - web based or service based (required)
5. 3 years of hands-on experience with ETL tools and automation (required)
6. 2 years experience of using statistics for data modeling and predictions
BS degree: 7-9 years of hands-on experience MS degree- 4-5 years of hands-on experience In order to perform the responsibilities of this position, the individual must have:
M.S. in Computer Science, Software/Computer Engineering, or Applied Math with minimum of 4 years industry experience or B.S. degree with minimum (7) years industry experience
Demonstrated excellent communication skills both written and verbal
Ability to independently work with services team to gather product requirements and manage development life cycle
Demonstrated ability to work on large data sets
Interested in early pipeline research and development/prototype efforts
Proficient with relational SQL ( Microsoft SQL , MySQL, Snowflake Postgres, Mongo, NoSQL etc.)
Proficient in two of Python, C#
Solid knowledge of statistics
Proficient in AWS (S3,CLI, Lambda, SNS, SQS)
Good understanding of Event driven workflows and patterns
Proficient in Dockers/Containers
Any experience in the following would be ideal
o EKS or Kubernetes o Elastic Search - ELK
o Database design and management
o CI/CD pipeline and Build tools such as Jenkins, CircleCI, GitLab etc.
Job Type: Contract
Salary: $90.00 - $95.00 per hour
Experience level:
8 years
9 years
Schedule:
8 hour shift
Experience:
Python and C# programming: 3 years (Required)
SQL server, my SQL, NoSQL, Snowflake, Mongo: 3 years (Required)
Data modeling: 6 years (Required)
ETL tools: 5 years (Required)
Application development: 5 years (Required)
AWS Stack (S3, CLI, Lamdba, SNS,SQS: 4 years (Required)
Work Location: On the road",-1,-1,Unknown / Non-Applicable,-1
Data Engineer Leader,san-jose,"Synopsys
4.1","Mountain View, CA",4.1,Employer Provided Salary:$117K - $204K,3.9,4.1,3.8,3.8,4.0,10000+ Employees,Company - Public,"44867BR
USA - California - Mountain View/Sunnyvale
Job Description and Requirements
The Synopsys Central Engineering team is tasked to digitize Synopsys product development activities. We will achieve it by identifying areas of improvement and correlating various aspects of the product development, and providing all levels of management visibility for action. The domain areas we are focused on relate to Quality, Productivity, and Operational Efficiency,

We are looking for an experienced Data Engineer who will contribute to building the next-generation Data Platform. As a Data Engineer, you will be working on modern, large-scale big data technologies to build data platforms on Snowflake and toolset. The goal is to create an effective and efficient data pipeline to facilitate data exchange between various applications.

In this role, you will be partnering with data providers to enable them to make available volumes of data and integrate in a common data platform. You will also interact with Data analysts to transform data into information and insights driving data-based strategic outcomes. This is a hands-on role, and you are joining the team near the beginning of our journey where you can help shape our way to manage big data.

Responsibilities:
Drive strategic goal of data consolidation for the whole of engineering to enable cross-domain analytics.
Own and establish Center of Excellence for Data Engineering practices by defining architecture, rules, and setting guardrails for data processing capabilities. This includes data Ingestion, quality control, transformation, and high availability.
Incorporate state-of-the-art practices in Data Engineering to scale the value we deliver in transforming data into insights.
Identify, design and implement internal process improvements, including data infrastructure, for scalability, optimizing data delivery, and automating manual processes.
Leverage your experience and proficiency in all aspects of data management, data cataloging, analytics solution architecture & design, and implementation roadmap.
Build data cataloging infrastructure and metadata platform to enable data discovery, data observability, and federated governance.
Drive cross-team projects to integrate data from numerous separate sources into a unified data environment.

Expertise & Skills:
Must be proficient in ELT (Extract-Load-Transform) process with hands-on experience.
Must be detailed-oriented with a passion for data accuracy and reliable solution development.
Subject Matter Resource in designing and building high performance data pipelines to move and process data using modern tools.
Experience in Data Engineering Architecture and Design.
Subject Matter Resource in SQL (advanced).
Experience in at least one prominent programming language, such as Python (preferred), or Java.
The ability to work with other team members, drive projects to completion, and work autonomously.
Excellent written and verbal communication, work autonomously, and have proven organizational and planning skills.
We also value:
Prior experience in leading Data or Analytics teams.
Experience in database design and management, such as MS SQL Server, Oracle Database, MySQL Database, Cassandra, MongoDB, etc
Familiarity and experience in Snowflake toolset is a proven asset for this position.
Experience with Power BI and/or Tableau or other visualization tools.
Experience with HVR and Fivetran a plus.
Experience with dbt Cloud a plus.

Requirements:
Bachelor's or master's Degree in a quantitative field
> 5-10 years of relevant experience
5+ years’ experience engineering and operationalizing data pipelines with large and complex datasets
3+ years’ experience working with Cloud technologies such as Snowflake

At Synopsys, we’re at the heart of the innovations that change the way we work and play. Self-driving cars. Artificial Intelligence. The cloud. 5G. The Internet of Things. These breakthroughs are ushering in the Era of Smart Everything. And we’re powering it all with the world’s most advanced technologies for chip design and software security. If you share our passion for innovation, we want to meet you.

Stay Connected: Join our Talent Community

The hourly range across the U.S. for this role is between $117,000 - $204,000. In addition, this role may be eligible for an annual bonus, equity, and other discretionary bonuses. Synopsys offers comprehensive health, wellness, and financial benefits as part of a comparative total rewards package. The actual compensation offered will be based on a number of job-related factors, including location, skills, experience, and education. Your recruiter can provide more specific details on the total rewards package upon request.

Inclusion and Diversity are important to us. Synopsys considers all applicants for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, military veteran status, or disability.

Job Category
Engineering
Country
United States
Job Subcategory
R&D Engineering
Hire Type
Employee
Base Salary Range
$117,000 - $204,000",-1,Information Technology,Computer Hardware Development,$1 to $5 billion (USD)
