Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Engineer,seattle,"Wallero
4.4","Seattle, WA",4.4,Employer Provided Salary:$70.00 - $80.00 Per Hour,4.5,4.4,4.4,4.1,4.3,51 to 200 Employees,2015,"Hi,
Pretty much interested in your resume, we have an urgent opening for Data Engineer role with one of our clients based in Seattle WA.
Position: Data Engineer
Location: Seattle WA - Remote (100%)
Description:
Good Experience in reporting space including PowerBI, ADF, and possibly standing up a data warehouse/data mart.
The main scope centering is around reporting.
Experience with SQL, and agile framework including requirement gathering and story/feature writing skills.
Need someone strong who is comfortable leading and guiding teams in that capacity.
Migrating data from third party to Azure Cloud
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Seattle, WA 98101: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person",$1 to $5 million (USD),Information Technology Support Services,Company - Private,Information Technology
Data Engineer II,seattle,"Deako
4.9","Seattle, WA",4.9,Employer Provided Salary:$100K - $130K,4.9,5.0,4.9,4.3,4.8,1 to 50 Employees,2015,"About Deako
Deako is delivering a revolutionary plug-n-play smart home platform with a laser focus on the untapped new home construction market. We make smart lighting so easy to upgrade that even those who would have never considered smart lighting are making it happen. We've built a company based on trust; where forming personal relationships is key to our success.
Software at Deako
The software team is a tight-knit team of smart, dedicated people. We are customer focused, we ship often, and are constantly asking “why.” We are passionate about the software we write. We work closely with other Deako teams. Developers at Deako are always looking for a better way and understand that no code is perfect.
Data at Deako
We believe that Data and Software go hand in hand. That's why the Data and Software teams work closely together to ensure we're collecting the right data, and getting it to the right people. Data is new at Deako, and we are working to make it a cornerstone of our company. We want every team at Deako to have a data-driven mindset.
Day to Day Expectations:
Participate in the code review process in our DBT repository
Build maintainable, testable SQL queries for various dashboards
Help maintain, contribute to and improve our data infrastructure and existing pipelines
Help maintain and improve our CI/CD pipelines
Responsible for obtaining, cleaning, and munging data and getting it into a form that our data analysts can access and analyze
Participate in meetings with stakeholders around data collection and cleaning

Must Have:
Demonstrable knowledge in SQL + Some Programming Language (Typescript, Python, Ect)
Demonstrates a high level autonomy and willingness to learn
1+ years of experience working as a Data Analyst/Engineer or Comparable field.
Experience with git, dbt
Nice to Have:
Experience in Snowflake, Fivetran, Hightouch
Experience with Gitlab CI
Experience with geospatial data
Stock Options
Hybrid work environment (Office + Remote)
Medical/Dental/Vision/Life/401K
Unlimited PTO
Free Snacks/Coffee/Drinks (Non-Alcoholic and Alcoholic)
Quarterly Company Parties",$5 to $25 million (USD),Computer Hardware Development,Company - Private,Information Technology
DATA ENGINEER,seattle,"infinity quest
3.9","Seattle, WA",3.9,Employer Provided Salary:$65.00 Per Hour,3.9,3.8,3.7,3.6,3.6,201 to 500 Employees,2006,"At least 3 years of Data Engineer experience is required preferably in a cloud Environment.
You should have at least 4 years of coding experience in python/java/ Scala and open source packages with at least 2 years of experience with Databases(SQL/NOSQL etc).
Experience with large scale Distributed databases like redshift/Snowflake is a big Plus.
You should have Experience with different aspects of data systems including database design, data modeling, performance optimization, SQL etc.
Some Experience with building data pipelines and Orchestration(Airflow ,ADF,glue etc) is required.
Strong communication skills (able to explain concepts to non-technical audiences as well as peers)
Self-starter who is highly organized, communicative, quick learner, and team-oriented
Technology Requirements:
Python/Java or Scala , SQL and Airflow. Cloud experience AWS/Azure
Daily tasks:
Developing, executing, monitoring and troubleshooting Data pipelines and workflows in our cloud environment.
Work on Data Lake/DW/DQ and other framework related items
Team and cross functional collaboration as needed.
Preferred background/prior work experience:
3 years of DE expertise building data pipelines and working in a DW/Data lake Cloud based environment
Job Type: Contract
Salary: $65.00 per hour
Compensation package:
Hourly pay
Experience level:
8 years
Schedule:
Day shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: On the road",Unknown / Non-Applicable,Information Technology Support Services,Company - Private,Information Technology
Senior Big Data Engineer,seattle,"ASA
3.6","Seattle, WA",3.6,Employer Provided Salary:$85.00 - $87.00 Per Hour,3.6,3.5,3.6,3.4,3.5,51 to 200 Employees,1999,"Identify necessary improvements in the AWS architecture to align with the AWS Well-Architected Framework and Best Practices
Research, present and accurately articulate benefits and goals of technologies such as Teradata, Big Data, Hadoop, NoSQL, Data Virtualization, and Data Services.
Monitor Performance for effective use of AWS resources
Oversee Provisioning of AWS architecture components
Ensure Architectural standards are followed
Three or more years of experience in architecting, designing, developing, and implementing cloud solutions on AWS platforms
Providing support to maintain, optimize, troubleshoot, and configure the AWS/spark/Hadoop environment as needed
Experience with CI/CD pipelines, unit tests, integration, and regression testing
Good experience with AWS VPC setup, Security Groups, IAM roles and policies. (Mandatory)
Linux System administration is preferred
Skills
AWS Automation (DevOps knowledge) is must.
Strong scripting skills in bash and python is a must.
Strong understanding and working knowledge of Linux, Github and automation Tools like Ansible and (Chef or Puppet) is must
Strong knowledge of Infrastructure as a code using tools like CloudFormation or Terraform is must.
Experience with Hive, rundeck, Airflow, jenkins and Kafka is must
At least 3 year experience with AWS DevOps tools, technologies and APIs associated with IAM, CloudFormation, AMIs, SNS, SQS, EC2, EBS, S3, RDS, VPC, ELB, Route 53, Security Groups and lambda
Good experience with LMA (Logging, Monitoring, and Alerting) using monitoring tools EX.AWS CloudWatch, Splunk/ELK, Datadog etc
Good experience with Networking Technologies like Load balancer, Firewall and DNS
Provide L2, L3 support for Incident management and provide a focal point for AWS
3+ years AWS experience required.
Job Type: Contract
Salary: $85.00 - $87.00 per hour
Benefits:
Parental leave
Schedule:
8 hour shift
Ability to commute/relocate:
Seattle, WA 98119: Reliably commute or planning to relocate before starting work (Required)
Experience:
devops tools: 3 years (Preferred)
aws: 3 years (Preferred)
Work Location: One location",$25 to $100 million (USD),Enterprise Software & Network Solutions,Company - Private,Information Technology
Data Engineer,seattle,"OneSource Regulatory
5.0","Seattle, WA",5.0,$92K - $129K (Glassdoor est.),4.4,5.0,5.0,5.0,5.0,1 to 50 Employees,Company - Private,"Company Introduction
OneSource Regulatory Technology hosts a number of innovative solutions to enhance job performance in the Pharmaceutical space. OSR Technology is looking for an experienced and dedicated data engineer to join our product solutions team!

Job Description
OneSource Regulatory is trying to identify a full-time contractor with at least 4+ years of experience to assist us with ongoing R&D projects.
We are looking for a data engineer to pull data from various sources and do all the necessary steps to clean, normalize, possibly annotate, and finally load the data into databases. The candidate should be able to develop and implement a strategy for testing the data integrity of the collected data. This role requires extreme attention to detail to ensure data quality is top priority.

Responsibilities
Well versed in parsing and synthesizing of XML and/or JSON documents.
Curating of data that can involve some intermediate to advanced web scraping. (data may need to be fetched via SFTP, FTP, Wget, Curl, REST APIs, GraphQL queries from spots on the Internet)
Proficiency with Linux command line and various simple tools, such as grep, wc, sed, awk, find, ls, cat, piped commands and possibly some very light Bash shell scripting, setting up crontab schedules and programs
Must have basic knowledge of SQL with the following databases: PostGres, MySQL, Google BigQuery
Must have basic knowledge of No-SQL database knowledge such as MongoDB or similar
Familiarity with basic Cloud technology such as storage buckets, cloud serverless functions
Must have experience extracting text and images from PDF files
Knowledge of Puppeteer or other automatable web client technologies
Understanding JavaScript, HTML/CSS and HTTP methods (for understanding page structure for web scraping)

Skills
Solid experience with Python and Python Libraries such as Pandas, requests, etc
Skill set should match up with required responsibilities listed above
Strong English skills (e.g. grammatical analysis and rhetorical structure)
Team Player
Great communication skills

Bonus Skills
Experience within the Pharmaceutical Space
Ability to expose data via C# NETCore and/or GraphQL
Google Cloud Platform (Cloud Buckets, Google Cloud Functions (.NET, Python, Node.JS))
Ability to parallelize data manipulation and scraping via Python multi-threading, etc.
Python BeautifulSoup
Scrapy
Docker (setting up Kubernetes style processing if warranted for data scraping/data ingestion/normalization)
Multithreading concepts",-1,-1,Unknown / Non-Applicable,-1
Data Engineer,seattle,"Calligo
2.9","Seattle, WA",2.9,$99K - $143K (Glassdoor est.),2.9,2.6,2.6,3.0,2.9,201 to 500 Employees,2012,"Calligo transforms data into our clients lust lucrative asset by working directly with them and their stakeholders to ensure clear direction and solution implementation.

We combine great minds in data science, privacy, security and engineering with leading machine learning, data analytics and cloud platforms to support the operational, customer-centric and revenue-generation aspirations of some of the world's most ambitious and progressive organizations.

Key Responsibilities

The ideal candidate is an individual with proven experience working closely with clients, stakeholders, and architects to construct, test and deliver data engineering solutions that align with client needs.

A background in developing robust data engineering solutions with minimal guidance, using novel, new and tried-and-true data acquisition tools and methodologies will put you ahead of the curve.
Work directly with clients, stakeholders, architects to ensure clear direction on solution implementation
Work with sales and architects to provide accurate scoping of efforts for SOW development
Collaborate with teams, internal and external, to implement proposed solutions effectively and efficiently
Implement solutions individually, or in teams of developers and engineers, as necessary
Represent our company and build great relationships with clients in various industries

Skills, Knowledge and Expertise

2 to 5 years of previous Data Engineer or Data Platform experience, or experience in another similar engineering/development role with a focus on data migration, persistence, and preparation
Proficient at writing well optimized code with consistent readability when writing scripts, programs, and queries (SQL, T-SQL, JavaScript/Typescript, Python, C#, etc.)
Proficient at working with ETL/ELT technologies (SSIS, Alteryx, Matillion, Fivetran, etc.)
Proficient at interacting with APIs
Proficient at working with on-prem/cloud based persistence (Snowflake, SQL Server, SQL Azure, PostgreSQL, etc.)
Proficient at working with serverless compute, database, and data warehouse technologies (Azure functions, AWS lambda, SQL Azure, Power Apps, etc.)
Proficient at using git version-control systems
Experienced in interpreting and contributing to the design of architecture diagrams
Understands the problem at hand, study possible solutions, and find creative answers
Composes clear, concise and well formatted communications and documentation
Communicates issues and questions as soon as they become apparent
Excellent problem solving, analytical, communication and customer-facing skills
Team player and excellent collaborator
Willingness to dive into new technologies
Self-motivated, able to work independently
Beneficial Background and Skills:
Experienced with NoSQL databases
Experienced with containerization
Experienced in agile methodologies
Experienced in project/engagement leadership
Experienced in broader application development lanes (web/application)
Experienced working in a business intelligence consulting firm
Certifications in relevant technologies
BS degree in Computer Science or an applicable quantitative discipline

Benefits

Training and development for career growth
25 Days Holiday, increasing with length of service
401(k) employer matching
Healthcare
Life, disability and accidental death & dismemberment insurance
Flexible working

About Calligo
Calligo transforms data into businesses’ most lucrative asset. We combine great minds in data science, privacy, security and engineering with leading machine learning, data analytics and cloud platforms to support the operational, customer-centric and revenue-generation aspirations of some of the world's most ambitious and progressive organizations.",Unknown / Non-Applicable,Business Consulting,Company - Private,Management & Consulting
Data Engineer,seattle,PMI,"Seattle, WA",-1,$80K - $126K (Glassdoor est.),-1,-1,-1,-1,-1,1 to 50 Employees,Company - Private,"Data Engineer

About Us
Stanley, a HAVI company, is defined by Creativity, Building and Invention. We are makers of the legendary bottle and box. Driven by purpose, passion and performance. Obsessed with making a difference. And keeping our promises. Proud of our yesterday. And focused on building the team of tomorrow.

Position Overview
Stanley, a HAVI company, is looking for a Data Engineer to support our current and future data platform. This role will be responsible for ensuring data is available and consumable by business analysts and other key business users. This includes responsibility for the ingestion of source data through CI/CD pipelines. As a member of the Enterprise Data Platform team, you will contribute to projects and initiatives across the enterprise.

Key Responsibilities
Develop end-to-end solutions for ingestion, storage, prepping, and modeling of data
Test, audit, maintain and tune existing solutions
Implement data structures using data modeling, ELT/ETL processes, and SQL technologies
Monitor daily data loads and remedy issues within SLA
Update and extend system documentation
Regularly interact across functional areas to ensure objectives are met
Exercise independent judgment in methods, techniques, and evaluation criteria for obtaining results

Who You Are
Daily interaction with cloud-based data platforms and services
Solid understanding of data architecture principles and practices
Working knowledge of data warehousing concepts supporting performant access to critical business data
Familiarity with tabular modeling to define data relationships and navigation taxonomies
Experience with coding languages like SQL, Python and R

Education and Experience
Bachelor’s degree in Computer Engineering, Computer Science, Mathematics or equivalent related IT-specific experience
At least 5 years of Data Engineer experience is required, preferably in a Cloud environment
Experience with database query and analysis languages (e.g. T-SQL, PL-SQL, R, SAS, Python) and data visualization tools (e.g. PowerBI, Tableau, D3)
Experience working with various data sources (e.g. SQL, Oracle database, flat files, Web API, XML)
Experience with cloud warehouse and analytics required; Azure Data Storage and Analytics (e.g. Data Lake, Data Factory, Synapse and Analysis Services)
Experience with Oracle EBS preferred
Experience with Synapse ML preferred
Experience with multi-tenant infrastructure preferred
Understanding of manufacturing, supply chain, inventory management and sales operations data and systems preferred
Demonstrable ability to communicate, partner and deliver solutions to business customers
Puget Sound based only. This is a hybrid role in our Seattle office.

About HAVI:
HAVI is a global, privately owned company that connects people with ideas, data with insights, supply with demand, restaurants with deliveries and ultimately, people with the products they love. Whether we are sourcing, storing or delivering products, we bring unmatched category expertise and unrivaled operational excellence, combined with powerful digital analytics and insights. Founded in 1974, HAVI employs more than 10,000 people and serves customers in more than 100 countries. HAVI’s business units include Supply Chain, tms and Stanley. Our portfolio of businesses offers best-in-class sourcing and supply chain capabilities, brand-defining marketing and promotion services and innovative consumer products. For more information, please visit HAVI.com, tmsw.com and stanley1913.com.",-1,Healthcare,Health Care Services & Hospitals,Unknown / Non-Applicable
"Data Engineer, Product Analytics",seattle,"Meta
3.9","Seattle, WA",3.9,Employer Provided Salary:$109K - $166K,4.0,3.7,3.3,4.6,3.6,10000+ Employees,2004,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for our 3 billion plus users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges with efficiency and integrity, at a scale few companies can match.


Data Engineer, Product Analytics Responsibilities:
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve
Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights in a meaningful way
Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership
Design, build and launch new data models and visualizations in production, leveraging common development toolkits
Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries
Support existing processes running in production and implement optimized solutions with limited guidance
Define and manage SLA for data sets in allocated areas of ownership



Minimum Qualifications:
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
2+ years of work experience in data engineering
Experience with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.)



Preferred Qualifications:
Experience with one or more of the following: data processing automation, data quality, data warehousing, data governance, business intelligence, data visualization, data privacy
Experience working with terabyte to petabyte scale data





Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. You may view our Equal Employment Opportunity notice here. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We may use your information to maintain the safety and security of Meta, its employees, and others as required or permitted by law. You may view Meta's Pay Transparency Policy, Equal Employment Opportunity is the Law notice, and Notice to Applicants for Employment and Employees by clicking on their corresponding links. Additionally, Meta participates in the E-Verify program in certain locations, as required by law",$10+ billion (USD),Internet & Web Services,Company - Public,Information Technology
Databricks Data Engineer,seattle,"BigLynx Computer Software
4.9","Redmond, WA",4.9,Employer Provided Salary:$70.00 - $80.00 Per Hour,4.8,4.8,4.9,4.6,4.8,1 to 50 Employees,Company - Private,"BigLynx, Inc is an American multinational technology corporation headquartered in Seattle, Washington, with operations in the United States, Canada, and India. The company began in 2016, as a product development company specializing in AI/ML Data Engineering in the Retail vertical space with its products warehouse & fast. Post Pandemic in 2022, BigLynx added a business division of boutique technology consulting, specializing inData Engineering, Full Stack , and Microsoft Dynamics helping clients build the next generation data platform and big data pipelines.
Data pipeline development: Design, develop, and maintain scalable and efficient data pipelines using Databricks to ingest, transform, and load data from various sources. This includes data extraction, data cleansing, data transformation, and data loading processes.
Data modeling and schema design: Design and implement data models, database schemas, and data structures on Databricks. Optimize data models for performance, scalability, and ease of use.
ETL processes: Develop and maintain ETL (Extract, Transform, Load) processes using Databricks to transform and cleanse data. Implement efficient data integration and transformation logic using languages such as Python, SQL, or Scala.
Data integration: Integrate data from multiple systems and sources, ensuring data consistency, accuracy, and quality. Develop and maintain data connectors, APIs, and data ingestion processes.
Performance optimization: Identify and address performance bottlenecks in data pipelines and data models. Optimize query performance, data loading, and data processing capabilities on Databricks.
Data governance and security: Implement data governance practices, data privacy measures, and security controls on Databricks. Ensure compliance with data governance policies and regulations.
Monitoring and troubleshooting: Monitor the health and performance of Databricks data infrastructure, data pipelines, and data processing jobs. Troubleshoot issues and provide timely resolutions.
Collaboration and teamwork: Collaborate with cross-functional teams, including data scientists, data analysts, and business stakeholders, to understand data requirements, provide data engineering expertise, and support their data-related needs.
Qualifications:
Databricks expertise: Strong knowledge and hands-on experience with the Databricks platform, including Databricks notebooks, Databricks runtime, and Databricks clusters.
Data engineering skills: Proficiency in data engineering principles, ETL processes, data modeling, and data integration techniques. Experience with programming languages such as Python, SQL, or Scala.
Big data technologies: Experience with big data technologies, such as Apache Spark, Apache Hadoop, or related frameworks. Familiarity with distributed computing and data processing concepts.
Cloud platforms: Experience working with cloud platforms, preferably Azure Databricks, AWS Databricks, or Google Cloud Databricks. Knowledge of cloud storage, compute, and networking services.
Database and data warehouse concepts: Understanding of relational databases, data warehousing concepts, and SQL. Familiarity with data warehousing best practices and dimensional modeling.
Performance optimization: Strong skills in optimizing Spark jobs and queries on Databricks. Ability to identify and resolve performance bottlenecks.
Problem-solving skills: Strong analytical and problem-solving abilities to tackle complex data engineering challenges and troubleshoot issues.
Collaboration and communication: Excellent collaboration and communication skills to work effectively with cross-functional teams and stakeholders, translating business requirements into technical solutions and providing technical guidance.
Education: A bachelor's or master's degree in computer science, data engineering, or a related field is typically required. Relevant certifications, such as Databricks Certified Developer or similar, are h
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Experience level:
7 years
Schedule:
Monday to Friday
Ability to commute/relocate:
Redmond, WA 98052: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person",-1,-1,Unknown / Non-Applicable,-1
Software Engineer/Data - ASE Analytics Engineering,seattle,"Apple
4.2","Seattle, WA",4.2,-1,-1,-1,-1,-1,-1,10000+ Employees,1976,"Summary
Posted: May 24, 2023
Weekly Hours: 40
Role Number:200460089
The Apple Services Engineering team is one of the most exciting examples of Apple’s long-held passion for combining art and technology! These are the people who power the App Store, Apple TV, Apple Music, Apple Podcasts, and Apple Books. And they do it on a massive scale, meeting Apple’s high expectations with dedication to deliver a huge variety of entertainment in over 35 languages to more than 150 countries. These engineers build secure, end-to-end solutions. They develop the custom software used to process all the creative work, the tools that providers use to deliver that media, all the server-side systems, and the APIs for many Apple services. Thanks to Apple’s unique integration of hardware, software, and services, engineers here partner to get behind a single unified vision. That vision always includes a deep commitment to strengthening Apple’s privacy policy, one of Apple’s core values. Although services are a bigger part of Apple’s business than ever before, these teams remain small, forward-thinking, and multi-functional, offering greater exposure to the array of opportunities here.
Key Qualifications
Passionate about data and skilled in software design
Experience working with data, preferably Big Data scale, with batch or streaming jobs
Strong technical programming experience, preferably in Scala, Java, Python, Spark, Flink.
Proficiency with SQL against relational and noSQL data stores
Experience working in an Agile development process
Ability to gather requirements, design engineering solutions, and translate into stories or tasks.
Strong debugging, critical thinking, and collaborative skills with the ability to learn new technologies.
Description
As a team member of the ASE Data Engineering team, you will have significant responsibility and influence in shaping its future direction. This role is inherently multi-functional and the ideal candidate will work across subject areas. We are looking for someone with a love for data and ability to iterate quickly on all stages of data pipeline. This position involves working on a small team to develop large scale data pipelines and analytical solutions using Big Data technologies. Successful candidates will have strong engineering skills and communication, as well as, a belief that data driven processes lead to phenomenal products. You will need to have a passion for quality and an ability to understand sophisticated systems.
Education & Experience
Bachelor’s degree, or equivalent work experience in Engineering, Computer Science, Business Information Systems, or similar.
Additional Requirements
Pay & Benefits
At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $115,000 and $217,500, and your base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.",$10+ billion (USD),Computer Hardware Development,Company - Public,Information Technology
