Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
Data Analyst,washington,"Rose Financial Solutions LLC
4.6","North Bethesda, MD",4.6,$56K - $82K (Glassdoor est.),4.2,4.5,4.6,4.5,3.9,51 to 200 Employees,1994,"Data Analyst

We are leaders in Finance as a Service (FaaS) industry. Through our Easby platform we bring the People, Process, and Technology together into a Finance, Accounting and Tax solution for small to mid-sized businesses. Our clients come from variety of industries including government contracting, not-for-profit, and commercial clients including professional services, healthcare, technology, and international firms.

ROSE adds value to its clients by utilizing a unique combination of Best People, Best Practices, and Best Systems. Our mission is to help our clients succeed by ensuring that they have a solid financial infrastructure and providing them with timely, accurate, and meaningful financial information to guide them towards achieving their goals. What ROSE is looking for: A proactive, disciplined and aspiring leader with strong leadership, communication, management, and technical competencies. Candidates also thrive while meeting challenging deadlines, enjoy problem solving, and aspire to continually grow within the company. The ideal candidate is looking to transition into a great firm that offers a long-term career opportunity.

RESPONSIBILITIES
Maintain and expand our enterprise-wide semantic data model including:
operational dashboards
client KPI's and dashboards
project reporting
financial analysis
assisting with data integrations and setup of clients
other special projects
Responsible for internal and external client interactions and expectations by demonstrating a subject matter expertise, addressing client needs, communicating effectively with stakeholders at various levels, and preparing/coordinating complex written and verbal materials
Other duties as assigned

QUALIFICATIONS
1-3 years of experience in data analytics
Data Analytics, Accounting, Finance, Economics, or Business Administration Bachelor's degree highly preferred
Finance or accounting education or experience preferred
Well versed Python or SQL
PowerBI a plus
Demonstrated leadership, problem solving, communication, and organizational skills
Flexible and interested in a challenging variety of assignments
Advanced Excel and data management skills

What You'll Get with ROSE: ROSE is passionate about serving our clients and is dedicated to being a great place to work. Our professional work environment involves working alongside the best and the brightest accounting, finance, tax and technology professionals, and a well-defined career track with long-term growth opportunities. ROSE also offers a comprehensive benefits package including health insurance subsidies up to 80%, hybrid-office, Work + Life Fit options, 401(k) with company match, and educational reimbursements.

ROSE is an Equal Opportunity Employer. ROSE will not tolerate discrimination against any employee or applicants on any legally-recognized basis including, but not limited to: age; ancestry; childbirth or related medical condition; citizenship; color; creed; familial status; genetic information; height; weight; marital status; national origin; physical or mental disability or handicap; pregnancy; race; religion; sex; sexual orientation; uniform service member status or veteran status.
Third-party resume submissions are not accepted. Any resume submitted will be considered the property of ROSE, and ROSE will not be held liable to pay a placement fee.",$5 to $25 million (USD),Accounting & Tax,Private Practice / Firm,Financial Services
Data Analyst,washington,"Ruchman and Associates, INC
3.8","Washington, DC",3.8,-1,-1,-1,-1,-1,-1,201 to 500 Employees,1981,"The Data Analyst, in support of the U.S. Drug Enforcement Administration's (DEA) Specialized Data Analytics Support Services program, will serve as an entry level Program Data Specialist providing data analysis, including identifying and recognizing trends across data sets, locations, targets, etc. Specifically, the Data Analyst will:
Compile data from multiple sources.
Monitor and assess data for accuracy, integrity, authenticity, expectancy, timeliness, relevancy, intelligence gaps, and viability.
Participate as part of a group to determine relevancy of investigative information as related to priority requirements and organize and conduct detailed examinations of information gathered during complex criminal and civil investigations.
Participate in formal and informal briefings.
Participate as part of a group in the development methodology to exploit investigative information, to include conducting periodic progress reviews, as well as coordinating and completing quality control of all work products.
Report individual findings on an ongoing basis to lead personnel.
Perform data entry as needed from hard copy and soft copy documents into a large scale data processing system via a keyboard device, optical character reader, or other input device to include scanners, digital cameras, and copy machines, as appropriate.



Experience and Education Requirements

Qualified candidates must possess:
A Bachelor’s Degree, or a combination of experience and education exceeding the degree/educations requirements.
Experience using MS Excel, Power BI, and/or other data analytic/visualization tools in order to design and build formulas, charts, links, pivot tables, etc. and manipulating unstructured data from different platforms. Experience can be job or education based.
Ability to obtain a DEA security clearance
U.S. citizenship",Unknown / Non-Applicable,National Agencies,Private Practice / Firm,Government & Public Administration
Data Analyst,washington,"US House Of Representatives - CAO
3.9","Washington, DC",3.9,Employer Provided Salary:$68K - $88K,4.2,3.5,3.5,3.2,2.9,5001 to 10000 Employees,1787,"Salary: $67,797 - $88,293
Duties Include:
Develops, implements, and maintains leading-edge analytics systems, taking complicated problems and building simple frameworks for senior-level consumption.
Identifies trends and opportunities for growth through analysis of datasets.
Evaluates current and legacy organizational data-collection methods, processes, internal systems, and information workflows to identify efficiencies, problems, and inaccuracies; and proposes, develops, and implements solutions where required.
Creates organization-wide standard operating procedures for data management and visualization to ensure program flexibility and scalability.
Develops and maintains protocols for handling, processing, and cleaning data.
Works closely with EMD Directors and Program Managers to identify analytical needs, including developing critical metrics and key performance indicators (KPIs); and analyzes and presents results to senior-level personnel.
Integrates multiple data sources to create connections between disparate and diverse data feeds.
Develops and maintains databases by acquiring data from appropriate sources and builds scripts that will allow for the data evaluation process to be flexible or scalable across datasets.
Maintains proficiency in data management/analytics tools, including, but not limited to WebEOC, SQL, ArcGIS, HTML, Power BI, etc.
Supports the integration of data into the EMD budgeting process.
Attends meetings, captures notes, and shares key takeaways with applicable staff.


Supports House Operations Center activations, special events, and projects, as required.
Supports EMD and carries out various assignments to further the goals of EMD.
Perform other duties as assigned.

Work Experience and Education:

Bachelor’s degree and three or more years of experience as a data analyst. Must be able to obtain and maintain a Top-Secret security clearance.

The salary for this position will be based on the incumbent’s education, work experience, to include management experience, as well as the incumbent’s demonstrated ability to effectively interact with politically sensitive issues in technical and legislative environments.

Knowledge, Skills, and Abilities:
Ability to thrive when there is ambiguity, remain composed when there are priority and deadline fluctuations, and withstand the tests of a rapidly changing environment with resilience and resolve.
Proven analytics skills, including mining, evaluation, and visualization.
Technical writing experience in relevant areas, including queries, reports, and presentations.
Strong SQL, Excel, Power BI, and ArcGIS skills, with an aptitude for learning other analytics tools.
Experience with database and model design and segmentation techniques.
Proven success in a collaborative, team-oriented environment.
Analytical, judgment, and problem-solving skills to work on short deadlines and resolve critical issues.
Ability to work well under pressure, exercise discretion, and sound judgment while independently solving problems.
Refined and proficient in written and oral communications.
Strong organizational skills.
Ability to manage multiple tasks simultaneously.
Travel:
Occasional travel may be required (<10%).
Work Schedule:
Full-time, permanent. Monday – Friday 8:30 a.m. – 5:00 p.m. Work outside of normal business hours, when necessary, evenings and weekends may be required.

Applicant Instructions:

Qualified candidates should submit a resume and cover letter to https://house.csod.com/ux/ats/careersite/6/home/requisition/1953?c=house. Applicants will receive an email response indicating receipt of their cover letter and resume. Submission of these documents does not guarantee an interview.

Applicants will be considered without regard to race, color, national origin, religion, sex (including marital or parental status), disability, or age.

The Office of the Sergeant at Arms is an equal opportunity employer and is committed to building and maintaining an inclusive and diverse work environment. Employment with the U.S. House of Representatives is at-will. This position has been determined to be EXEMPT from the overtime provisions of the Fair Labor Standards Act.

A preemployment drug test is required for positions requiring a security clearance. Employment is contingent upon satisfactorily completing a criminal history records check.

Veterans’ Preference Information:

Hiring for this position is governed by the Veterans Employment Opportunities Act.

**Only applicants seeking veterans’ preference consideration should email saa.veoa@mail.house.gov for further information. ** Please note the word “Veteran” in the subject line and note the job title and vacancy announcement number in the body of the email.",Unknown / Non-Applicable,National Agencies,Government,Government & Public Administration
Entry level Business Analyst,washington,"Dhatronictech
5.0","Washington, DC",5.0,Employer Provided Salary:$65K - $80K,5.0,5.0,5.0,5.0,5.0,1 to 50 Employees,Company - Private,"We are looking for Entry Level Business Analyst.
Responsibilities:
Assist in translating business requirements into technical specifications.
Ability to understand document data flow, systems and interdepartmental processes
Effectively understand business decisions and communicate their impact on technical requirements, priorities and deadlines to internal parties
Assist with post-delivery user support to client teams
Outstanding verbal and written communication skills to effectively collaborate.
Track and documented changes for functional and business specifications.
Assist in developing training curriculum and participated in user acceptance testing procedures.
Qualification:
Bachelor's degree in Accounting, Finance, or related field
0-1 years of experience
Excellent communication skills
Microsoft Office skills
Job Type: Full-time
Pay: $65,000.00 - $80,000.00 per year
Benefits:
401(k) 10% Match
Health insurance
Life insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Washington, DC 20004: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Work Location: Hybrid remote in Washington, DC 20004",-1,-1,Unknown / Non-Applicable,-1
Data Analyst I,washington,"Marys Center for Maternal and Child Care
3.4","Washington, DC",3.4,Employer Provided Salary:$62K,3.2,3.9,3.0,3.6,3.1,501 to 1000 Employees,1988,"Mary's Center is committed to promoting diversity, equity and inclusion (DEI) within our organization and the communities we serve. We embrace diversity of experiences, ideas, and individuals, and seek to bring diverse group of candidates to the table.
Important Note: Mary’s Center is mandating the COVID-19 vaccine + booster for all staff.
Position Summary
The Data Analyst I with work with other Data Management and Health Analytics (DMHA) team members to run and prepare reports for all Mary’s Center Initiatives to include other departmental requests, grant applications and standard reporting and ad hoc reporting. The Data Analyst I is responsible for running routine quality and outcomes reports, responding to requests for data as well as grant reporting. This position requires proficient command of SQL coding and advanced Microsoft Excel skills, including creating and using complex formulas and manipulating large datasets. Salary Range for this role is $62,000-$68,000.
Reportability
This position will report directly to the Vice President of Quality and Research.
Essential Duties and Responsibilities
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.
Build queries in SQL Server
Build Tableau Dashboards
Analyze large datasets and be able to strategize methods of data collection.
Assist other team members with their duties.
Run routine quality and outcomes reports by scheduled due dates, validates, and analyzes data, sends data to staff responsible for programs.
Prepare patient panels for chronic disease management and group care.
Manage health maintenance reminder messages.
Qualifications
The requirements listed below are representative of the knowledge, skills, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Knowledge, Skills & Abilities –
Undergraduate degree in social science research and evaluation field and/or two to three years’ experience working in a research/evaluation setting.
Extensive experience with Microsoft Excel, including creating and using complex formulas and large datasets.
Knowledge of Word, and PowerPoint is essential, knowledge of SQL, SPSS, preferred, as well as a thorough understanding and working knowledge of patient/client confidentiality issues and HIPAA compliance/regulations.
Knowledge of SQL and integration of SQL queries in Tableau. Understanding of data flow. Individual must be detail-oriented and able to coordinate multiple tasks at once
Language Requirement – Ability to communicate effectively in English is required. Additional language proficiency or fluency preferred.
Physical Demands – Regularly required to sit; frequently required to reach with hands and arms, walk, stoop, kneel, crouch, talk or hear; must be able to lift objects up to twenty-five (25) pounds.
Work Environment – Mostly in a typical office and/or home setting with quiet to moderate noise level. May be exposed to extreme cold, heat, and humidity due to outside weather conditions. Opportunity to work a hybrid schedule – remotely & onsite, as needed.",$25 to $100 million (USD),Health Care Services & Hospitals,Nonprofit Organization,Healthcare
Data Analytics Associate,washington,"NACD (National Association of Corporate Directors)
3.7","Arlington, VA",3.7,Employer Provided Salary:$70K - $80K,3.5,3.7,3.4,3.6,4.1,51 to 200 Employees,1977,"SUMMARY
The Data Analytics Associate works to provide information and analytical insight to departments across the organization using NACD’s BI Platform, Domo. The Analytics Associate will need to develop a strong understanding of NACD’s data structure and data sources. A primary role of the position will be to provide targeted lists to support initiatives for departments across the organization.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Provides analytical insights to the organization
Work with internal clients to develop business requirements for their requests
Leverages Domo to build and present story-telling insights from our data
Analyzes trends and potential business opportunities
Creates visual representations of data accompanied by clear explanation of information
Extract, transform, join, and analyze data from disparate data sources – data sources include, but is not limited to Salesforce, Marketo, Google Analytics, NACD Website traffic and activity, etc., and brings these datasets together to tell a story
Builds requested target lists for email and direct mail outreach
Understands the end goal behind every ask in order to ensure the correct population is being provided
Performs other duties as assigned
EDUCATION/QUALIFICATIONS
Bachelor’s degree and a minimum of three years of experience in a data analytics capacity is required.
SQL experience and data analysis skills (including investigative troubleshooting skills).
Ability to create visualizations with a data visualization tool (Domo preferred, Tableau/Power BI acceptable).
Must possess knowledge of database architecture and have the ability to seek out and identify trends in a mass of data. Strong critical thinking skills with the ability dig through raw data and seek out and identify trends to tell a story that will drive important business decisions is required. Ability to communicate clearly with technical and non-technical team members.
NACD employees are required to be fully vaccinated for the COVID-19 virus by their first day of employment. An employee is “fully vaccinated” two weeks after receiving their second dose of a two-dose vaccination series or two weeks after the first shot of a single-dose vaccine (or as described by the vaccine manufacturer).",$25 to $100 million (USD),Civic & Social Services,Nonprofit Organization,Nonprofit & NGO
Data Specialist,washington,"Axle Informatics
3.5","Rockville, MD",3.5,$54K - $84K (Glassdoor est.),3.3,3.3,3.3,3.5,3.9,501 to 1000 Employees,2002,"Overview:
Axle Informatics is a bioscience and information technology company that offers advancements in translational research, biomedical informatics, and data science applications to research centers and healthcare organizations nationally and abroad. With experts in biomedical science, software engineering, and program management, we focus on developing and applying research tools and techniques to empower decision-making and accelerate research discoveries. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH).

Axle is seeking a highly ambitious, adaptable, structured, and detail-oriented Data Specialist to join our vibrant team at the National Institutes of Health (NIH) supporting the National Center for Advancing Translational Sciences (NCATS) located in Rockville, MD.

Overall Position Summary and Objectives
The Data Specialist will serve as a bioinformatic data coordinator for TDB to support outreach, acquisition, coordination, and data integration for Rare-Source™, an integrated bioinformatics resource for rare diseases with our development partner. The Data Specialist should preferably have a master’s degree in a genomics-related scientific field with at least 1-3 years of experience.

Deliverables:
Outreach engagement to include:
Navigating and identifying relevant public and non-public data sources, repositories, and data sets (both domestic and international)
Evaluating and understanding external data sharing, data usage, and/or data transfer agreements, application requirements, policies, and implications.
Coordinating with OSA and/or appropriate staff to complete external data sharing/usage applications and justification statements; and execute agreements for data sharing and integration of data into Rare-Source
Conduct purchase acquisition for data from sources including tracking for time-sensitive follow-up to ensure continued access to data by RARe-SOURCE™ - Weekly
Examine, assimilate, and document NIH data sharing policies, NIH privacy and security guidelines; remain abreast of any new, evolving, and updated policies; and advise team members of those requirements. - Quarterly
Utilize appropriate bioinformatic, data science, project management software and collaborative platforms to:
Support RARe-SOURCE™ data submission, entry, harmonization, and integration efforts.
Track, maintain, and organize all Rare-source related information including relevant metrics - Daily
Establish and maintain communication and interactions with relevant RARe-SOURCE™team members and partners to include:
Organizing and chairing meetings between colleagues, relevant collaborators, and development partners.
Drafting and maintaining meeting minutes; and follow-up with action items and deliverables.
Assist in the preparation of documents such as presentations, papers, posters - Weekly
Liaise between TDB and RARe-SOURCE™ development partner to understand information about website updates, data collection framework, analytical tools, functionality, and features. - Weekly
Manage communications and feedback from RARe-SOURCE™end users (e.g., researchers, clinicians, and rare disease patients and community partners). - Daily
Attend 2-4 relevant conferences, symposiums and meetings to disseminate information about RareSource™ and relevant version updates and to external outreach to facilitate and form relationships with entities that have the data types of interest. - Ad-Hoc
Work Details:
Collects and analyzes data for a variety of studies.
Perform data entry in support of a number of different systems and programs, both numerical and text format.
Organize, implement, maintain, and archive data.
Work with staff to gather and analyze information from users, primarily principal investigators (PIs), needed for the development or modification of CRFs and accompanying interface relating to data collection, storage and access.
Perform quality checks to ensure consistency, integrity and robustness of data.
Provide analysis, analytical modeling, and/or data visualization on data sets using relevant data tools.
Organizes data to provide functional reporting.
Create data workflow processes.
Provide support with data sharing, including public repositories.
Work with staff to prepare and standardize data for the database.
Perform routine and general data management.
Perform database searches and assemble data sets.
Creates and maintains a variety of reports.
Create systematic documentation on reporting (completeness, changes or errors).
Maintain data for past and present studies.
Work with staff to curate data, retrieve records, generate reports and act as a liaison with academic and industry researchers.
Compile results of analysis projects into detailed reports.
Maintain databases for tracking and monitoring activities.
Manages storage and backup systems.
Maintain and update accurate and complete filing of data following data entry / QA.
Perform data auditing for quality assurance of data entry review.
Follow established policies and procedures for the quality assurance of all study collection interfaces, storage and access.
Maintain a variety of computerized files and records.
Maintain and improve the existing data pipeline for processing and storing data.
Participates in the development and design of databases for tracking and statistical purposes that incorporate multiple data fields required by scientists.
Maintain tracking spreadsheet of tasks completed for each project and time spent conducting each task.
Develop, maintain and update program database and spreadsheet.
Maintain databases and spreadsheets related to various data sharing activities.
Provide support for all data sharing related activities; create and maintain data access and data submission tracking systems and reports to be presented to senior program leadership.
Maintain databases and spreadsheets for tracking and analyzing submission of datasets.
Assists with coordination of statistical data analysis for numerous ongoing studies by collecting, organizing, and tracking information.
Establish procedure to address inconsistencies and track resolutions.
Enhance data management and document data sharing practices.
Apply database management concepts, principles and methods, including data management systems, storage capacity management, backup and recovery, data storage media and other tools used for data management.
Meet with data customers inside and outside the UDP to assess dataset requirements.
Prepare databases and reports for staff; perform various tracking and analysis of branch data to include spreadsheet preparation and interpretation.
Manages projects and quickly responds to inquiries about status.
Identify possible trends and patterns in the data; communicate relevant findings that support problem solving and decision making. 2
Track and solve problems during the data entry and QA processes. 3
Provide description of procedures used to perform data quality assurance; update as procedures are developed. 4
Provide log and description of project-related data, associated data management problems that were solved and their resolution. 1
Work with database users to identify and resolve cases of missing data. 5
1, 2, 3, 4, 5 represents priority rankings, where 1 is highest priority and 5 is lowest priority of those ranked

Minimum Education

Bachelor's

Additional Qualifications:

Field of Study
Molecular Biology
Biology
Biochemical Sciences
Genetics
Information Sciences

Software
Microsoft Office Applications
Excel, PowerPoint, Word
Microsoft Teams - Adobe
Microsoft Outlook

Skills
Scientific Data analysis
Database management
Data visualization
Data presentation
Data annotation
Exome analysis
Computer research and internet skills
Effective organizational skills
professional communications skills, written and verbal
Data analysis
Data mining
Research

Benefits

100% Medical Dental & Vision Coverage for Employees
Educational Benefits for Career Growth
Paid Time Off (Including Holidays)
Employee Referral Bonus
401K Matching
Flexible Spending Accounts:
Healthcare (FSA)
Parking Reimbursement Account (PRK)
Dependent Care Assistant Program (DCAP)
Transportation Reimbursement Account (TRN)

The diversity of Axle’s employees is a tremendous asset. We are firmly committed to providing equal opportunity in all aspects of employment and will not tolerate any illegal discrimination or harassment based on age, race, gender, religion, national origin, disability, marital status, covered veteran status, sexual orientation, status with respect to public assistance, and other characteristics protected under state, federal, or local law and to deter those who aid, abet, or induce discrimination or coerce others to discriminate.

Accessibility: If you need an accommodation as part of the employment process please contact: careers@axleinfo.com

Disclaimer:The above description is meant to illustrate the general nature of work and level of effort being performed by individual’s assigned to this position or job description. This is not restricted as a complete list of all skills, responsibilities, duties, and/or assignments required. Individuals may be required to perform duties outside of their position, job description or responsibilities as needed.",$100 to $500 million (USD),Research & Development,Company - Private,Management & Consulting
Data Analyst,washington,"Media Fusion
4.0","Washington, DC",4.0,$56K - $81K (Glassdoor est.),3.0,3.0,4.0,4.0,3.0,1 to 50 Employees,1998,"Job Title Data Analyst

Job Summary
As affiliates of the PCI Federal Services group of companies, PCI Government Services LLC has a passion for our team members and their personal mission for success. We offer excellent insurance, leave and developmental benefits along with some flexibility for remote work opportunities. Come join our organization and be part of an exciting team supporting our Federal, DoD and Private Sector customers!

NIST’s roles under the CHIPS Act are as financial steward of the CHIPS Incentives Program and as scientific leader for the CHIPS R&D Program. In executing these programs, the CHIPS program is required to meet aggressive deadlines to issue funding announcements, set application deadlines, and issue decisions on awards, with varying timelines associated with various programs. NIST requires an integrated approach for program administration across the grants and projects lifecycle, including consistent processes, program management and on-going support.

Duties and Responsibilities
Evaluate and analyze statistics and trends
Uses various query software tools to produce finished reports, statistics, and/or graphic information reflective of the subject matter
Analyze and evaluate data extracted for the purposes of quality assurance, quality control, and data integrity
Prepare procedures manuals, user guides, and technical documentation, to include but not limited to, report development documentation
Prepare written analyses and recommendations
Develop new reporting tools, views, and interfaces
Train users in new applications, reporting tools or system features
Maintain daily work reports
Job Requirements
Qualifications
An undergraduate degree, preferably in computer science or management information or equivalent experience, i.e., 4 years of progressively more responsible experience in a professional analytical occupation working with relational databases for the purposes of data extraction
Must obtain or have the ability to obtain a Public Trust security clearance
Proficient in extracting data from relational databases using various query software tools, graphic displays for data presentation, database tools, and spreadsheet software
proficient and experienced using SQL, T-SQL, and Microsoft Access
Experience using HTML, ASP, and Visual Basic
Able to produce finished reports containing analyses, graphics, and recommendations
Experience using computers, including email, Word, and Excel
Excellent data analysis skills
Able to work independently
Excellent written and effective oral communication skills

Physical Requirements
The physical demands described herein are representative of those which must be met by an employee to successfully perform the essential functions of the job. Employees must possess the ability to work in a standard office or conference room setting and use standard office equipment, including a computer.
To visit other company sites, employees must be able to operate a motor vehicle and fly in an aircraft, both of which may require sitting for prolonged periods of time. Employees must possess vision to read printed materials and a computer screen; and hearing and speech to communicate in person, before groups and over the telephone. Standing in work areas and walking between work areas will be required. This position requires an employee to occasionally bend, stoop, kneel, crouch, crawl, climb or balance; reach, push, and pull drawers and doors open and closed. The employee must occasionally lift and/or move up to 20 pounds.

PCI Government Services LLC (PCI-GS) is an equal opportunity employer.
PCI-GS does not discriminate on the basis of age, sex, race, national origin, religion, marital status, sexual orientation or identity, Veterans or Disability status.

Preference may be extended to qualified Native American Indian candidates
in accordance with applicable federal law.",Unknown / Non-Applicable,Advertising & Public Relations,Company - Private,Media & Communication
Data Analyst,washington,"Department of Buildings
4.0","Washington, DC",4.0,Employer Provided Salary:$93K - $120K,3.0,2.0,2.0,2.0,5.0,501 to 1000 Employees,Company - Public,"This position is located in The Department of Buildings, Office of the Director, Agency Performance Office. The Department of Buildings is responsible for regulating construction activity in the District of Columbia. The agency operates a consolidated permit operations division, reviews all construction documents to ensure compliance with building codes and zoning regulations, and has inspection and oversight authority, through which construction activity, building systems, and rental housing establishments are inspected, with violations cited and, if necessary, abatement pursued within the limits of the law.
The Incumbent in this role provides business intelligence and data visualization support and various data analysis services that include, but are not limited to data mining, exploratory data analysis, data visualization, and report development. The work frequently includes importing, cleaning, transforming, validating, or modeling data with the purpose of understanding or making conclusions from the data for decision-making purposes.
Duties and Responsibilities
The Data Analyst serves as a Data Analyst, responsible for identifying, extracting, integrating, and analyzing multiple, complex data and data sets in support of the Agency. Advises the Chief Performance Office and Operations Manager on the effectiveness of DOB’s existing performance management initiatives by providing analytical analyses and business process improvement insights. Develops and maintains appropriate system-level measures and data access protocols to ensure compliance with applicable data security and confidentiality laws, regulations, and policies. Assesses and documents data collection and reporting business processes to ensure system responsiveness and compatibility with local and federal requirements. Provides subject matter expertise on data analysis, business intelligence tools, data visualization and systems analysis and design. Interprets data, analyze results using statistical techniques and provide ongoing reports for the Chief Performance Officer, Operations Manager, DOB Director, and Agency senior management.
Qualifications and Education
Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position and is typically in or related to the work of the position to be filled. To be creditable, one (1) year of specialized experience must have been equivalent to at least the next lower grade level in the normal line of progression.
Licenses and Certifications
None.
Working Conditions/Environment
Work is performed in an office setting.
Other Significant Facts
Tour of Duty: Monday - Friday 8:15am - 4:45pm
Pay Plan, Series and Grade: CS-0301-13
Promotion Potential: No Know Promotion Potential
Collective Bargaining Unit: This position is not covered under a collective bargaining unit.
Position Designation: The incumbents of this position will be subject to enhanced suitability screening pursuant to Chapter 4 of DC personnel regulations, Suitability. This position is designated as Security Sensitive.
EEO Statement: The District of Columbia Government is an Equal Opportunity Employer. All qualified candidates will receive consideration without regard to race, color, religion, national origin, sex, age, marital status, personal appearance, sexual orientation, family responsibilities, matriculation, physical handicap, or political affiliation",-1,-1,Unknown / Non-Applicable,-1
Data Analyst,washington,"OSS, Inc","Gaithersburg, MD",-1,$59K - $87K (Glassdoor est.),-1,-1,-1,-1,-1,Unknown,Company - Private,"Interact w/biz stakeholders to understand day-to-day opn’l biz reqs & analytical reqmts. Interact w/sr. mgmt to understand global pic & insights needed to draw out of data lake to facilitate better decision-making. Provide solution prototypes & POCs to address technically challenging probs. Provide guidance to tech leads in producing data models & ETL designs. Ensure timely deliveries in an agile environ. Conduct workshops & demos of final deliverables w/various stakeholders & end users. REQ: MS Comp. Sci. or related + min 1 yr related exp. Resume: OSS, Inc., 481 North Fredrick Ave., STE 200, Gaithersburg, MD 20877",-1,Information Technology,Information Technology Support Services,Unknown / Non-Applicable
