Job Title,Glassdoor Location,Employer Name,Location,Rating,Salary,Carrier Opportunities,Culure And Values,Senior Management,Comp And Benefits,Life Balance,Company Size,Found year,Description,Company Revenue,Industry,Company Type,Company Sector
-1,washington,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Visualization Engineer,washington,"Ironclad Technology Services
4.7","Washington, DC",4.7,$70K - $98K (Glassdoor est.),4.3,4.7,4.6,4.6,4.7,201 to 500 Employees,2008,"At InnovaSystems, extraordinary solutions are born through innovative software.
A wholly owned subsidiary of Cydecor, InnovaSystems is a leading provider of information technology and enterprise-level solutions to the Department of Defense, federal, state, and local government agencies, delivering a vital service to support our nation’s National Security Strategy. We engage organizational effectiveness and readiness resulting in reduced costs, increased effectiveness, and accessibility.
As a member of the InnovaSystems team, you will be empowered to do the best work of your career with challenging assignments and collaborative teams that solve real-world problems.
Some of our perks & benefits include:
Flexible schedule & telecommute options, continuous learning opportunities including technical training and Leadership development programs, comprehensive benefits package, onsite gym/workout facilities, 401k plan w/ company match, competitive salary and a fantastic culture of collaboration.
Successful applicants will be asked to show proof of their U.S. Citizenship.
Job Role:
We are seeking a talented and creative Data Visualization Specialist to join our team. The ideal candidate will have experience using visualization tools such as Tableau, Power BI, and D3.js, and will have a strong understanding of data analysis and data management concepts.
As a Data Visualization Engineer, you will be responsible for:
Working with stakeholders to understand data needs and requirements.
Designing and develop visually compelling and informative dashboards, reports, and infographics.
Developing and maintain documentation, standards, and best practices for data visualization.
Performing data analysis to identify trends and insights, and use that knowledge to design effective visualizations.
Working closely with cross-functional teams to develop and implement data visualization solutions.
Continuously improve and innovate data visualization practices.
Skills Required:
2+ years of experience in data visualization or related field.
Proficiency in visualization tools such as Tableau, Power BI, and D3.js.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Knowledge of data analysis and data management concepts.
Excellent communication and collaboration skills.
Strong portfolio demonstrating data visualization expertise.
Personal drive and initiative are qualities we seek
Skills desired:
Military/DoD background highly desirable
Our comprehensive employee benefits offerings include:
Flexible schedule
Company-paid employee development learning and licenses
10 paid holidays
3 weeks (120 hours) of paid leave annually - hours increase after 3 years of service
5% 401k plan w/ company match
Comprehensive benefit package to include health, dental, vision, pet and supplemental insurance plans
Recognition & reward programs including peer-to-peer, service awards, leadership and values awards
Onsite offices with fitness facilities (depending on location)
Social events
InnovaSystems is a proud supporter of community organizations including; Challenged Athletes Foundation (CAF), Support the Enlisted Program (STEP), and Salvation Army
InnovaSystems International is an EEO/AA employer M/F/D/V.",$25 to $100 million (USD),Enterprise Software & Network Solutions,Company - Private,Information Technology
Junior Data Engineer,washington,"Open Systems Technologies Corporation
3.9","Arlington, VA",3.9,$70K - $103K (Glassdoor est.),3.6,3.8,3.9,4.3,3.9,Unknown,1996,"Open Systems Technologies Corporation is looking for a Data Engineer to join our team of experts to assist with building state of the art data platforms for the Department of Defense's premier data analytics platform.

Responsibilities

As a Data Engineer, this role focuses specifically on the development and maintenance of scalable data stores that supply big data in forms needed for business analysis. The best athlete candidate for this position will be able to apply advanced consulting skills, extensive technical expertise and has full industry knowledge to develop innovative solutions to complex problems. This candidate is able to work without considerable direction and may mentor or supervise other team members.

Required Skills:
Clearance: Secret
4+ years of experience with SQL
4+ years of experience developing data pipelines using modern Big Data ETL technologies like NiFi or StreamSets.
4+ years of experience with a modern programming language such as Python or Java
4 years of experience working in a big data and cloud environment
Experience with distributed computer understanding and experience with SQL, Spark, ETL.
Documented experience with AWS, EC2, S3, and/or RDS
Preferred Skills:
2 years of experience working in an agile development environment
Ability to quickly learn technical concepts and communicate with multiple functional groups
Ability to display a positive, can-do attitude to solve the challenges of tomorrow
Possession of excellent verbal and written communication skills
Preferred experience at the respective command with an understanding of analytical and data paint points and challenges across the J-Codes
BENEFITS

Our company OST has been operating since 1996 and have various contracts with Government agencies. We offer a comprehensive benefit package that includes 3 weeks paid time off, 2 weeks Holiday pay, medical/dental coverage, STD, LTD, Life Insurance, ADD, 401k with up to 4% match, and end of year profit sharing paid out in 401k.",Unknown / Non-Applicable,Information Technology Support Services,Company - Private,Information Technology
Remote Data Engineer,washington,"Edgesource
4.1","Alexandria, VA",4.1,$74K - $105K (Glassdoor est.),3.8,4.4,4.3,4.0,4.4,51 to 200 Employees,Company - Public,"EOE Statement
We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law.
Category
Information Technology
Description
Experience:
**Fully Remote** Must be US Citizen and able to obtain a TS/SCI
Develop standardized data architecture that includes data structure and transfer protocols to facilitate sensor integration and dynamically share information to improve situational awareness.
Develop a standardized architecture that supports a centralized data repository that advances all data analytics, and AIML capabilities enhance command and control decisions.
Design and build end-to-end data pipeline solutions (esp. streaming and batch processing, machine learning model training and updating).
Develop strategies for data acquisitions, archive recovery, and implementation of a database.
Define, design, and build dimensional databases.
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.
Writes unit/integration tests, contributes to engineering wiki, and documents work.
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Works closely with a team of frontend and backend engineers, product managers, and analysts.
Designs data integrations and data quality framework.
Works closely with all engineering teams to develop strategy for long term data platform architecture.

Qualifications / Skills:
SQL/MySQL/PostgreSQL
Microservice deployment, cloud certification (AWS architect)
Education, Experience, and Licensing Requirements:
BS or MS degree in Computer Science or a related technical field
2-4+ years of experience as a data engineer
U.S. Citizenship with ability to obtain government security clearance

Position Requirements

Full-Time/Part-Time: Full-Time

Shift: -not applicable-

Position: Data Architect

Number of Openings: 1

Req Number: INF-20-00012

Open Date: 8/24/2020
Location: Mountain View
About the Organization: Edgesource Corporation is a leading small business providing information technology and business consulting services to the federal government. We are a stable, growing business offering excellent growth potential for business minded professionals.",-1,Information Technology,Information Technology Support Services,$5 to $25 million (USD)
Data Engineer (Senior),washington,"Calhoun International, LLC
3.7","Washington, DC",3.7,$105K - $155K (Glassdoor est.),3.5,3.5,3.7,3.7,3.8,1 to 50 Employees,Company - Private,"About Us:
Calhoun International is a Professional Services company providing innovative solutions to our clients. Our expertise ranges from strategic intelligence analysis, expert instruction on intelligence analysis and sensors, cyberspace operations, information systems training, and knowledge management services among others. Calhoun International is located in Tampa, FL with employees in Florida, Virginia, Maryland, Washington, D.C. and overseas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin.
Responsibilities:
Executes and on occasion, leads research, analysis, and evaluation efforts as well as studies, analyses, assessments, and technical reports, which may include the use of existing documents, databases, models, architectures and simulations. Deliverables produced shall be in a variety of formats in response to a wide range of requirements and delivery schedules. Provides mid to high-level analytical assessments and advice on complex issues, which require extensive knowledge of the subject matter. May attend various types of symposia and meetings at the ARSTAF and DOD level.
Requirements:
Minimum Education: bachelor’s degree; advanced intelligence discipline training; or other equivalent DoD or service Intelligence experience.
Minimum Experience: Fourteen (14) years of experience as an Army Intelligence analyst with experience from tactical to strategic. Experience shall have been within Two (2) years of starting on this contract.
Has served as a staff action officer at the HQDA (DCS, G-2 preferred) or Joint or a closely related DOD organization/agency.
Demonstrated SME level of knowledge of intelligence fusion systems, capabilities / employment, training, associated R&D efforts and program budget processes.
Demonstrated knowledge of Joint and Army processes –JCIDS, TAA, PED, JUONS/ONS, and CONOPS.
Experience in preparation and presentation of briefings on projects, studies and analysis to senior leaders and other ARSTAF action officers.
Desired:
Graduate from the Command and General Staff College or similar Senior Staff College
Security Clearance:
Active Top Secret with SCI eligibility required.",-1,Management & Consulting,Business Consulting,$1 to $5 million (USD)
Data Engineer (Data Science),washington,"The Swift Group
5.0","Reston, VA",5.0,-1,-1,-1,-1,-1,-1,201 to 500 Employees,2019,"Job Description
The primary focus will be on the creation, enhancement and maintenance of mature tools that process and manipulate big-data, it is important to have senior and expert level Data Engineers/Software engineers to handle complex issues. The Data engineers will work independently or as part of a larger team on complex data science projects for various team centers.
Required Skills
Approximately 5 years of data engineering, data management or data science experience.
Proficiency with major data sciences tools such as SQL, Python, and Git.
Demonstrated experience with cleaning, management, optimizing performance and processing large volumes of data.
Familiarity with industry best-practices for software-hardware optimization when processing large sets of data.
Experience with machine learning, with statistical modeling, time-series forecasting, and/or geospatial analytics is preferred.
Experience working with different types of data (structured, unstructured, image, video, audio, speech, text, tabular, APIs, etc.)
Experience with ElasticSearch, Hadoop, Spark or other parallel storage/computing processes is a plus
Desired Skills
AWS/C2S
NiFi, ElasticSearch
Experience with data visualization (Kibana, Tableau, Seaborn, etc.)
About iC-1 Solutions, LLC.
iC-1 Solutions LLC. is a wholly owned subsidiary of The Swift Group. The Swift Group is a privately held, mission-driven and employee-focused services and solutions company headquartered in Reston, Virginia. Founded in 2019, The Swift Group supports Civilian, Defense, and Intelligence Community customers, across the country and around the globe.

The Swift Groups is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",Unknown / Non-Applicable,Information Technology Support Services,Company - Private,Information Technology
Data Visualization Engineer,washington,"Ironclad Technnology Services
4.7","Washington, DC",4.7,$70K - $98K (Glassdoor est.),4.3,4.7,4.6,4.6,4.7,201 to 500 Employees,2008,"At InnovaSystems, extraordinary solutions are born through innovative software.
A wholly owned subsidiary of Cydecor, InnovaSystems is a leading provider of information technology and enterprise-level solutions to the Department of Defense, federal, state, and local government agencies, delivering a vital service to support our nation’s National Security Strategy. We engage organizational effectiveness and readiness resulting in reduced costs, increased effectiveness, and accessibility.
As a member of the InnovaSystems team, you will be empowered to do the best work of your career with challenging assignments and collaborative teams that solve real-world problems.
Some of our perks & benefits include:
Flexible schedule & telecommute options, continuous learning opportunities including technical training and Leadership development programs, comprehensive benefits package, onsite gym/workout facilities, 401k plan w/ company match, competitive salary and a fantastic culture of collaboration.
Successful applicants will be asked to show proof of their U.S. Citizenship.
Job Role:
We are seeking a talented and creative Data Visualization Specialist to join our team. The ideal candidate will have experience using visualization tools such as Tableau, Power BI, and D3.js, and will have a strong understanding of data analysis and data management concepts.
As a Data Visualization Engineer, you will be responsible for:
Working with stakeholders to understand data needs and requirements.
Designing and develop visually compelling and informative dashboards, reports, and infographics.
Developing and maintain documentation, standards, and best practices for data visualization.
Performing data analysis to identify trends and insights, and use that knowledge to design effective visualizations.
Working closely with cross-functional teams to develop and implement data visualization solutions.
Continuously improve and innovate data visualization practices.
Skills Required:
2+ years of experience in data visualization or related field.
Proficiency in visualization tools such as Tableau, Power BI, and D3.js.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Knowledge of data analysis and data management concepts.
Excellent communication and collaboration skills.
Strong portfolio demonstrating data visualization expertise.
Personal drive and initiative are qualities we seek
Skills desired:
Military/DoD background highly desirable
Our comprehensive employee benefits offerings include:
Flexible schedule
Company-paid employee development learning and licenses
10 paid holidays
3 weeks (120 hours) of paid leave annually - hours increase after 3 years of service
5% 401k plan w/ company match
Comprehensive benefit package to include health, dental, vision, pet and supplemental insurance plans
Recognition & reward programs including peer-to-peer, service awards, leadership and values awards
Onsite offices with fitness facilities (depending on location)
Social events
InnovaSystems is a proud supporter of community organizations including; Challenged Athletes Foundation (CAF), Support the Enlisted Program (STEP), and Salvation Army
InnovaSystems International is an EEO/AA employer M/F/D/V.",$25 to $100 million (USD),Enterprise Software & Network Solutions,Company - Private,Information Technology
Lead Data Engineer,washington,"Brivo
4.4","Bethesda, MD",4.4,$96K - $135K (Glassdoor est.),4.3,4.6,4.3,4.3,4.5,51 to 200 Employees,1999,"About the Role
As the Lead Data Engineer, you will lead a team to architect, build and operate Brivo’s big data platform and data warehouse that are real-time, stable and scalable to support data analytics, reporting, data visualization and machine learning. In this role you will help to build the Data Engineering team, mentor and motivate team members on cutting edge big data technology and best practices.
You will also be expected to:
Distill big data strategy into tactical projects by collaborating with stakeholders, architecture team and product team to support data analytics, reporting, data visualization, and machine learning.
Define quarterly project requirements by tracking milestones, communicating blockers and ensuring progress.
Lead the team to build the new real-time big data platforms with open source technologies such as Kafka, Spark, Flink, and Presto etc.
Lead the team to build the new data services with open source technologies such as Superset etc.
Contribute up to 50% of your time coding in at least one of Python, Java, Scala, Node.js, or other mainstream programming languages.
Maintain operational status of all data sources and pipelines including maintaining on call rotation.
Display deep understanding of data warehousing concepts, data manipulation strategies, data modeling, data pipelines, data services, and workflows.
Experience with leading projects of large data volume (approximately 10TB of data) stored in heterogeneous data sources.
Refactor the existing data model into an easy-to-maintain data solution across the organization.
Collaborate with QC team to assure product quality.
Collaborate with the release team and operational team to automate build and deployment from DEV to PROD.
Lead team projects and initiatives from inception to rollout managing cross-team dependencies while keeping overall customer SLA top of mind.
Mentor team members to improve processes and promote the best practices.
About You
5+ years of work experience with a combination of data modeling, ETL, database operations, and data services..
5+ years of work experience with coding in one of mainstream programming languages: Python, Java, Scala, Node.js etc.
3+ years of experience working on data warehouses such as Snowflake.
3+ years of experience operating production workloads on PostgreSQL (preferred), MySQL databases.
3+ years of experience with open source technologies (Spark, Flink, Kafka, Presto, Hive, etc.)
2+ years of experience in architecting and building scalable data platforms processing data on a terabyte or petabyte scale.
3+ years of experience managing ETL pipelines with tools such as Fivetran, Airflow, Talend, etc.
2+ years of experience with AWS EMR, Athena, Lambda, Kafka, S3, EC2, Kubernetes.
Experience leading teams of 3+ engineers.
Familiarity with Agile principles including but not limited to Scrum meetings and mechanics.
Good understanding of modern data structures and business intelligence reporting tools and track record of applying those to build a system.
Intellectually curious about emerging technologies with the ability to turn that into reasonable working solutions.
Ability to be efficient and to prioritize and deliver on time.
Excellent communication skills and dynamic team player.
Preferred Skills
Experience in real-time analytics applications.
Experience in both batch and stream processing technologies, Python, Java or Scala.
Machine learning experience with Spark, jupyter Notebook, or similar.
About Us
Brivo is the global leader in mobile, cloud-based access control for commercial real estate, multifamily residential, and large distributed enterprises. Our comprehensive product ecosystem and open API provide businesses with powerful digital tools to increase security automation, elevate employee and tenant experience, and improve the safety of all people and assets in the built environment. Having created the category over twenty years ago, our building access platform is now the digital foundation for the largest collection of customer facilities in the world, trusted by more than 25 million users occupying over 300M square feet of secured space in 42 countries.
Our dedication to simply better security means providing the best technology and support to property owners, managers, and tenants as they look for more from buildings where they live, work, and play. Our comprehensive product suite includes access control, smart readers, touchless mobile credentials, visitor management, occupancy monitoring, health and safety features, and integrated video surveillance, smart locks, and intercoms. Valued for its simple installation, high-reliability backbone, and rich API partner network, Brivo also has the longest track record of cybersecurity audits and privacy protections in the industry.
Brivo is privately held and headquartered in Bethesda, Maryland. Learn more at www.Brivo.com
Brivo is an Equal Opportunity/Affirmative Action Employer
nM2Z5TeEGx",$25 to $100 million (USD),Enterprise Software & Network Solutions,Company - Private,Information Technology
Data Integration Engineer - Remote,washington,"Inteliquet, Inc
3.6","Washington, DC",3.6,$78K - $114K (Glassdoor est.),3.0,3.6,3.6,3.7,4.0,1 to 50 Employees,Company - Public,"Are you passionate about driving successful implementations and data integration and to help Cancer Centers adopt a self-service data access and integrated patient matching solution? Then we want you to join our team!

At Inteliquet, we believe every patient is valuable and worthy of our very best efforts.
Our mission is to be a key connector at the intersections of clinical decision support, patient therapy, and therapeutic research and development. Envisioning a world where everyone has timely access to the best and longest-lasting therapies possible, we strive to remove barriers so that clinical trials and research work better for all stakeholders—especially the patient. Through insights, technology, and expertise we help solve one of the most difficult problems in healthcare—harnessing the data needed to quickly and accurately match patients to clinical trials and bring more trials to those patients. We focus on improving the way clinical trials work, so that trial access is available to every patient.
Job Title
Data Integration Engineer
Reports to:
Manager/Director Engineering-Integration
Functional Group:
Engineering
Location:
Remote - Company is 100% remote - always has been
Engagement:
Full-Time Position
Summary:
The Data Integration Engineer plays a vital role in ensuring outstanding project execution, delivery, and support in the implementation of Inteliquet’s software and data integration with Cancer Center oncology data sources. The Data Integration Engineer is responsible for executing project tasks, data management, data discovery, code implementations, data conversion, and on-going support of data ingestion.
Duties and Responsibilities:
This list is not comprehensive but meant to represent the most common or important duties of the position. Other duties are required and/or assigned.
Liaise with Deployment Project Management Lead on client related issues, opportunities and challenges
Participate in new system release testing and evaluation for impact to data integration efforts
Act as technical point of contact for customer integration/data product issues and involve the QA/Engineering team to debug, analyze, and fix software bugs.
Participate in data integration projects:
Develop knowledgebases, templates, and standards to ensure repeatability and quality.
Developing process workflows to increase automation and scalability.
Maintain and enforce best practices to facilitate optimized software implementation and ETL transfer of data.
Works closely with data QA and architects to ensure good data quality and sound data security.
Performing initial data validation before and after implementation.
Implement code necessary to develop data extraction, transformation and loading in SQL, SSIS, C# and other tools as necessary.
Converting and loading client data into the Inteliquet conformed data structures.
Initial integration and configuration of our software from a technical perspective.
Experience with MongoDB and/or Neo4J an advantage.
Serve as company representative to external clients. Inspire confidence in our organization and deliver results.
Contribute to the development of plans, the engagement of and integration of addition data sources with clients
Support transition efforts for clients migrating to a new EMR or other source system
Support Client Daily Needs:
Investigate and resolve data related issues.
Triage and resolve technical issues.
Minimum Requirements:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
4 or more years related application and systems development experience
Knowledge of data processing system, design methods, techniques and standards.
Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions.
Candidates with experience in medical records, bioinformatics or analytic software will be advantaged. An in-depth knowledge of oncology will be a plus, but we don't expect you to cover all areas of expertise.
Ensure compliance with company policies
Review, understanding, and compliance with HIPAA Security policies and procedures.
Safeguarding the privacy and security of protected health information
Technical Proficiencies:
Fundamental understanding and knowledge of software development environments such as, but not limited to:
MS SQL Server: TSQL, SSIS, SSRS
Languages: PowerShell, C# (optional)
MongoDB (optional)
Neo4j (optional)
Source Code Control: TFS, DevOps
Agile experienced
MS Office: used for documentation
MS Teams
Essential Job Functions:
Critical features of this job are described below. They may be subject to change at any time due to reasonable accommodation or other reasons.
Soft-skills: Must be able to effectively communicate with others; complete and understand complex analysis of numbers; read, analyze and interpret written materials; develop team to meet company standards; ensure compliance with company policies; respond appropriately to feedback to make improvements; maintain positive working relationships; troubleshoot and solve problems.
Physical: Must be able to hear and verbally communicate for hours at a time, use computer equipment. Moderate noise level and limited exposure to physical risk.
Knowledge, Skills, and Abilities Required:
Knowledge of modern business communication, office procedures and methods. Skill to use a personal computer and various software packages such as Microsoft Office Suite. Ability to establish priorities, work independently with minimal supervision, and facilitate teamwork.
Equipment Used:
Headsets, telephones, computer, other office equipment as needed.",-1,-1,Unknown / Non-Applicable,-1
Senior Data Engineer,washington,"YSI
3.7","Herndon, VA",3.7,Employer Provided Salary:$100K - $110K,3.3,3.5,3.1,3.5,3.6,10000+ Employees,2011,"Yakshna Solutions, Inc., (YSI) is a CMMI Level 3 assessed, ISO 9001, 20000:1, 27001 certified, woman-owned small business enterprises, headquartered in Herndon, Virginia, USA. YSI provides professional IT solutions and services to business corporations and government organizations. YSI is committed to serve its business communities as a leading IT vendor providing innovative, quality, and cost-effective IT business solutions and services.
Our company provides a competitive benefits package that includes the following: 401(k), health, dental, and vision insurance, Life insurance, short-term and long-term disability insurance, paid time off, training, and professional development assistance.
YSI is seeking a highly qualified Senior Data Engineer. The selected candidate will be able to communicate effectively (written/verbal), possess strong interpersonal skills, be self-motivated, and be innovative in a fast-paced environment.
Clearance: Public Trust
Responsibilities:The Data Engineer will be the senior technical expert on work associated with data management, data quality and data structures, coordinating with the ADA as needed to ensure development and data structures are synchronized. The DE will design the approach for data tasks and will contribute to completion of data tasks and oversee execution, providing advice and guidance as necessary to junior staff.
Required Knowledge, Skills, and Abilities:
Should be familiar with the USACE Civil Works Program, specifically the Civil Works missions for Hydropower, Recreation, Environmental Stewardship, and Water Supply.
Extensive technical knowledge of programming in a software stack that includes an Oracle Relational database, SQL, PL/SQL, Oracle Spatial, JavaScript, Oracle REST Data Services (ORDS), and Oracle APEX to make the necessary revisions to the relevant systems. In addition to these general skills and experience, also possess the following:
Knowledge and experience in developing and maintaining a relational database operated in Amazon Web Services (AWS cloud).
Knowledge and experience of data entry and options to increase automation and efficiency
Knowledge and experience with documenting data systems and processes and creating reports for increased efficiencies
Knowledge and experience in optimizing the performance of existing Oracle based applications, including procedures, functions, etc.Knowledge and experience with creating Representational State Transfer (RESTful) services utilizing common data dissemination formats.
Knowledge and experience with making websites 508 compliant.
Knowledge and experience with authentication and authorization procedures
Knowledge and experience with maintaining geospatial data in oracle relational database
Knowledge and experience with geospatial web services (OGC & ESRI REST)
Knowledge and experience with cloud native development methodologies
Job Types: Full-time, Contract
Pay: $100,000.00 - $110,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance
Compensation package:
Yearly pay
Experience level:
5 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Herndon, VA 20170: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
This is an ONSITE position requiring the candidate to work onsite in Herndon, VA. Are you willing and able to meet this requirement?
Experience:
Amazon Web Services (AWS cloud).: 3 years (Preferred)
data entry and options to increase automation: 3 years (Preferred)
documenting data systems and processes: 3 years (Preferred)
Oracle based applications, including procedures, functions: 3 years (Preferred)
Representational State Transfer (RESTful) services: 3 years (Preferred)
Website 508 Compliance: 3 years (Preferred)
authentication and authorization procedures: 3 years (Preferred)
maintaining geospatial data in oracle relational database: 3 years (Preferred)
geospatial web services (OGC & ESRI REST): 3 years (Preferred)
cloud native development methodologies: 3 years (Preferred)
Security clearance:
Confidential (Preferred)
Work Location: In person",$1 to $5 billion (USD),Machinery Manufacturing,Company - Public,Manufacturing
